구∙군명,시설명,소재지,주장애유형,종류,위도,경도
서구,서구 수어통역센터,서구 대청로6번길 41-1(토성동3가),,수어통역센터,35.1013708,129.0205873
북구,북부산 수어통역센터,북구 백양대로 1061(구포동),,수어통역센터,35.2000428,128.9970766
금정구,동부산 수어통역센터,"금정구 금정로 161번길 9, 3층(장전동)",,수어통역센터,35.2388871,129.087301
연제구,부산 수어통역센터,"연제구 월드컵대로 21, 물만골빌딩 5층(연산동)",,수어통역센터,35.1765075,129.0854718
수영구,수영구 수어통역센터,수영구 수영로 569(광안동),,수어통역센터,35.1566698,129.1126998
사하구,사하구 수어통역센터,"사하구 낙동남로 1400, 4층 401호(하단동)",,수어통역센터,35.1058713,128.9648009
영도구,천성아동재활원,영도구 일산봉로 95,,의료재활시설,35.0904821,129.0653133
서구,천마재활원,부산시 서구 천해로7번길 55-10,지적,장애인거주시설,35.0800096,129.0191742
서구,부산라이트하우스,부산시 서구 충무대로 73,"시각,지적",장애인거주시설,35.0792322,129.0203949
서구,나라단기거주시설,부산시 서구 천해로7번길 55-10,단기,장애인거주시설,35.0800096,129.0191742
동구,애덕의집,부산 동구 초량중로27,공동,장애인거주시설,35.114527,129.0369035
동구,루비홈,부산 동구 홍곡로67 동남아파트 다동 304호,공동,장애인거주시설,35.125324,129.0418316
영도구,천성재활원,부산시 영도구 일산봉로 95,지체,장애인거주시설,35.0904821,129.0653133
부산진구,신애재활원,부산시 부산진구 성지로 62번길 40,지체,장애인거주시설,35.1774981,129.0561068
부산진구,새들처럼,부산시 부산진구 양지로17번길 10-1,지적,장애인거주시설,35.1690511,129.0706006
부산진구,아순타의 집,부산시 부산진구 개금본동로17번길 12,공동,장애인거주시설,35.158689,129.0241839
부산진구,어울림홈,부산시 부산진구 가야대로679번길166  101동602호(가야화신),공동,장애인거주시설,35.1556336,129.0380219
부산진구,헬렌의 집,"부산시 부산진구 양지로29, 성모여고 내",단기,장애인거주시설,35.1671948,129.0720589
남구,소화영아재활원,부산시 남구 무민사로 19,영유아,장애인거주시설,35.1123222,129.0803637
