"정류장번호","위치명(정류장명)","설치년도","주소","좌표정보(위도)","좌표정보(경도)","데이터기준일자"
"16268","삼덕입구","-","기장군 이천리 715-1","35.2709252816","129.2313569436","2021-01-13"
"16271","장안제일고등학교","-","장안읍 좌천리 273-2","35.3145000476","129.2432967142","2021-01-13"
"16272","장안제일고등학교","-","장안읍 좌천리 267-1","35.3147403279","129.2431049148","2021-01-13"
"16273","현진에버빌후문사거리","-","기장군 정관읍 모전리 685-10","35.3355354648","129.1692764028","2021-01-13"
"16274","현진에버빌 후문 사거리","-","기장군 정관읍 모전리 746-6","35.3354578533","129.1688711862","2021-01-13"
"16288","정관주민자치회관","-","부산 기장군 정관읍 용수리 1406","35.3232726171","129.1724755525","2021-01-13"
"16289","동일스위트1차","-","기장군 정관면 용수리 1386","35.3241474269","129.1714324281","2021-01-13"
"16290","부산프리미엄아울렛","-","기장군 좌천리 515-1(부산 프리미엄 아울렛 앞)","35.3219632356","129.2340950450","2021-01-13"
"16291","달산초등학교","-","정관읍 달산리 1201","35.3196032829","129.1860225321","2021-01-13"
"16292","달산초등학교","-","정관읍 달산리 1201","35.3196032829","129.1860225321","2021-01-13"
"16293","신정초등학교","-","기장군 정관읍 모전리 770","35.3315561823","129.1667820813","2021-01-13"
"16294","신정초등학교","-","기장군 정관읍 모전리 753","35.3316069064","129.1670539434","2021-01-13"
"16295","동일스위트3차","-","기장군 정관읍 모전리 681","35.3383718138","129.1685740795","2021-01-13"
"16296","동일스위트3차","-","기장군 모전리 695","35.3390643226","129.1662230098","2021-01-13"
"16301","LH4단지","-","기장군 정관읍 달산리 1225","35.3208936600","129.1913627930","2021-01-13"
"16302","동원로얄듀크1차 아파트","-","기장군 정관읍 달산리 1212","35.3187343090","129.1919893524","2021-01-13"
"16303","동원로얄듀크1차 아파트","-","기장군 정관읍 달산리 1214","35.3187475918","129.1923748465","2021-01-13"
"16305","정관산단입구","-","기장군 정관읍 달산리 1067-1","35.3169677186","129.1866589394","2021-01-13"
"16310","LH4단지","-","기장군 정관읍 달산리 1223-5","35.3205869804","129.1911606782","2021-01-13"
"16312","용소삼거리","-","기장군 장안읍 용소리 190-5","35.3409693163","129.2497196866","2021-01-13"
"16333","국립부산과학관","-","기장군 기장읍 석산리 193-1","35.20298022","129.213557","2021-01-13"
"16338","월내시장(길천방향)","-","장안읍 월내리 132-176","35.3263940392","129.2768241106","2021-01-13"
"16339","월내시장(임랑방향)","-","장안읍 월내리 174-3","35.3265918485","129.2769426914","2021-01-13"
"16342","임랑마을","-","장안읍 임랑리 94-2","35.3178018928","129.2614999558","2021-01-13"
"16351","달산마을","-","기장군 정관읍 방곡리 403","35.3232189596","129.1912351295","2021-01-13"
"16352","달산마을","-","기장군 정관읍 방곡리 407","35.3221632741","129.1895661918","2021-01-13"
"16353","옛터어린이공원입구","-","기장군 정관읍 방곡리 403","35.3232189596","129.1912351295","2021-01-13"
"16355","정관농협기업지점","-","기장군 매학리 734(맥도날드 앞)","35.3212388615","129.1764933910","2021-01-13"
"16365","문동","-","기장군 일광면 문동리 235-3","35.3062528388","129.2565910340","2021-01-13"
"16382","문중","-","기장군 일광면 문중리 42-3","35.3029406710","129.2570677551","2021-01-13"
"16384","비스타동원1차","-","기장군 일광면 삼성리 824","35.2662985214","129.2269273035","2021-01-13"
"16389","비스타동원1차","-","기장군 일광면 삼성리 824","35.2662985214","129.2269273035","2021-01-13"
"16503","기장도서관","-","기장군 기장읍 차성동로 137","35.2501215662","129.2168723402","2021-01-13"
"16504","기장도서관","-","기장읍 동부리 428","35.2496231390","129.2167012398","2021-01-13"
"16505","한신아파트정문","-","기장군 동부리 484(피자스쿨 앞)","35.2480268743","129.2138337933","2021-01-13"
"16506","한신아파트정문","-","기장군 기장읍 366-1","35.2101665236","129.2067070581","2021-01-13"
"16508","기장지구대","-","기장군 기장읍 동부리 330-12","35.2461957050","129.2170468500","2021-01-13"
"16510","기장중학교","-","기장군 기장읍 동부리 280-9","35.2440445066","129.2169214824","2021-01-13"
"16511","기장중학교","-","기장군 기장읍 162-20","35.2377584862","129.2116330470","2021-01-13"
"16516","죽성사거리","-","기장군 기장읍 청강리 111-17","35.23996","129.220265","2021-01-13"
"16517","죽성사거리","-","기장읍 청강리 112-1","35.2395409644","129.2204009536","2021-01-13"
"16518","청강사거리(해운대방향)","-","기장읍 청강리 298-3","35.2367871946","129.2180204749","2021-01-13"
"16519","기장2주공","-","기장군 기장읍 청강리 704-4","35.2348838616","129.2165840055","2021-01-13"
"16521","한신아파트","-","부산 기장군 기장읍 동부리 393-7","35.2495162123","129.2136337278","2021-01-13"
"16522","이진아파트","-","기장군 기장읍 서부리 397","35.2502734539","129.2090874742","2021-01-13"
"16523","만화리입구","-","기장군 기장읍 만화리 산 120-30","35.2527276941","129.2053867302","2021-01-13"
"16524","이진아파트","-","부산 기장군 기장읍 서부리 13-10","35.2486721841","129.2095796412","2021-01-13"
"16528","대라리사거리","-","기장군 기장읍 차성로 238","35.2386511653","129.2135825993","2021-01-13"
"16530","청강사거리(기아자동차앞)","-","기장읍 청강리 703-7","35.2361852162","129.2172699614","2021-01-13"
"16533","기장군청","-","기장군 기장읍 청강리 3-6","35.244755","129.2208317","2021-01-13"
"16534","기장전화국","-","기장군 기장읍 118-5","35.2419969262","129.2133320655","2021-01-13"
"16535","청강사거리(씨앤스타빌앞)","-","기장읍 청강리 258","35.2372101737","129.2189938072","2021-01-13"
