INDEX_KEY,CRTR_YMD,CRTR_WEEK,DWK_NM,CTPV_CD,CTPV_NM,SGG_CD,SGG_NM,TMZN_CD,SEX_DV,AGRDE_CLS,REVISN_AMBLT_PUL_CNT,REVISN_NMBLT_PUL_CNT
LI122100010002LI12210001000201361,20201201,49,화,26,부산광역시,2644,강서구,9,MALE,3,12907.4247,3710.515754
LI122100010002LI12210001000201362,20201201,49,화,26,부산광역시,2644,강서구,0,FEMALE,6,3709.203368,167.1872324
LI122100010002LI12210001000201363,20201201,49,화,26,부산광역시,2644,강서구,20,FEMALE,7,2010.96156,275.3868763
LI122100010002LI12210001000201364,20201201,49,화,26,부산광역시,2644,강서구,13,FEMALE,6,5218.266013,1509.352107
LI122100010002LI12210001000201365,20201201,49,화,26,부산광역시,2644,강서구,6,FEMALE,0,50.90665722,20.18397093
LI122100010002LI12210001000201366,20201201,49,화,26,부산광역시,2644,강서구,16,FEMALE,1,5460.925107,741.493332
LI122100010002LI12210001000201367,20201201,49,화,26,부산광역시,2644,강서구,5,FEMALE,5,566.4357382,438.7063298
LI122100010002LI12210001000201368,20201201,49,화,26,부산광역시,2644,강서구,18,FEMALE,6,4084.452134,1197.417342
LI122100010002LI12210001000201369,20201201,49,화,26,부산광역시,2644,강서구,19,FEMALE,4,6073.127022,1521.444594
LI122100010002LI122100010002013610,20201201,49,화,26,부산광역시,2644,강서구,1,MALE,5,4341.963821,518.1616521
LI122100010002LI122100010002013611,20201201,49,화,26,부산광역시,2644,강서구,6,MALE,2,996.9079335,1198.357072
LI122100010002LI122100010002013612,20201201,49,화,26,부산광역시,2644,강서구,3,MALE,4,6628.140314,543.9520652
LI122100010002LI122100010002013613,20201201,49,화,26,부산광역시,2644,강서구,21,FEMALE,2,2586.660465,719.2758976
LI122100010002LI122100010002013614,20201201,49,화,26,부산광역시,2644,강서구,3,MALE,7,1692.253499,92.71941531
LI122100010002LI122100010002013615,20201201,49,화,26,부산광역시,2644,강서구,21,FEMALE,0,938.8882139,46.43822289
LI122100010002LI122100010002013616,20201201,49,화,26,부산광역시,2644,강서구,3,MALE,0,972.052145,10.00138521
LI122100010002LI122100010002013617,20201201,49,화,26,부산광역시,2644,강서구,12,MALE,0,1334.401437,130.8327389
LI122100010002LI122100010002013618,20201201,49,화,26,부산광역시,2644,강서구,5,FEMALE,7,261.1157738,143.9133359
LI122100010002LI122100010002013619,20201201,49,화,26,부산광역시,2644,강서구,7,MALE,4,8863.543196,8655.455758
LI122100010002LI122100010002013620,20201201,49,화,26,부산광역시,2644,강서구,23,FEMALE,5,3124.870921,345.6134758
LI122100010002LI122100010002013621,20201201,49,화,26,부산광역시,2644,강서구,7,FEMALE,4,4604.118836,2039.322543
LI122100010002LI122100010002013622,20201201,49,화,26,부산광역시,2644,강서구,22,FEMALE,1,4154.124276,375.4087043
LI122100010002LI122100010002013623,20201201,49,화,26,부산광역시,2644,강서구,22,MALE,7,1533.987757,181.1669638
LI122100010002LI122100010002013624,20201201,49,화,26,부산광역시,2644,강서구,5,MALE,7,321.8141513,290.1365525
LI122100010002LI122100010002013625,20201201,49,화,26,부산광역시,2644,강서구,22,FEMALE,4,4862.504526,639.8218831
LI122100010002LI122100010002013626,20201201,49,화,26,부산광역시,2644,강서구,5,MALE,6,700.7282393,1216.957632
LI122100010002LI122100010002013627,20201201,49,화,26,부산광역시,2644,강서구,8,MALE,4,12701.62668,6889.116388
LI122100010002LI122100010002013628,20201201,49,화,26,부산광역시,2644,강서구,7,FEMALE,6,3167.974995,1582.697528
LI122100010002LI122100010002013629,20201201,49,화,26,부산광역시,2644,강서구,19,MALE,7,1930.736608,437.8942615
LI122100010002LI122100010002013630,20201201,49,화,26,부산광역시,2644,강서구,8,FEMALE,2,3097.779243,1451.868902
LI122100010002LI122100010002013631,20201201,49,화,26,부산광역시,2644,강서구,3,MALE,5,4508.951517,529.42821
LI122100010002LI122100010002013632,20201201,49,화,26,부산광역시,2644,강서구,23,FEMALE,0,919.552315,32.47674632
LI122100010002LI122100010002013633,20201201,49,화,26,부산광역시,2644,강서구,3,MALE,3,6091.653632,417.2182004
LI122100010002LI122100010002013634,20201201,49,화,26,부산광역시,2644,강서구,11,MALE,1,4503.040501,377.0166619
LI122100010002LI122100010002013635,20201201,49,화,26,부산광역시,2644,강서구,14,MALE,4,13661.50921,4882.421396
LI122100010002LI122100010002013636,20201201,49,화,26,부산광역시,2644,강서구,17,FEMALE,4,6500.441945,2366.737555
LI122100010002LI122100010002013637,20201201,49,화,26,부산광역시,2644,강서구,1,FEMALE,0,1086.635363,11.16231561
LI122100010002LI122100010002013638,20201201,49,화,26,부산광역시,2644,강서구,10,FEMALE,0,1453.467198,111.4246366
LI122100010002LI122100010002013639,20201201,49,화,26,부산광역시,2644,강서구,16,MALE,5,11579.50926,5356.211821
LI122100010002LI122100010002013640,20201201,49,화,26,부산광역시,2644,강서구,4,MALE,2,2914.264367,272.769823
LI122100010002LI122100010002013641,20201201,49,화,26,부산광역시,2644,강서구,0,FEMALE,4,6078.555964,314.810425
LI122100010002LI122100010002013642,20201201,49,화,26,부산광역시,2644,강서구,7,MALE,2,3960.72224,3084.466219
LI122100010002LI122100010002013643,20201201,49,화,26,부산광역시,2644,강서구,19,MALE,6,4740.354302,1644.039382
LI122100010002LI122100010002013644,20201201,49,화,26,부산광역시,2644,강서구,20,MALE,5,5934.891328,2610.829678
LI122100010002LI122100010002013645,20201201,49,화,26,부산광역시,2644,강서구,11,MALE,2,6870.572273,1800.117715
LI122100010002LI122100010002013646,20201201,49,화,26,부산광역시,2644,강서구,9,MALE,2,6873.004245,1867.566294
LI122100010002LI122100010002013647,20201201,49,화,26,부산광역시,2644,강서구,13,FEMALE,3,7728.968002,1678.630742
LI122100010002LI122100010002013648,20201201,49,화,26,부산광역시,2644,강서구,22,MALE,6,3207.232163,617.3307267
LI122100010002LI122100010002013649,20201201,49,화,26,부산광역시,2644,강서구,9,FEMALE,3,7983.131439,1735.180936
LI122100010002LI122100010002013650,20201201,49,화,26,부산광역시,2644,강서구,6,FEMALE,6,771.8537378,959.1106659
LI122100010002LI122100010002013651,20201201,49,화,26,부산광역시,2644,강서구,11,FEMALE,3,7707.708272,1468.62198
LI122100010002LI122100010002013652,20201201,49,화,26,부산광역시,2644,강서구,18,MALE,7,1942.502217,673.6457405
LI122100010002LI122100010002013653,20201201,49,화,26,부산광역시,2644,강서구,19,MALE,1,4903.957688,493.3174927
LI122100010002LI122100010002013654,20201201,49,화,26,부산광역시,2644,강서구,9,FEMALE,7,2628.809605,671.0590409
LI122100010002LI122100010002013655,20201201,49,화,26,부산광역시,2644,강서구,19,MALE,0,1083.170764,92.91986847
LI122100010002LI122100010002013656,20201201,49,화,26,부산광역시,2644,강서구,6,MALE,5,1766.239979,5413.466606
LI122100010002LI122100010002013657,20201201,49,화,26,부산광역시,2644,강서구,0,MALE,7,2023.622062,103.7280736
LI122100010002LI122100010002013658,20201201,49,화,26,부산광역시,2644,강서구,21,MALE,1,4614.709185,549.4997432
LI122100010002LI122100010002013659,20201201,49,화,26,부산광역시,2644,강서구,12,FEMALE,5,6890.555678,1957.363616
LI122100010002LI122100010002013660,20201201,49,화,26,부산광역시,2644,강서구,14,FEMALE,6,4954.286815,1682.434445
LI122100010002LI122100010002013661,20201201,49,화,26,부산광역시,2644,강서구,11,FEMALE,6,4947.938134,1483.14681
LI122100010002LI122100010002013662,20201201,49,화,26,부산광역시,2644,강서구,15,MALE,3,12318.28595,3769.330844
LI122100010002LI122100010002013663,20201201,49,화,26,부산광역시,2644,강서구,19,FEMALE,7,1970.570975,391.3219544
LI122100010002LI122100010002013664,20201201,49,화,26,부산광역시,2644,강서구,17,MALE,1,5204.964322,819.1040134
LI122100010002LI122100010002013665,20201201,49,화,26,부산광역시,2644,강서구,10,FEMALE,6,5145.652319,1468.510221
LI122100010002LI122100010002013666,20201201,49,화,26,부산광역시,2644,강서구,3,FEMALE,1,3566.147792,73.10248876
LI122100010002LI122100010002013667,20201201,49,화,26,부산광역시,2644,강서구,12,MALE,1,4486.585718,531.5933578
LI122100010002LI122100010002013668,20201201,49,화,26,부산광역시,2644,강서구,16,FEMALE,3,7880.73899,1828.05722
LI122100010002LI122100010002013669,20201201,49,화,26,부산광역시,2644,강서구,3,FEMALE,3,5190.250703,180.4386829
LI122100010002LI122100010002013670,20201201,49,화,26,부산광역시,2644,강서구,14,MALE,3,11771.38411,3600.327053
LI122100010002LI122100010002013671,20201201,49,화,26,부산광역시,2644,강서구,19,FEMALE,5,4630.673365,1479.774742
LI122100010002LI122100010002013672,20201201,49,화,26,부산광역시,2644,강서구,1,MALE,4,6710.82274,608.6169291
LI122100010002LI122100010002013673,20201201,49,화,26,부산광역시,2644,강서구,8,FEMALE,1,4623.661033,504.2642943
LI122100010002LI122100010002013674,20201201,49,화,26,부산광역시,2644,강서구,3,MALE,6,3220.848931,318.3230965
