INDEX_KEY,CRTR_YMD,CRTR_WEEK,DWK_NM,CTPV_CD,CTPV_NM,SGG_CD,SGG_NM,TMZN_CD,SEX_DV,AGRDE_CLS,REVISN_AMBLT_PUL_CNT,REVISN_NMBLT_PUL_CNT
LI122100010002LI12210001000201381,20201201,49,화,26,부산광역시,2629,남구,20,MALE,1,10103.01066,993.3947341
LI122100010002LI12210001000201382,20201201,49,화,26,부산광역시,2629,남구,23,MALE,3,5964.520098,753.1057421
LI122100010002LI12210001000201383,20201201,49,화,26,부산광역시,2629,남구,13,FEMALE,3,6316.360805,942.2912504
LI122100010002LI12210001000201384,20201201,49,화,26,부산광역시,2629,남구,18,MALE,3,6344.978806,2157.055339
LI122100010002LI12210001000201385,20201201,49,화,26,부산광역시,2629,남구,17,MALE,1,9831.068971,1222.304608
LI122100010002LI12210001000201386,20201201,49,화,26,부산광역시,2629,남구,5,FEMALE,4,1369.755983,171.6551408
LI122100010002LI12210001000201387,20201201,49,화,26,부산광역시,2629,남구,12,MALE,0,1266.654621,101.7509933
LI122100010002LI12210001000201388,20201201,49,화,26,부산광역시,2629,남구,2,MALE,6,8117.766452,384.814804
LI122100010002LI12210001000201389,20201201,49,화,26,부산광역시,2629,남구,4,FEMALE,6,8592.933868,246.4478329
LI122100010002LI122100010002013810,20201201,49,화,26,부산광역시,2629,남구,3,FEMALE,1,6674.032593,160.1214979
LI122100010002LI122100010002013811,20201201,49,화,26,부산광역시,2629,남구,16,FEMALE,3,6365.25638,1114.312793
LI122100010002LI122100010002013812,20201201,49,화,26,부산광역시,2629,남구,17,MALE,0,1008.648713,83.53390372
LI122100010002LI122100010002013813,20201201,49,화,26,부산광역시,2629,남구,18,MALE,7,7138.304888,1001.632499
LI122100010002LI122100010002013814,20201201,49,화,26,부산광역시,2629,남구,6,FEMALE,6,1932.793881,485.47717
LI122100010002LI122100010002013815,20201201,49,화,26,부산광역시,2629,남구,19,FEMALE,4,9063.99215,1633.718412
LI122100010002LI122100010002013816,20201201,49,화,26,부산광역시,2629,남구,12,MALE,4,7508.17195,2009.13505
LI122100010002LI122100010002013817,20201201,49,화,26,부산광역시,2629,남구,7,FEMALE,5,7624.678249,1198.251622
LI122100010002LI122100010002013818,20201201,49,화,26,부산광역시,2629,남구,9,MALE,4,7863.322284,2133.153768
LI122100010002LI122100010002013819,20201201,49,화,26,부산광역시,2629,남구,18,MALE,4,8136.529727,2932.135452
LI122100010002LI122100010002013820,20201201,49,화,26,부산광역시,2629,남구,20,FEMALE,3,6826.663631,978.3068759
LI122100010002LI122100010002013821,20201201,49,화,26,부산광역시,2629,남구,20,MALE,7,7369.376153,482.1868825
LI122100010002LI122100010002013822,20201201,49,화,26,부산광역시,2629,남구,16,FEMALE,1,9791.64952,1051.943974
LI122100010002LI122100010002013823,20201201,49,화,26,부산광역시,2629,남구,6,MALE,3,1537.789755,704.7544102
LI122100010002LI122100010002013824,20201201,49,화,26,부산광역시,2629,남구,17,FEMALE,4,8415.262685,1847.015605
LI122100010002LI122100010002013825,20201201,49,화,26,부산광역시,2629,남구,16,FEMALE,4,8631.344623,1745.871697
LI122100010002LI122100010002013826,20201201,49,화,26,부산광역시,2629,남구,19,MALE,4,8662.530877,2224.790161
LI122100010002LI122100010002013827,20201201,49,화,26,부산광역시,2629,남구,21,FEMALE,7,9996.33747,455.2418044
