INDEX_KEY,CRTR_YMD,CRTR_WEEK,DWK_NM,CTPV_CD,CTPV_NM,SGG_CD,SGG_NM,TMZN_CD,SEX_DV,AGRDE_CLS,REVISN_AMBLT_PUL_CNT,REVISN_NMBLT_PUL_CNT
LI122100010002LI12210001000201421,20201201,49,화,26,부산광역시,2626,동래구,14,MALE,4,6873.056622,1846.650306
LI122100010002LI12210001000201422,20201201,49,화,26,부산광역시,2626,동래구,0,FEMALE,0,1198.312291,20.25650835
LI122100010002LI12210001000201423,20201201,49,화,26,부산광역시,2626,동래구,4,FEMALE,7,7213.17909,202.8918569
LI122100010002LI12210001000201424,20201201,49,화,26,부산광역시,2626,동래구,9,FEMALE,0,1304.331214,79.19763827
LI122100010002LI12210001000201425,20201201,49,화,26,부산광역시,2626,동래구,8,FEMALE,2,6324.221757,1755.163979
LI122100010002LI12210001000201426,20201201,49,화,26,부산광역시,2626,동래구,2,FEMALE,3,6531.977932,240.2192415
LI122100010002LI12210001000201427,20201201,49,화,26,부산광역시,2626,동래구,17,FEMALE,6,11134.78902,1967.906444
LI122100010002LI12210001000201428,20201201,49,화,26,부산광역시,2626,동래구,6,FEMALE,6,2034.148407,581.4390626
LI122100010002LI12210001000201429,20201201,49,화,26,부산광역시,2626,동래구,22,FEMALE,3,7000.975103,798.2745423
LI122100010002LI122100010002014210,20201201,49,화,26,부산광역시,2626,동래구,18,MALE,0,1094.55431,83.071733
LI122100010002LI122100010002014211,20201201,49,화,26,부산광역시,2626,동래구,0,FEMALE,6,11175.23446,341.8577023
LI122100010002LI122100010002014212,20201201,49,화,26,부산광역시,2626,동래구,3,MALE,3,6411.190342,275.0414889
LI122100010002LI122100010002014213,20201201,49,화,26,부산광역시,2626,동래구,15,FEMALE,2,7258.760969,1033.290544
LI122100010002LI122100010002014214,20201201,49,화,26,부산광역시,2626,동래구,20,MALE,3,7263.170698,1471.370418
LI122100010002LI122100010002014215,20201201,49,화,26,부산광역시,2626,동래구,1,MALE,3,6803.096597,416.5416924
