INDEX_KEY,CRTR_YMD,CRTR_WEEK,DWK_NM,CTPV_CD,CTPV_NM,SGG_CD,SGG_NM,TMZN_CD,SEX_DV,AGRDE_CLS,REVISN_AMBLT_PUL_CNT,REVISN_NMBLT_PUL_CNT
LI122100010002LI12210001000201441,20201201,49,화,26,부산광역시,2632,북구,14,FEMALE,2,7022.005027,909.1419257
LI122100010002LI12210001000201442,20201201,49,화,26,부산광역시,2632,북구,12,FEMALE,5,11007.24692,2028.633523
LI122100010002LI12210001000201443,20201201,49,화,26,부산광역시,2632,북구,17,FEMALE,2,7108.706422,1310.329089
LI122100010002LI12210001000201444,20201201,49,화,26,부산광역시,2632,북구,13,MALE,5,6565.695296,1701.071075
LI122100010002LI12210001000201445,20201201,49,화,26,부산광역시,2632,북구,1,FEMALE,5,11408.79594,386.4219564
LI122100010002LI12210001000201446,20201201,49,화,26,부산광역시,2632,북구,10,MALE,4,5512.041274,1409.249718
LI122100010002LI12210001000201447,20201201,49,화,26,부산광역시,2632,북구,11,FEMALE,1,7900.850398,519.1589162
LI122100010002LI12210001000201448,20201201,49,화,26,부산광역시,2632,북구,8,MALE,5,6477.296604,2443.726458
LI122100010002LI12210001000201449,20201201,49,화,26,부산광역시,2632,북구,7,FEMALE,4,6731.820337,1241.147351
LI122100010002LI122100010002014410,20201201,49,화,26,부산광역시,2632,북구,19,FEMALE,4,9140.818206,1655.947068
LI122100010002LI122100010002014411,20201201,49,화,26,부산광역시,2632,북구,7,FEMALE,6,7580.480986,1135.382635
LI122100010002LI122100010002014412,20201201,49,화,26,부산광역시,2632,북구,3,MALE,6,9288.01326,306.9939771
LI122100010002LI122100010002014413,20201201,49,화,26,부산광역시,2632,북구,20,FEMALE,2,8255.970849,1186.870855
LI122100010002LI122100010002014414,20201201,49,화,26,부산광역시,2632,북구,17,MALE,3,5284.004208,1938.07906
LI122100010002LI122100010002014415,20201201,49,화,26,부산광역시,2632,북구,3,FEMALE,7,7871.074239,154.9171385
LI122100010002LI122100010002014416,20201201,49,화,26,부산광역시,2632,북구,7,FEMALE,1,5890.440017,264.3700049
LI122100010002LI122100010002014417,20201201,49,화,26,부산광역시,2632,북구,19,FEMALE,6,10504.26126,1307.404427
LI122100010002LI122100010002014418,20201201,49,화,26,부산광역시,2632,북구,1,FEMALE,4,8009.894201,307.4826736
LI122100010002LI122100010002014419,20201201,49,화,26,부산광역시,2632,북구,11,FEMALE,0,1287.681127,97.59782815
LI122100010002LI122100010002014420,20201201,49,화,26,부산광역시,2632,북구,20,FEMALE,5,12291.11618,1799.228754
LI122100010002LI122100010002014421,20201201,49,화,26,부산광역시,2632,북구,23,MALE,3,6639.957297,669.0622156
LI122100010002LI122100010002014422,20201201,49,화,26,부산광역시,2632,북구,10,MALE,5,6659.130466,1743.380722
LI122100010002LI122100010002014423,20201201,49,화,26,부산광역시,2632,북구,14,MALE,3,4719.57711,1224.918833
LI122100010002LI122100010002014424,20201201,49,화,26,부산광역시,2632,북구,12,MALE,5,6488.569237,1581.624956
LI122100010002LI122100010002014425,20201201,49,화,26,부산광역시,2632,북구,4,FEMALE,4,6782.746691,201.4752508
LI122100010002LI122100010002014426,20201201,49,화,26,부산광역시,2632,북구,10,MALE,1,8458.727549,524.1250207
LI122100010002LI122100010002014427,20201201,49,화,26,부산광역시,2632,북구,11,FEMALE,2,7158.209401,826.4190359
LI122100010002LI122100010002014428,20201201,49,화,26,부산광역시,2632,북구,8,MALE,7,5163.540371,925.6819187
LI122100010002LI122100010002014429,20201201,49,화,26,부산광역시,2632,북구,6,MALE,0,99.69773984,2.682462215
LI122100010002LI122100010002014430,20201201,49,화,26,부산광역시,2632,북구,10,FEMALE,3,6927.848867,958.2623077
LI122100010002LI122100010002014431,20201201,49,화,26,부산광역시,2632,북구,9,MALE,4,5729.316885,1617.022135
LI122100010002LI122100010002014432,20201201,49,화,26,부산광역시,2632,북구,0,FEMALE,2,8440.594003,589.3391265
LI122100010002LI122100010002014433,20201201,49,화,26,부산광역시,2632,북구,21,MALE,1,10308.91366,1007.52443
LI122100010002LI122100010002014434,20201201,49,화,26,부산광역시,2632,북구,20,FEMALE,3,7794.438097,1009.694619
LI122100010002LI122100010002014435,20201201,49,화,26,부산광역시,2632,북구,1,FEMALE,1,7620.355738,271.5327239
LI122100010002LI122100010002014436,20201201,49,화,26,부산광역시,2632,북구,7,MALE,1,6426.573443,356.3385134
LI122100010002LI122100010002014437,20201201,49,화,26,부산광역시,2632,북구,2,FEMALE,5,10990.08422,285.4702178
