INDEX_KEY,CRTR_YMD,CRTR_WEEK,DWK_NM,CTPV_CD,CTPV_NM,SGG_CD,SGG_NM,TMZN_CD,SEX_DV,AGRDE_CLS,REVISN_AMBLT_PUL_CNT,REVISN_NMBLT_PUL_CNT
LI122100010002LI12210001000201451,20201201,49,화,26,부산광역시,2653,사상구,4,FEMALE,7,5817.998991,197.4788971
LI122100010002LI12210001000201452,20201201,49,화,26,부산광역시,2653,사상구,11,FEMALE,3,6632.134759,1041.117025
LI122100010002LI12210001000201453,20201201,49,화,26,부산광역시,2653,사상구,10,FEMALE,0,1037.537266,47.17158413
LI122100010002LI12210001000201454,20201201,49,화,26,부산광역시,2653,사상구,11,MALE,0,923.1380208,84.35051394
LI122100010002LI12210001000201455,20201201,49,화,26,부산광역시,2653,사상구,15,MALE,2,9026.148039,1819.189596
LI122100010002LI12210001000201456,20201201,49,화,26,부산광역시,2653,사상구,6,MALE,1,1066.713475,111.0218182
LI122100010002LI12210001000201457,20201201,49,화,26,부산광역시,2653,사상구,16,MALE,0,1000.260656,129.1216112
LI122100010002LI12210001000201458,20201201,49,화,26,부산광역시,2653,사상구,6,FEMALE,6,2811.423638,884.9168358
LI122100010002LI12210001000201459,20201201,49,화,26,부산광역시,2653,사상구,10,MALE,5,13178.03528,3276.09083
LI122100010002LI122100010002014510,20201201,49,화,26,부산광역시,2653,사상구,23,FEMALE,1,5918.253176,331.4869761
LI122100010002LI122100010002014511,20201201,49,화,26,부산광역시,2653,사상구,5,FEMALE,1,1026.030741,58.58234906
LI122100010002LI122100010002014512,20201201,49,화,26,부산광역시,2653,사상구,14,FEMALE,7,7239.851948,1140.411984
LI122100010002LI122100010002014513,20201201,49,화,26,부산광역시,2653,사상구,23,MALE,0,736.3434138,24.28593731
LI122100010002LI122100010002014514,20201201,49,화,26,부산광역시,2653,사상구,13,FEMALE,1,6792.041333,611.2584412
LI122100010002LI122100010002014515,20201201,49,화,26,부산광역시,2653,사상구,18,MALE,1,6762.862392,844.6243205
LI122100010002LI122100010002014516,20201201,49,화,26,부산광역시,2653,사상구,7,FEMALE,6,7797.85513,1493.522812
LI122100010002LI122100010002014517,20201201,49,화,26,부산광역시,2653,사상구,3,FEMALE,6,9605.406173,270.6361383
LI122100010002LI122100010002014518,20201201,49,화,26,부산광역시,2653,사상구,4,FEMALE,6,8315.95923,321.5436605
LI122100010002LI122100010002014519,20201201,49,화,26,부산광역시,2653,사상구,11,MALE,1,6153.601053,592.3910615
LI122100010002LI122100010002014520,20201201,49,화,26,부산광역시,2653,사상구,22,MALE,7,4413.846752,327.6225857
LI122100010002LI122100010002014521,20201201,49,화,26,부산광역시,2653,사상구,0,FEMALE,7,8017.456652,210.5570459
LI122100010002LI122100010002014522,20201201,49,화,26,부산광역시,2653,사상구,22,FEMALE,5,9038.865811,930.9236529
LI122100010002LI122100010002014523,20201201,49,화,26,부산광역시,2653,사상구,4,FEMALE,4,5783.858338,205.3263035
LI122100010002LI122100010002014524,20201201,49,화,26,부산광역시,2653,사상구,8,FEMALE,3,6302.650372,2501.605615
LI122100010002LI122100010002014525,20201201,49,화,26,부산광역시,2653,사상구,11,FEMALE,1,6297.847334,485.2299719
LI122100010002LI122100010002014526,20201201,49,화,26,부산광역시,2653,사상구,4,MALE,2,6686.101755,392.4368484
LI122100010002LI122100010002014527,20201201,49,화,26,부산광역시,2653,사상구,0,FEMALE,6,10794.2035,358.9054934
LI122100010002LI122100010002014528,20201201,49,화,26,부산광역시,2653,사상구,14,MALE,3,7631.52821,2079.828736
LI122100010002LI122100010002014529,20201201,49,화,26,부산광역시,2653,사상구,9,MALE,4,10209.31353,3002.783219
LI122100010002LI122100010002014530,20201201,49,화,26,부산광역시,2653,사상구,21,FEMALE,4,7172.463245,962.4591843
LI122100010002LI122100010002014531,20201201,49,화,26,부산광역시,2653,사상구,18,FEMALE,7,7331.62619,790.2745012
LI122100010002LI122100010002014532,20201201,49,화,26,부산광역시,2653,사상구,12,MALE,1,6586.63233,704.6204298
LI122100010002LI122100010002014533,20201201,49,화,26,부산광역시,2653,사상구,15,FEMALE,1,7231.492497,883.8473916
LI122100010002LI122100010002014534,20201201,49,화,26,부산광역시,2653,사상구,0,FEMALE,5,11359.9345,460.0892246
LI122100010002LI122100010002014535,20201201,49,화,26,부산광역시,2653,사상구,9,FEMALE,6,10607.74372,1658.643195
LI122100010002LI122100010002014536,20201201,49,화,26,부산광역시,2653,사상구,0,FEMALE,1,7432.232459,289.5534062
LI122100010002LI122100010002014537,20201201,49,화,26,부산광역시,2653,사상구,3,FEMALE,4,6417.627803,199.7834196
LI122100010002LI122100010002014538,20201201,49,화,26,부산광역시,2653,사상구,6,MALE,5,3472.691503,3051.755985
LI122100010002LI122100010002014539,20201201,49,화,26,부산광역시,2653,사상구,16,FEMALE,5,10966.91413,2311.576027
LI122100010002LI122100010002014540,20201201,49,화,26,부산광역시,2653,사상구,3,MALE,7,4973.112414,186.8961563
LI122100010002LI122100010002014541,20201201,49,화,26,부산광역시,2653,사상구,17,MALE,1,6974.324841,858.8688177
LI122100010002LI122100010002014542,20201201,49,화,26,부산광역시,2653,사상구,3,MALE,3,6311.378721,362.2082125
LI122100010002LI122100010002014543,20201201,49,화,26,부산광역시,2653,사상구,4,MALE,1,4820.08325,132.0454566
LI122100010002LI122100010002014544,20201201,49,화,26,부산광역시,2653,사상구,17,MALE,2,8782.865595,2249.78176
