INDEX_KEY,CRTR_YMD,CRTR_WEEK,DWK_NM,CTPV_CD,CTPV_NM,SGG_CD,SGG_NM,TMZN_CD,SEX_DV,AGRDE_CLS,REVISN_AMBLT_PUL_CNT,REVISN_NMBLT_PUL_CNT
LI122100010002LI12210001000201491,20201201,49,화,26,부산광역시,2647,연제구,17,FEMALE,6,9351.175858,1548.184819
LI122100010002LI12210001000201492,20201201,49,화,26,부산광역시,2647,연제구,6,MALE,0,67.3751421,2.593013525
LI122100010002LI12210001000201493,20201201,49,화,26,부산광역시,2647,연제구,9,FEMALE,1,6521.355727,440.7496369
LI122100010002LI12210001000201494,20201201,49,화,26,부산광역시,2647,연제구,5,FEMALE,3,1268.677274,72.3057934
LI122100010002LI12210001000201495,20201201,49,화,26,부산광역시,2647,연제구,3,MALE,1,5105.143951,148.8260927
LI122100010002LI12210001000201496,20201201,49,화,26,부산광역시,2647,연제구,11,MALE,1,6449.081177,527.0963964
LI122100010002LI12210001000201497,20201201,49,화,26,부산광역시,2647,연제구,14,FEMALE,2,6278.363064,833.4745898
LI122100010002LI12210001000201498,20201201,49,화,26,부산광역시,2647,연제구,4,FEMALE,6,7122.952382,234.8235953
LI122100010002LI12210001000201499,20201201,49,화,26,부산광역시,2647,연제구,22,FEMALE,5,8007.682455,810.5258881
LI122100010002LI122100010002014910,20201201,49,화,26,부산광역시,2647,연제구,15,MALE,1,6767.73766,699.5742171
LI122100010002LI122100010002014911,20201201,49,화,26,부산광역시,2647,연제구,7,FEMALE,4,5891.829813,905.8828424
LI122100010002LI122100010002014912,20201201,49,화,26,부산광역시,2647,연제구,21,MALE,3,6489.76088,1150.866039
LI122100010002LI122100010002014913,20201201,49,화,26,부산광역시,2647,연제구,20,MALE,6,7579.933168,1093.148739
LI122100010002LI122100010002014914,20201201,49,화,26,부산광역시,2647,연제구,17,FEMALE,5,9002.611275,1914.670252
LI122100010002LI122100010002014915,20201201,49,화,26,부산광역시,2647,연제구,16,MALE,0,717.0465564,84.76465786
LI122100010002LI122100010002014916,20201201,49,화,26,부산광역시,2647,연제구,22,FEMALE,6,7810.690591,610.1536278
LI122100010002LI122100010002014917,20201201,49,화,26,부산광역시,2647,연제구,23,MALE,6,6401.389206,549.7745414
LI122100010002LI122100010002014918,20201201,49,화,26,부산광역시,2647,연제구,22,FEMALE,3,6226.772122,711.4190836
LI122100010002LI122100010002014919,20201201,49,화,26,부산광역시,2647,연제구,4,FEMALE,7,6045.33413,169.1270977
LI122100010002LI122100010002014920,20201201,49,화,26,부산광역시,2647,연제구,2,MALE,3,5743.016142,272.7176327
LI122100010002LI122100010002014921,20201201,49,화,26,부산광역시,2647,연제구,9,FEMALE,6,9591.659274,1493.531527
LI122100010002LI122100010002014922,20201201,49,화,26,부산광역시,2647,연제구,16,MALE,6,7336.058928,1874.8873
LI122100010002LI122100010002014923,20201201,49,화,26,부산광역시,2647,연제구,12,FEMALE,2,6548.403211,833.8243645
LI122100010002LI122100010002014924,20201201,49,화,26,부산광역시,2647,연제구,15,MALE,5,7594.727386,1694.891327
LI122100010002LI122100010002014925,20201201,49,화,26,부산광역시,2647,연제구,22,MALE,7,5034.126462,298.444111
LI122100010002LI122100010002014926,20201201,49,화,26,부산광역시,2647,연제구,1,FEMALE,5,8342.764625,316.7871611
LI122100010002LI122100010002014927,20201201,49,화,26,부산광역시,2647,연제구,3,MALE,6,6932.199139,253.0992038
LI122100010002LI122100010002014928,20201201,49,화,26,부산광역시,2647,연제구,7,FEMALE,3,4817.462147,686.3947488
LI122100010002LI122100010002014929,20201201,49,화,26,부산광역시,2647,연제구,20,MALE,3,6355.364636,1181.171903
LI122100010002LI122100010002014930,20201201,49,화,26,부산광역시,2647,연제구,20,MALE,1,6769.322252,737.741996
LI122100010002LI122100010002014931,20201201,49,화,26,부산광역시,2647,연제구,11,FEMALE,4,7899.662695,1129.808688
LI122100010002LI122100010002014932,20201201,49,화,26,부산광역시,2647,연제구,9,MALE,0,625.7106495,49.80470777
LI122100010002LI122100010002014933,20201201,49,화,26,부산광역시,2647,연제구,17,FEMALE,3,6544.9049,1126.039294
LI122100010002LI122100010002014934,20201201,49,화,26,부산광역시,2647,연제구,15,FEMALE,7,8255.898826,1120.638831
LI122100010002LI122100010002014935,20201201,49,화,26,부산광역시,2647,연제구,18,MALE,7,5742.587718,751.4650927
LI122100010002LI122100010002014936,20201201,49,화,26,부산광역시,2647,연제구,2,FEMALE,2,6580.461806,302.2827272
LI122100010002LI122100010002014937,20201201,49,화,26,부산광역시,2647,연제구,23,MALE,7,4933.064631,187.4065312
LI122100010002LI122100010002014938,20201201,49,화,26,부산광역시,2647,연제구,9,MALE,1,6605.84744,479.6053486
LI122100010002LI122100010002014939,20201201,49,화,26,부산광역시,2647,연제구,19,FEMALE,0,737.7603792,34.47338879
LI122100010002LI122100010002014940,20201201,49,화,26,부산광역시,2647,연제구,22,FEMALE,7,6563.439852,299.1598713
LI122100010002LI122100010002014941,20201201,49,화,26,부산광역시,2647,연제구,1,FEMALE,3,6095.713847,247.6612965
LI122100010002LI122100010002014942,20201201,49,화,26,부산광역시,2647,연제구,23,FEMALE,4,7047.001399,451.9478292
LI122100010002LI122100010002014943,20201201,49,화,26,부산광역시,2647,연제구,9,MALE,3,5654.837073,1081.771561
LI122100010002LI122100010002014944,20201201,49,화,26,부산광역시,2647,연제구,17,MALE,3,5635.717061,1421.668257
