INDEX_KEY,CRTR_YMD,CRTR_WEEK,DWK_NM,CTPV_CD,CTPV_NM,SGG_CD,SGG_NM,TMZN_CD,SEX_DV,AGRDE_CLS,REVISN_AMBLT_PUL_CNT,REVISN_NMBLT_PUL_CNT
LI122100010002LI12210001000201501,20201201,49,화,26,부산광역시,2620,영도구,21,FEMALE,3,2223.00435,256.8659322
LI122100010002LI12210001000201502,20201201,49,화,26,부산광역시,2620,영도구,15,FEMALE,3,2236.769511,379.5012211
LI122100010002LI12210001000201503,20201201,49,화,26,부산광역시,2620,영도구,3,MALE,4,3231.927227,130.1611848
LI122100010002LI12210001000201504,20201201,49,화,26,부산광역시,2620,영도구,22,FEMALE,4,3149.672971,329.3345703
LI122100010002LI12210001000201505,20201201,49,화,26,부산광역시,2620,영도구,21,MALE,0,399.4742448,32.63435125
LI122100010002LI12210001000201506,20201201,49,화,26,부산광역시,2620,영도구,0,MALE,4,3669.347566,269.6863333
LI122100010002LI12210001000201507,20201201,49,화,26,부산광역시,2620,영도구,13,FEMALE,4,3421.952874,555.1709088
LI122100010002LI12210001000201508,20201201,49,화,26,부산광역시,2620,영도구,17,FEMALE,1,3835.657834,467.671991
LI122100010002LI12210001000201509,20201201,49,화,26,부산광역시,2620,영도구,12,MALE,0,546.7067299,31.79170203
LI122100010002LI122100010002015010,20201201,49,화,26,부산광역시,2620,영도구,14,MALE,1,3689.556884,359.5281138
LI122100010002LI122100010002015011,20201201,49,화,26,부산광역시,2620,영도구,20,MALE,4,3390.873675,604.4265188
LI122100010002LI122100010002015012,20201201,49,화,26,부산광역시,2620,영도구,23,FEMALE,4,3214.146138,174.2465973
LI122100010002LI122100010002015013,20201201,49,화,26,부산광역시,2620,영도구,12,MALE,5,4972.010234,1057.019855
LI122100010002LI122100010002015014,20201201,49,화,26,부산광역시,2620,영도구,9,MALE,3,2576.610754,572.7548616
LI122100010002LI122100010002015015,20201201,49,화,26,부산광역시,2620,영도구,9,MALE,1,3320.104899,205.6156263
LI122100010002LI122100010002015016,20201201,49,화,26,부산광역시,2620,영도구,11,MALE,4,3635.674501,856.7392736
LI122100010002LI122100010002015017,20201201,49,화,26,부산광역시,2620,영도구,15,FEMALE,1,4163.506857,405.9198592
LI122100010002LI122100010002015018,20201201,49,화,26,부산광역시,2620,영도구,19,MALE,3,2372.339875,538.4248451
LI122100010002LI122100010002015019,20201201,49,화,26,부산광역시,2620,영도구,17,FEMALE,3,2191.811192,451.3448417
LI122100010002LI122100010002015020,20201201,49,화,26,부산광역시,2620,영도구,23,MALE,2,3154.105859,354.9527541
