INDEX_KEY,CRTR_YMD,CRTR_WEEK,DWK_NM,CTPV_CD,CTPV_NM,SGG_CD,SGG_NM,TMZN_CD,SEX_DV,AGRDE_CLS,REVISN_AMBLT_PUL_CNT,REVISN_NMBLT_PUL_CNT
LI122100010002LI12210001000201511,20201201,49,화,26,부산광역시,2611,중구,23,FEMALE,0,147.9616659,4.684094191
LI122100010002LI12210001000201512,20201201,49,화,26,부산광역시,2611,중구,1,MALE,1,1028.950266,33.95730162
LI122100010002LI12210001000201513,20201201,49,화,26,부산광역시,2611,중구,9,FEMALE,6,3620.259112,622.950372
LI122100010002LI12210001000201514,20201201,49,화,26,부산광역시,2611,중구,6,MALE,2,553.5537554,130.8126408
LI122100010002LI12210001000201515,20201201,49,화,26,부산광역시,2611,중구,19,MALE,4,2698.279406,540.8017474
LI122100010002LI12210001000201516,20201201,49,화,26,부산광역시,2611,중구,7,MALE,7,1611.210808,264.2040026
LI122100010002LI12210001000201517,20201201,49,화,26,부산광역시,2611,중구,13,MALE,1,1429.391635,162.7164905
LI122100010002LI12210001000201518,20201201,49,화,26,부산광역시,2611,중구,1,FEMALE,4,1775.642221,87.95966411
LI122100010002LI12210001000201519,20201201,49,화,26,부산광역시,2611,중구,10,FEMALE,1,1202.415158,90.01921129
LI122100010002LI122100010002015110,20201201,49,화,26,부산광역시,2611,중구,1,FEMALE,0,105.657613,2.219656467
LI122100010002LI122100010002015111,20201201,49,화,26,부산광역시,2611,중구,15,FEMALE,1,1410.851863,198.8728266
LI122100010002LI122100010002015112,20201201,49,화,26,부산광역시,2611,중구,9,FEMALE,2,3026.421788,457.3375803
LI122100010002LI122100010002015113,20201201,49,화,26,부산광역시,2611,중구,6,FEMALE,3,436.1924136,72.67053926
LI122100010002LI122100010002015114,20201201,49,화,26,부산광역시,2611,중구,0,FEMALE,2,2237.406938,156.1416107
LI122100010002LI122100010002015115,20201201,49,화,26,부산광역시,2611,중구,1,FEMALE,2,1984.139173,118.7114306
LI122100010002LI122100010002015116,20201201,49,화,26,부산광역시,2611,중구,4,FEMALE,5,1862.896887,87.80725741
LI122100010002LI122100010002015117,20201201,49,화,26,부산광역시,2611,중구,21,MALE,4,2300.300788,386.5840032
LI122100010002LI122100010002015118,20201201,49,화,26,부산광역시,2611,중구,0,FEMALE,0,146.3433506,0
LI122100010002LI122100010002015119,20201201,49,화,26,부산광역시,2611,중구,15,MALE,1,1479.261108,221.4444835
LI122100010002LI122100010002015120,20201201,49,화,26,부산광역시,2611,중구,23,FEMALE,1,1133.56438,74.75360227
LI122100010002LI122100010002015121,20201201,49,화,26,부산광역시,2611,중구,12,FEMALE,7,3977.196588,632.6235036
LI122100010002LI122100010002015122,20201201,49,화,26,부산광역시,2611,중구,23,MALE,6,2384.786995,237.2628886
LI122100010002LI122100010002015123,20201201,49,화,26,부산광역시,2611,중구,20,FEMALE,1,1400.185437,177.6147847
LI122100010002LI122100010002015124,20201201,49,화,26,부산광역시,2611,중구,11,MALE,4,3482.922905,663.696035
LI122100010002LI122100010002015125,20201201,49,화,26,부산광역시,2611,중구,20,MALE,0,164.734762,4.226909161
LI122100010002LI122100010002015126,20201201,49,화,26,부산광역시,2611,중구,17,MALE,7,2748.038224,477.9380348
LI122100010002LI122100010002015127,20201201,49,화,26,부산광역시,2611,중구,12,FEMALE,3,3483.319957,414.3502395
LI122100010002LI122100010002015128,20201201,49,화,26,부산광역시,2611,중구,23,FEMALE,4,1700.267349,95.20911396
