INDEX_KEY,CRTR_YMD,CRTR_WEEK,DWK_NM,CTPV_CD,CTPV_NM,SGG_CD,SGG_NM,TMZN_CD,SEX_DV,AGRDE_CLS,REVISN_AMBLT_PUL_CNT,REVISN_NMBLT_PUL_CNT
LI122100010002LI12210001000201791,20201201,49,화,26,부산광역시,2671,기장군,8,FEMALE,2,2754.245126,928.5864672
LI122100010002LI12210001000201792,20201201,49,화,26,부산광역시,2671,기장군,6,MALE,6,932.264402,1478.602757
LI122100010002LI12210001000201793,20201201,49,화,26,부산광역시,2671,기장군,9,MALE,0,1535.961687,116.7206964
LI122100010002LI12210001000201794,20201201,49,화,26,부산광역시,2671,기장군,12,MALE,4,6967.488606,2637.780006
LI122100010002LI12210001000201795,20201201,49,화,26,부산광역시,2671,기장군,8,MALE,5,5394.756912,2964.672961
LI122100010002LI12210001000201796,20201201,49,화,26,부산광역시,2671,기장군,20,MALE,1,8427.974833,911.5900431
LI122100010002LI12210001000201797,20201201,49,화,26,부산광역시,2671,기장군,0,MALE,7,3916.505704,147.4824879
LI122100010002LI12210001000201798,20201201,49,화,26,부산광역시,2671,기장군,6,FEMALE,1,713.0642054,65.85630417
LI122100010002LI12210001000201799,20201201,49,화,26,부산광역시,2671,기장군,1,MALE,6,4143.432547,236.8684921
LI122100010002LI122100010002017910,20201201,49,화,26,부산광역시,2671,기장군,10,FEMALE,0,1501.041367,92.17831969
LI122100010002LI122100010002017911,20201201,49,화,26,부산광역시,2671,기장군,7,MALE,5,4244.936629,3134.712567
LI122100010002LI122100010002017912,20201201,49,화,26,부산광역시,2671,기장군,4,MALE,6,3613.249258,306.3770715
LI122100010002LI122100010002017913,20201201,49,화,26,부산광역시,2671,기장군,19,MALE,3,5465.305313,1756.315968
LI122100010002LI122100010002017914,20201201,49,화,26,부산광역시,2671,기장군,22,FEMALE,4,6512.447353,809.9401288
LI122100010002LI122100010002017915,20201201,49,화,26,부산광역시,2671,기장군,7,FEMALE,1,4604.893768,271.4269369
LI122100010002LI122100010002017916,20201201,49,화,26,부산광역시,2671,기장군,5,MALE,3,608.6132851,361.6982418
LI122100010002LI122100010002017917,20201201,49,화,26,부산광역시,2671,기장군,5,FEMALE,4,836.7628601,227.6399802
LI122100010002LI122100010002017918,20201201,49,화,26,부산광역시,2671,기장군,3,FEMALE,5,5091.173279,116.6329799
LI122100010002LI122100010002017919,20201201,49,화,26,부산광역시,2671,기장군,11,FEMALE,3,5952.723453,1267.288163
LI122100010002LI122100010002017920,20201201,49,화,26,부산광역시,2671,기장군,1,MALE,5,5312.267884,355.1492683
LI122100010002LI122100010002017921,20201201,49,화,26,부산광역시,2671,기장군,12,FEMALE,1,6743.884477,611.0005031
LI122100010002LI122100010002017922,20201201,49,화,26,부산광역시,2671,기장군,13,MALE,6,5573.718243,2182.081552
LI122100010002LI122100010002017923,20201201,49,화,26,부산광역시,2671,기장군,16,MALE,3,5026.181162,1916.677283
LI122100010002LI122100010002017924,20201201,49,화,26,부산광역시,2671,기장군,23,MALE,1,7293.323921,437.492065
LI122100010002LI122100010002017925,20201201,49,화,26,부산광역시,2671,기장군,10,FEMALE,4,7573.675623,1679.741304
LI122100010002LI122100010002017926,20201201,49,화,26,부산광역시,2671,기장군,20,FEMALE,2,3767.129806,757.5836881
LI122100010002LI122100010002017927,20201201,49,화,26,부산광역시,2671,기장군,12,MALE,1,7323.327838,680.8928525
LI122100010002LI122100010002017928,20201201,49,화,26,부산광역시,2671,기장군,6,MALE,0,75.45230913,5.397285223
LI122100010002LI122100010002017929,20201201,49,화,26,부산광역시,2671,기장군,13,FEMALE,3,6186.346477,1395.661594
LI122100010002LI122100010002017930,20201201,49,화,26,부산광역시,2671,기장군,17,FEMALE,6,5483.114457,1434.90971
LI122100010002LI122100010002017931,20201201,49,화,26,부산광역시,2671,기장군,21,FEMALE,4,7558.604583,1241.354799
LI122100010002LI122100010002017932,20201201,49,화,26,부산광역시,2671,기장군,23,MALE,4,6591.584167,896.0131141
LI122100010002LI122100010002017933,20201201,49,화,26,부산광역시,2671,기장군,6,MALE,5,1250.590549,2036.126276
LI122100010002LI122100010002017934,20201201,49,화,26,부산광역시,2671,기장군,16,FEMALE,2,3604.098234,927.8678221
LI122100010002LI122100010002017935,20201201,49,화,26,부산광역시,2671,기장군,21,MALE,5,5538.408544,1329.736448
LI122100010002LI122100010002017936,20201201,49,화,26,부산광역시,2671,기장군,10,MALE,2,3972.57141,933.8611957
LI122100010002LI122100010002017937,20201201,49,화,26,부산광역시,2671,기장군,19,MALE,7,3586.228035,468.343395
LI122100010002LI122100010002017938,20201201,49,화,26,부산광역시,2671,기장군,3,FEMALE,6,4831.869285,118.9579332
LI122100010002LI122100010002017939,20201201,49,화,26,부산광역시,2671,기장군,15,MALE,3,5171.780743,1851.791103
LI122100010002LI122100010002017940,20201201,49,화,26,부산광역시,2671,기장군,20,MALE,2,4007.062182,958.9016502
LI122100010002LI122100010002017941,20201201,49,화,26,부산광역시,2671,기장군,6,MALE,4,1549.978597,1827.318874
LI122100010002LI122100010002017942,20201201,49,화,26,부산광역시,2671,기장군,5,FEMALE,2,387.1020677,97.80471599
