INDEX_KEY,CRTR_YMD,CRTR_WEEK,DWK_NM,CTPV_CD,CTPV_NM,SGG_CD,SGG_NM,TMZN_CD,SEX_DV,AGRDE_CLS,REVISN_AMBLT_PUL_CNT,REVISN_NMBLT_PUL_CNT
LI122100010002LI12210001000201431,20201201,49,화,26,부산광역시,2623,부산진구,0,FEMALE,7,15303.14023,337.0267556
LI122100010002LI12210001000201432,20201201,49,화,26,부산광역시,2623,부산진구,17,MALE,3,11611.21102,2881.19845
LI122100010002LI12210001000201433,20201201,49,화,26,부산광역시,2623,부산진구,10,MALE,7,10556.78795,2342.844224
LI122100010002LI12210001000201434,20201201,49,화,26,부산광역시,2623,부산진구,21,FEMALE,3,13539.02551,1755.645384
LI122100010002LI12210001000201435,20201201,49,화,26,부산광역시,2623,부산진구,8,MALE,6,11415.35872,3222.965922
LI122100010002LI12210001000201436,20201201,49,화,26,부산광역시,2623,부산진구,8,MALE,1,11098.76174,1454.450241
LI122100010002LI12210001000201437,20201201,49,화,26,부산광역시,2623,부산진구,4,MALE,6,10548.48088,692.7152203
LI122100010002LI12210001000201438,20201201,49,화,26,부산광역시,2623,부산진구,15,MALE,6,13389.1937,3474.250483
LI122100010002LI12210001000201439,20201201,49,화,26,부산광역시,2623,부산진구,10,MALE,5,13686.48493,3160.005132
LI122100010002LI122100010002014310,20201201,49,화,26,부산광역시,2623,부산진구,4,FEMALE,1,6815.088049,160.9207675
LI122100010002LI122100010002014311,20201201,49,화,26,부산광역시,2623,부산진구,11,MALE,1,10548.52181,822.4401674
LI122100010002LI122100010002014312,20201201,49,화,26,부산광역시,2623,부산진구,11,FEMALE,4,14084.19368,2230.767293
LI122100010002LI122100010002014313,20201201,49,화,26,부산광역시,2623,부산진구,14,MALE,3,11118.18984,2222.844989
LI122100010002LI122100010002014314,20201201,49,화,26,부산광역시,2623,부산진구,7,MALE,4,8758.548703,2940.566136
LI122100010002LI122100010002014315,20201201,49,화,26,부산광역시,2623,부산진구,18,FEMALE,6,16768.91901,2524.163048
LI122100010002LI122100010002014316,20201201,49,화,26,부산광역시,2623,부산진구,17,MALE,0,1316.583574,121.1867292
LI122100010002LI122100010002014317,20201201,49,화,26,부산광역시,2623,부산진구,4,MALE,7,7747.380818,379.0442839
LI122100010002LI122100010002014318,20201201,49,화,26,부산광역시,2623,부산진구,16,FEMALE,5,17648.42916,3555.150235
LI122100010002LI122100010002014319,20201201,49,화,26,부산광역시,2623,부산진구,21,MALE,4,12672.59433,2357.176177
LI122100010002LI122100010002014320,20201201,49,화,26,부산광역시,2623,부산진구,23,MALE,5,12375.67755,1230.240889
LI122100010002LI122100010002014321,20201201,49,화,26,부산광역시,2623,부산진구,1,FEMALE,7,12995.77351,340.0646608
LI122100010002LI122100010002014322,20201201,49,화,26,부산광역시,2623,부산진구,15,MALE,3,11485.14213,2310.921462
LI122100010002LI122100010002014323,20201201,49,화,26,부산광역시,2623,부산진구,22,FEMALE,3,12149.07859,1383.185946
LI122100010002LI122100010002014324,20201201,49,화,26,부산광역시,2623,부산진구,12,MALE,1,11140.72997,926.593164
LI122100010002LI122100010002014325,20201201,49,화,26,부산광역시,2623,부산진구,0,MALE,0,1263.117997,12.67379951
LI122100010002LI122100010002014326,20201201,49,화,26,부산광역시,2623,부산진구,20,FEMALE,6,15974.4674,1584.835765
LI122100010002LI122100010002014327,20201201,49,화,26,부산광역시,2623,부산진구,6,MALE,4,3437.515139,1753.672192
LI122100010002LI122100010002014328,20201201,49,화,26,부산광역시,2623,부산진구,5,FEMALE,3,2752.130961,203.2780666
