INDEX_KEY,CRTR_YMD,CRTR_WEEK,DWK_NM,CTPV_CD,CTPV_NM,SGG_CD,SGG_NM,TMZN_CD,SEX_DV,AGRDE_CLS,REVISN_AMBLT_PUL_CNT,REVISN_NMBLT_PUL_CNT
LI122100010002LI12210001000201461,20201201,49,화,26,부산광역시,2638,사하구,9,FEMALE,6,12695.78271,1687.899786
LI122100010002LI12210001000201462,20201201,49,화,26,부산광역시,2638,사하구,3,MALE,3,8467.196348,330.8849241
LI122100010002LI12210001000201463,20201201,49,화,26,부산광역시,2638,사하구,9,MALE,0,1725.479097,92.76422691
LI122100010002LI12210001000201464,20201201,49,화,26,부산광역시,2638,사하구,15,FEMALE,0,2048.389351,190.3035059
LI122100010002LI12210001000201465,20201201,49,화,26,부산광역시,2638,사하구,23,MALE,3,8205.917855,764.400017
LI122100010002LI12210001000201466,20201201,49,화,26,부산광역시,2638,사하구,12,FEMALE,5,12169.35537,1945.172732
LI122100010002LI12210001000201467,20201201,49,화,26,부산광역시,2638,사하구,19,MALE,1,11946.68415,1253.845693
LI122100010002LI12210001000201468,20201201,49,화,26,부산광역시,2638,사하구,6,MALE,3,2745.83587,1081.769553
LI122100010002LI12210001000201469,20201201,49,화,26,부산광역시,2638,사하구,6,MALE,1,1596.634296,124.3836677
LI122100010002LI122100010002014610,20201201,49,화,26,부산광역시,2638,사하구,3,FEMALE,6,11523.37772,233.0038053
LI122100010002LI122100010002014611,20201201,49,화,26,부산광역시,2638,사하구,16,FEMALE,3,7926.700796,1364.251132
LI122100010002LI122100010002014612,20201201,49,화,26,부산광역시,2638,사하구,4,MALE,6,9426.017318,598.9547743
LI122100010002LI122100010002014613,20201201,49,화,26,부산광역시,2638,사하구,22,FEMALE,7,8312.039074,365.4831395
LI122100010002LI122100010002014614,20201201,49,화,26,부산광역시,2638,사하구,15,FEMALE,5,12414.02599,2248.044788
LI122100010002LI122100010002014615,20201201,49,화,26,부산광역시,2638,사하구,13,MALE,1,11007.79031,1003.673834
LI122100010002LI122100010002014616,20201201,49,화,26,부산광역시,2638,사하구,13,FEMALE,4,10416.31368,1631.567784
LI122100010002LI122100010002014617,20201201,49,화,26,부산광역시,2638,사하구,22,FEMALE,3,7762.085312,814.5080695
LI122100010002LI122100010002014618,20201201,49,화,26,부산광역시,2638,사하구,17,FEMALE,0,1709.78307,202.6672454
LI122100010002LI122100010002014619,20201201,49,화,26,부산광역시,2638,사하구,0,MALE,5,13161.78221,910.048923
LI122100010002LI122100010002014620,20201201,49,화,26,부산광역시,2638,사하구,13,MALE,3,8330.763989,1760.524243
LI122100010002LI122100010002014621,20201201,49,화,26,부산광역시,2638,사하구,10,FEMALE,6,12559.3483,1739.03424
LI122100010002LI122100010002014622,20201201,49,화,26,부산광역시,2638,사하구,6,FEMALE,4,2415.423654,535.6336701
LI122100010002LI122100010002014623,20201201,49,화,26,부산광역시,2638,사하구,11,FEMALE,6,12177.24379,1793.198618
LI122100010002LI122100010002014624,20201201,49,화,26,부산광역시,2638,사하구,18,FEMALE,7,9467.988155,854.2813406
LI122100010002LI122100010002014625,20201201,49,화,26,부산광역시,2638,사하구,4,FEMALE,2,6661.460415,280.403674
LI122100010002LI122100010002014626,20201201,49,화,26,부산광역시,2638,사하구,7,MALE,0,961.3208988,25.04526019
LI122100010002LI122100010002014627,20201201,49,화,26,부산광역시,2638,사하구,3,FEMALE,0,1166.291425,27.55789399
LI122100010002LI122100010002014628,20201201,49,화,26,부산광역시,2638,사하구,11,MALE,2,8628.839442,1160.534773
LI122100010002LI122100010002014629,20201201,49,화,26,부산광역시,2638,사하구,4,FEMALE,5,9859.202641,265.9309026
LI122100010002LI122100010002014630,20201201,49,화,26,부산광역시,2638,사하구,12,FEMALE,4,10099.87274,1551.117165
LI122100010002LI122100010002014631,20201201,49,화,26,부산광역시,2638,사하구,21,MALE,0,1182.846131,64.66536951
LI122100010002LI122100010002014632,20201201,49,화,26,부산광역시,2638,사하구,14,MALE,6,10858.48043,2708.179717
LI122100010002LI122100010002014633,20201201,49,화,26,부산광역시,2638,사하구,5,MALE,3,1987.716921,359.678431
LI122100010002LI122100010002014634,20201201,49,화,26,부산광역시,2638,사하구,21,MALE,7,6899.905409,427.1968514
LI122100010002LI122100010002014635,20201201,49,화,26,부산광역시,2638,사하구,21,FEMALE,0,1340.087702,72.44397438
LI122100010002LI122100010002014636,20201201,49,화,26,부산광역시,2638,사하구,12,MALE,7,6960.977829,1185.839819
LI122100010002LI122100010002014637,20201201,49,화,26,부산광역시,2638,사하구,9,MALE,5,10907.96747,2637.837479
LI122100010002LI122100010002014638,20201201,49,화,26,부산광역시,2638,사하구,3,MALE,4,9478.956571,350.5922693
LI122100010002LI122100010002014639,20201201,49,화,26,부산광역시,2638,사하구,4,MALE,2,7768.91625,416.3815826
LI122100010002LI122100010002014640,20201201,49,화,26,부산광역시,2638,사하구,6,FEMALE,7,1764.785953,261.8826386
LI122100010002LI122100010002014641,20201201,49,화,26,부산광역시,2638,사하구,13,FEMALE,0,2208.476279,213.3913114
LI122100010002LI122100010002014642,20201201,49,화,26,부산광역시,2638,사하구,11,MALE,4,9606.419144,2230.89272
LI122100010002LI122100010002014643,20201201,49,화,26,부산광역시,2638,사하구,15,MALE,2,8970.614872,1549.735099
LI122100010002LI122100010002014644,20201201,49,화,26,부산광역시,2638,사하구,6,MALE,5,3503.975286,2222.178952
LI122100010002LI122100010002014645,20201201,49,화,26,부산광역시,2638,사하구,17,FEMALE,4,10296.33011,2451.573591
