INDEX_KEY,CRTR_YMD,CRTR_WEEK,DWK_NM,CTPV_CD,CTPV_NM,SGG_CD,SGG_NM,TMZN_CD,SEX_DV,AGRDE_CLS,REVISN_AMBLT_PUL_CNT,REVISN_NMBLT_PUL_CNT
LI122100010002LI12210001000201471,20201201,49,화,26,부산광역시,2614,서구,7,MALE,3,1958.774657,716.7897649
LI122100010002LI12210001000201472,20201201,49,화,26,부산광역시,2614,서구,10,MALE,4,3596.54738,985.8522454
LI122100010002LI12210001000201473,20201201,49,화,26,부산광역시,2614,서구,18,MALE,2,2710.2979,751.3068979
LI122100010002LI12210001000201474,20201201,49,화,26,부산광역시,2614,서구,4,MALE,1,2342.326245,73.73989844
LI122100010002LI12210001000201475,20201201,49,화,26,부산광역시,2614,서구,8,FEMALE,3,2680.024146,886.4009597
LI122100010002LI12210001000201476,20201201,49,화,26,부산광역시,2614,서구,16,FEMALE,2,3051.354467,497.2621825
LI122100010002LI12210001000201477,20201201,49,화,26,부산광역시,2614,서구,2,MALE,0,258.3387034,0
LI122100010002LI12210001000201478,20201201,49,화,26,부산광역시,2614,서구,5,MALE,1,425.7590022,29.82662582
LI122100010002LI12210001000201479,20201201,49,화,26,부산광역시,2614,서구,14,MALE,3,2623.5261,656.2800034
LI122100010002LI122100010002014710,20201201,49,화,26,부산광역시,2614,서구,12,MALE,5,4196.967719,1166.719029
LI122100010002LI122100010002014711,20201201,49,화,26,부산광역시,2614,서구,18,FEMALE,5,4061.351919,971.8741335
LI122100010002LI122100010002014712,20201201,49,화,26,부산광역시,2614,서구,5,MALE,5,852.6572663,401.0752847
LI122100010002LI122100010002014713,20201201,49,화,26,부산광역시,2614,서구,16,MALE,0,356.4910918,53.84986031
LI122100010002LI122100010002014714,20201201,49,화,26,부산광역시,2614,서구,9,MALE,7,3762.371978,747.4200113
LI122100010002LI122100010002014715,20201201,49,화,26,부산광역시,2614,서구,18,MALE,0,294.4269475,32.36107779
LI122100010002LI122100010002014716,20201201,49,화,26,부산광역시,2614,서구,0,FEMALE,4,3504.914183,186.3990777
LI122100010002LI122100010002014717,20201201,49,화,26,부산광역시,2614,서구,12,MALE,1,2980.012507,251.5602796
LI122100010002LI122100010002014718,20201201,49,화,26,부산광역시,2614,서구,3,MALE,1,2560.388444,34.75647426
LI122100010002LI122100010002014719,20201201,49,화,26,부산광역시,2614,서구,19,MALE,6,3947.182465,781.4585756
LI122100010002LI122100010002014720,20201201,49,화,26,부산광역시,2614,서구,2,FEMALE,6,4565.321586,147.5019273
LI122100010002LI122100010002014721,20201201,49,화,26,부산광역시,2614,서구,15,MALE,6,3947.682114,1157.267317
LI122100010002LI122100010002014722,20201201,49,화,26,부산광역시,2614,서구,17,MALE,0,338.475672,63.36252153
LI122100010002LI122100010002014723,20201201,49,화,26,부산광역시,2614,서구,0,FEMALE,6,5484.840816,163.1497403
LI122100010002LI122100010002014724,20201201,49,화,26,부산광역시,2614,서구,12,FEMALE,4,3494.929823,646.6736221
LI122100010002LI122100010002014725,20201201,49,화,26,부산광역시,2614,서구,19,MALE,0,298.6806452,16.54814148
LI122100010002LI122100010002014726,20201201,49,화,26,부산광역시,2614,서구,17,FEMALE,4,3122.735656,789.0735782
LI122100010002LI122100010002014727,20201201,49,화,26,부산광역시,2614,서구,0,FEMALE,0,376.1935716,5.475444555
LI122100010002LI122100010002014728,20201201,49,화,26,부산광역시,2614,서구,15,MALE,7,3541.822355,766.7512927
LI122100010002LI122100010002014729,20201201,49,화,26,부산광역시,2614,서구,0,MALE,2,3095.126595,298.4388328
LI122100010002LI122100010002014730,20201201,49,화,26,부산광역시,2614,서구,5,FEMALE,3,516.0590624,53.80409837
LI122100010002LI122100010002014731,20201201,49,화,26,부산광역시,2614,서구,6,MALE,0,46.1493566,8.116396666
LI122100010002LI122100010002014732,20201201,49,화,26,부산광역시,2614,서구,16,MALE,4,3318.826869,1002.072245
LI122100010002LI122100010002014733,20201201,49,화,26,부산광역시,2614,서구,13,FEMALE,4,3529.243543,639.6984624
LI122100010002LI122100010002014734,20201201,49,화,26,부산광역시,2614,서구,20,MALE,0,245.1945004,12.69839025
LI122100010002LI122100010002014735,20201201,49,화,26,부산광역시,2614,서구,3,MALE,6,3797.574826,183.2004951
LI122100010002LI122100010002014736,20201201,49,화,26,부산광역시,2614,서구,3,MALE,5,3543.16609,174.927057
