INDEX_KEY,CRTR_YMD,CRTR_WEEK,DWK_NM,CTPV_CD,CTPV_NM,SGG_CD,SGG_NM,TMZN_CD,SEX_DV,AGRDE_CLS,REVISN_AMBLT_PUL_CNT,REVISN_NMBLT_PUL_CNT
LI122100010002LI12210001000201101,20201201,49,화,26,부산광역시,2635,해운대구,9,FEMALE,1,13091.09594,779.4692736
LI122100010002LI12210001000201102,20201201,49,화,26,부산광역시,2635,해운대구,21,FEMALE,3,10086.57356,1787.315708
LI122100010002LI12210001000201103,20201201,49,화,26,부산광역시,2635,해운대구,16,MALE,1,14697.60273,1876.574269
LI122100010002LI12210001000201104,20201201,49,화,26,부산광역시,2635,해운대구,8,MALE,2,9083.792229,2152.467253
LI122100010002LI12210001000201105,20201201,49,화,26,부산광역시,2635,해운대구,2,MALE,5,11543.74119,813.6121542
LI122100010002LI12210001000201106,20201201,49,화,26,부산광역시,2635,해운대구,9,FEMALE,7,12456.77748,1448.483891
LI122100010002LI12210001000201107,20201201,49,화,26,부산광역시,2635,해운대구,11,FEMALE,7,12498.95078,1683.106163
LI122100010002LI12210001000201108,20201201,49,화,26,부산광역시,2635,해운대구,11,MALE,6,9648.122417,2734.033828
LI122100010002LI12210001000201109,20201201,49,화,26,부산광역시,2635,해운대구,17,MALE,4,10884.86423,3812.390996
LI122100010002LI122100010002011010,20201201,49,화,26,부산광역시,2635,해운대구,19,MALE,7,7815.712406,924.1449033
LI122100010002LI122100010002011011,20201201,49,화,26,부산광역시,2635,해운대구,23,FEMALE,4,13043.39081,949.9214799
LI122100010002LI122100010002011012,20201201,49,화,26,부산광역시,2635,해운대구,19,MALE,6,10731.88786,2308.934574
LI122100010002LI122100010002011013,20201201,49,화,26,부산광역시,2635,해운대구,3,FEMALE,5,13035.45137,437.5622084
LI122100010002LI122100010002011014,20201201,49,화,26,부산광역시,2635,해운대구,16,FEMALE,1,15007.33159,1959.883945
LI122100010002LI122100010002011015,20201201,49,화,26,부산광역시,2635,해운대구,19,FEMALE,0,1436.377124,124.2166761
LI122100010002LI122100010002011016,20201201,49,화,26,부산광역시,2635,해운대구,15,MALE,6,10085.23695,3157.245948
LI122100010002LI122100010002011017,20201201,49,화,26,부산광역시,2635,해운대구,22,MALE,4,10904.2614,1927.06897
LI122100010002LI122100010002011018,20201201,49,화,26,부산광역시,2635,해운대구,3,MALE,1,10673.90576,369.6869895
LI122100010002LI122100010002011019,20201201,49,화,26,부산광역시,2635,해운대구,21,FEMALE,5,15237.27177,2404.703352
LI122100010002LI122100010002011020,20201201,49,화,26,부산광역시,2635,해운대구,6,MALE,4,3641.370435,1529.088549
LI122100010002LI122100010002011021,20201201,49,화,26,부산광역시,2635,해운대구,4,FEMALE,4,10579.3989,486.0703547
LI122100010002LI122100010002011022,20201201,49,화,26,부산광역시,2635,해운대구,9,FEMALE,2,11062.04753,1836.339494
LI122100010002LI122100010002011023,20201201,49,화,26,부산광역시,2635,해운대구,17,FEMALE,7,12228.91646,1534.472449
LI122100010002LI122100010002011024,20201201,49,화,26,부산광역시,2635,해운대구,8,MALE,0,1513.913597,136.0528357
LI122100010002LI122100010002011025,20201201,49,화,26,부산광역시,2635,해운대구,2,FEMALE,3,8416.232931,453.688611
LI122100010002LI122100010002011026,20201201,49,화,26,부산광역시,2635,해운대구,14,MALE,4,10663.40138,2977.646025
LI122100010002LI122100010002011027,20201201,49,화,26,부산광역시,2635,해운대구,18,FEMALE,5,15451.48757,3617.425455
LI122100010002LI122100010002011028,20201201,49,화,26,부산광역시,2635,해운대구,10,MALE,7,8140.794292,1596.507406
LI122100010002LI122100010002011029,20201201,49,화,26,부산광역시,2635,해운대구,15,FEMALE,3,11142.03463,2104.989637
LI122100010002LI122100010002011030,20201201,49,화,26,부산광역시,2635,해운대구,2,MALE,7,7101.559625,230.59873
LI122100010002LI122100010002011031,20201201,49,화,26,부산광역시,2635,해운대구,16,FEMALE,5,15943.53995,3602.913444
LI122100010002LI122100010002011032,20201201,49,화,26,부산광역시,2635,해운대구,7,MALE,2,7249.798356,1401.370578
LI122100010002LI122100010002011033,20201201,49,화,26,부산광역시,2635,해운대구,12,MALE,7,7789.21599,1548.088819
LI122100010002LI122100010002011034,20201201,49,화,26,부산광역시,2635,해운대구,19,MALE,5,13053.69323,3538.532465
LI122100010002LI122100010002011035,20201201,49,화,26,부산광역시,2635,해운대구,1,MALE,3,8917.094886,817.3837466
LI122100010002LI122100010002011036,20201201,49,화,26,부산광역시,2635,해운대구,12,MALE,6,9615.663132,2569.31378
LI122100010002LI122100010002011037,20201201,49,화,26,부산광역시,2635,해운대구,16,FEMALE,6,14086.82677,2969.55761
LI122100010002LI122100010002011038,20201201,49,화,26,부산광역시,2635,해운대구,11,MALE,0,1497.406753,100.7512441
LI122100010002LI122100010002011039,20201201,49,화,26,부산광역시,2635,해운대구,20,FEMALE,1,14607.08723,1415.688801
LI122100010002LI122100010002011040,20201201,49,화,26,부산광역시,2635,해운대구,10,FEMALE,1,13683.16579,932.5865109
