,날짜,기사제목,기사내용
0,2022.01.19. 오후 3:20,"현대차, 부·울·경에 수소버스 보급 확대… 지자체와 협약 체결","현대차(005380)가 ‘부산∙울산∙경남(부울경) 수소경제권’ 내 수소버스 보급을 확대하기 위해 환경부, 지자체와 협력을 강화하기로 했다.현대차는 환경부와 부산시, 울산시, 경남도, 김해시, 부산·울산·경남 버스운송사업조합과 ‘부울경 수소버스 보급 확대를 위한 업무협약(MOU)’을 체결했다고 19일 밝혔다.현대자동차 3세대 신형 수소버스.        이번 협약에 따라 환경부와 부울경 각 지자체는 올해부터 2025년까지 연간 100대 이상의 저상형 수소버스 ‘일렉시티 FCEV’ 보급을 추진한다. 현대차는 이 과정에서 가격 할인 등 추가 인센티브를 지원하기로 했다.올해 출시를 앞둔 현대차의 고상 수소버스 시범운행사업도 예정돼 있다. 현대차는 환경부, 부울경과 장거리 전용인 이 수소버스를 지역내 광역·시외버스 노선에서 한 달간 운행하며 상품 개선을 위한 데이터를 축적하는 데 활용한다는 방침이다. 이 밖에도 협약 당사자들은 부울경 지역의 인프라 구축 방안을 논의하는 등 수소 생태계를 활성화하기 위해 협력하기로 했다.현대차 관계자는 “수소버스 보급에 선도적인 역할을 담당하고 있는 부울경 지역과의 협력으로 더 많은 도∙시민들께 친환경 교통수단을 제공하고자 업무협약을 추진하게 됐다”고 말했다."
1,2022.01.19. 오후 3:00,"현대차, 수소차 사업 속도… 부울경 수소버스 보급 확대 협약","현대차가 환경부·부울경과 수소버스 보급 확대 MOU를 체결했다. 사진은 MOU 체결식에 참석한 조옥환(왼쪽부터) 경남버스운송사업조합 이사장, 양재원 울산버스운송사업조합 이사장, 성현도 부산버스운송사업조합 이사장, 유원하 현대차 국내사업본부장, 한정애 환경부 장관, 송철호 울산광역시장, 하병필 경남도지사 권한대행 행정부지사, 김윤일 부산시 경제부시장, 허성곤 김해시장. /사진=현대차현대자동차가 ‘부울경(부산·울산·경남) 수소경제권’ 내 수소버스 보급을 확대하기 위해 환경부 및 해당 지방자치단체 등과의 협력 강화에 나섰다.현대차는 19일 김해시 아이스퀘어호텔에서 ▲환경부 ▲부산시 ▲울산시 ▲경남도 ▲김해시 ▲부울경 버스운송사업조합과 ‘부울경 수소버스 보급 확대를 위한 업무협약’(MOU)을 체결했다.체결식에는 유원하 현대차 국내사업본부장, 한정애 환경부 장관, 김윤일 부산시 경제부시장, 송철호 울산광역시장, 하병필 경남도지사 권한대행 행정부지사, 허성곤 김해시장, 성현도 부산버스운송사업조합 이사장, 양재원 울산버스운송사업조합 이사장, 조옥환 경남버스운송사업조합 이사장 등이 참석했다.협약 당사자들은 이번 협약에 따라 ‘부울경 수소경제권’ 구축 일환으로 해당 지역에 수소버스 보급은 물론 관련 산업의 발전을 위한 다각적인 협력을 전개할 계획이다.현대차가 부울경 내 수소버스 보급 확대를 위해 환경부 및 해당 지방자치단체 등과의 협력 강화에 나섰다. /사진=이미지투데이구체적으로 환경부 및 부울경 각 지자체는 올해부터 이들 시·도에 2025년까지 연간 100대 이상의 저상형 수소버스 ‘일렉시티 FCEV’ 보급을 추진한다. 현대차는 이 과정에서 가격 할인 등 추가 인센티브를 지원하기로 했다.올해 출시를 앞둔 현대차의 고상 수소버스 시범운행사업도 예정됐다. 현대차는 환경부, 부울경과 장거리 전용인 이 수소버스를 지역내 광역 및 시외버스 노선에서 약 한 달동안 운행하며 상품 개선을 위한 데이터를 축적하는 데 활용할 방침이다.이밖에 협약 당사자들은 부울경의 인프라 구축 방안을 논의하는 등 수소 생태계를 활성화시키기 위한 광범위한 협력을 이어 가기로 했다.현대차 관계자는 “수소버스 보급에 선도적인 역할을 담당하고 있는 부울경 지역과의 협력으로 더 많은 도·시민들께 친환경 교통수단을 제공하고자 업무협약을 추진하게 됐다”며 “광역 및 시외버스 시범사업을 통해 친환경버스시장의 외연이 확장될 수 있도록 노력할 것”이라고 다짐했다."
2,2022.01.24. 오후 5:37,"부산경남·현대자동차, 동남권 수소버스 보급 확대 협약",			수소버스 보급 확대를 위해 부산경남과 현대자동차가 업무협약을 맺고 공동의 노력을 기울이기로 했습니다.이번 협약에 따라 부산시와 경남도는 올해부터 2025년까지 연간 100대 이상의 저상형 수소버스 보급을 추진하고 현대차는 가격 할인 등 42억원 규모의 인센티브를 제공하기로 했습니다.장거리 전용 수소버스를 부울경 광역 시외버스로 한 달 정도 시범 운영하는 등 지역 수소 생태계 조성에도 속도를 내기로 했습니다.		
3,2022.01.20. 오전 4:40,"울산시, 부산·경남과 현대차 수소버스 보급 확대 협약","전국 최초 수소버스 부울경 광역노선 운행울산시는 19일 오후 경남 김해시에서 부산과 경남도와 '수소버스 보급 확대와 지원을 위한 업무협약'을 체결했다.© 뉴스1(울산=뉴스1) 김기열 기자 = 울산과 부산, 경남을 연결하는 광역버스노선에 친환경 수소버스 도입이 본격화된다.20일 울산시에 따르면 지난 19일 오후 경남 김해시에서 부산과 경남도와 '수소버스 보급 확대와 지원을 위한 업무협약'을 체결했다. 협약식에는 환경부와 울산시, 경남도, 부산시, 김해시, 현대자동차, 3개 시도 버스운송사업조합 등 총 9개 기관 및 단체가 참여했다. 앞서 3개 시도는 '부울경 수소경제권 실무협의회'를 통해 부울경 수소경제권 구축을 위한 공동사업 발굴을 논의해 왔으며, 지난 해 10월에는 수소버스 공동보급과 관련해 환경부가 적극적인 지원을 약속했다.이번 협약에는 부울경 수소 시외버스 운행 시범사업, 유기적인 수소버스 운행을 위한 수소 충전소 구축 협력, 부울경 수소 시내버스 공동보급 확대와 추가 할인 등의 내용을 담고 있다.  협약 참여 기관은 올해 7월 현대자동차가 출시 예정인 시외버스용 수소버스를 전국 최초로 부울경 지역에 시범 운행해 주민 편의성과 경제성, 차량 성능 등을 종합적으로 확인한다.  경남 진주나 창원에서 출발한 수소 시외버스가 부산과 울산에 도착하는 노선을 계획 중에 있으며, 관계 기관 및 기업과 논의 후 최종 결정될 예정이다. 시외버스 기·종점에는 3개 시도의 유기적인 수소충전소 구축을 통해 수소 시외버스의 원활한 운행뿐만 아니라 일반 수소전기차를 운행 중인 시민의 편의도 도모할 예정이다. 이 외에도 올해부터 오는 2025년까지 3개 시도의 수소 저상버스 구매량이 연간 100대를 초과했을 때 제조사인 현대자동차로부터 추가할인 혜택을 받아 적게는 1대당 300만원, 많게는 1000만원의 부담을 경감받아 최대 42억원의 지역버스운송비 부담을 덜어 친환경차량으로의 빠른 전환을 기대할 수 있다.울산시 관계자는 ""부울경 지역을 넘나드는 수소버스를 통해 수소산업과 부울경 메가시티에 대한 시민들의 체감과 기대가 한층 커질 것""이라며 ""정부와 현대차가 지원하고 각 지역 버스운송조합이 적극적으로 참여하는 이번 민관 협력이 성공적인 글로벌 메가시티 조성과 국가 경쟁력 확보에 크게 이바지할 것으로 기대한다""고 말했다.		"
4,2022.01.23. 오전 11:01,2026년 시내버스 준공영노선 2천개·광역버스노선 400개로 확대,"4차 대중교통 기본계획안 마련…BTX 노선 2개 신설, 평균 통행시간 2분 단축대중교통, 버스 (CG)[연합뉴스TV 제공](서울=연합뉴스) 윤보람 기자 = 오는 2026년까지 2천개 시내버스 노선에 준공영제가 도입되고 광역버스 노선은 400개로 확대된다.    또한 유동적인 차선 조정으로 차량 정체를 최소화하는 BTX(Bus Transit eXpress) 노선이 2개 신설되고 전국 도시내 평일 평균 기·종점 통행시간은 2분 단축된다.    국토교통부는 이런 내용을 골자로 하는 '제4차 대중교통 기본계획안(2022∼2026)'에 대한 의견 수렴을 위해 24일 오후 2시 온라인 공청회를 연다고 23일 밝혔다.    대중교통 기본계획은 대중교통을 체계적으로 육성·지원하고 국민의 대중교통 이용을 촉진하기 위해 세우는 5년 단위의 법정계획이다.    이번 4차 기본계획안은 한국교통연구원이 수행한 연구용역을 바탕으로 마련됐으며, '포용적 모빌리티 서비스로의 전환'이라는 비전 아래 ▲ 국민의 이동권보장 ▲ 대중교통 안전성 향상 ▲ 대중교통 경쟁력 강화 ▲ 대중교통 혁신 등 4개 목표와 세부 추진과제를 담았다.    기본계획안에 따라 정부는 대중교통의 공공성을 강화하기 위해 시내버스 준공영제 노선 수를 현재 1천333개에서 2026년 2천개로 늘리고, 국가사무화 광역버스 노선 수를 9개에서 265개로 확충하기로 했다.    광역버스 준공영제 노선은 수도권을 시작으로 지방 대도시권까지 단계적으로 확대한다. 수도권 준공영제 전환은 2030년까지 완료한다는 목표다.    운송업체의 경영악화를 막기 위한 대중교통 요금조정 시스템 구축, 시외버스 재정지원체계의 합리적 개편 등도 추진한다.    아울러 촘촘한 대중교통망 구축을 위해 광역철도망도 확장한다.    수도권은 서부권 광역급행철도, 위례과천선, 대장홍대선, 인천2호선 고양연장, 제2경인선 등 신규사업을 추진하고 비수도권은 4차 국가철도망 구축계획에 따라 대전∼세종∼충북, 부산∼양산∼울산을 잇는 신규 광역철도를 건설한다.    광역버스 노선은 현재 295개에서 2026년 400개로 늘린다. 역할 분담 차원에서 수도권광역급행철도(GTX) 비수혜 지역에 우선으로 신설할 방침이다.제4차 대중교통 기본계획안의 비전 및 정책목표 설정[국토교통부 제공. 재판매 및 DB 금지]유연한 대중교통 서비스를 제공하는 수요응답형 여객운송사업은 현재 1만396대에서 2026년 1만1천대로 확대한다.    또한 출퇴근 시간대 전세버스 투입을 늘리고 대용량 버스를 적극 활용하는 등 시내버스 운영을 효율화한다.    현재 고속버스 노선 위주로 투입하는 프리미엄 버스는 광역버스 및 시외버스 등에 확대 투입하는 방안을 검토한다. 이를 통해 프리미엄 버스를 현재 279대에서 2026년 500대로 늘릴 계획이다.    교통약자 이동권 보장을 위해서는 모든 지역의 특별교통수단을 일괄 예약할 수 있는 통합이동지원서비스체계를 구축한다. 2026년까지 특별교통수단 도입률은 83%에서 100%로, 저상버스 도입률은 28%에서 35%로 각각 높인다.    정부는 이와 함께 대중교통의 안전성 강화를 위해 노선버스 종사자의 1일 2교대제 비율을 현재 54%에서 2026년 60%로 높이기로 했다.    노선버스의 측후방 감지센서 설치율은 0%에서 30%로 확대한다. 신규 차량에는 장착을 의무화하고 기존 차량에는 보조금 지원을 통해 자발적인 장착을 유도할 방침이다.    버스정류장 내 사각지대 보완장비도 설치해 2026년까지 노선버스 사망자 수를 68명에서 40명으로 줄인다는 목표다.    정부는 전국 도시내 평일 평균 대중교통 기·종점 통행시간을 현재 32분에서 2026년 30분으로 2분 단축할 계획이다.    이를 위해 고속철도망을 확충하고 BTX 노선을 2026년까지 2개 신설한다. 이용자 편의를 높이는 통합교통서비스(MaaS) 운영 지자체 수는 6개에서 12개로 늘리고, 환승센터는 2026년까지 47개를 신설하기로 했다.    이밖에 탄소중립 실현을 위해 친환경 사업용 승합차 수를 현재 2천108대에서 2026년 1만5천대로 늘린다.    자율주행 셔틀버스 시범운행지구 수는 6개에서 14개로, 시내버스 버스정보안내시스템(BIS) 구축 지자체 수는 147개에서 162개로 각각 확대한다.    국토부는 공청회에서 제시되는 의견을 검토해 4차 기본계획 최종안을 마련하고 관계기관 협의, 국가교통위원회 심의를 거쳐 조만간 확정·고시할 계획이다. bryoon@yna.co.kr"
5,2022.01.20. 오전 1:11,"부·울·경, 수소 버스 보급 확대 업무협약 체결","    부·울·경 3개 시·도가 19일 경남 김해 아이스퀘어호텔에서 ‘부·울·경 수소 버스 보급 확대 및 지원’을 위한 업무협약을 체결하고 포즈를 취하고 있다. 부산시 제공    ‘동남권 메가시티’ 구축을 합의한 부산·울산·경남 광역자치단체가 수소 버스 보급 확대를 위해 손을 맞잡았다.   부산시는 19일 오후 경남 김해 아이스퀘어호텔에서 울산시·경남도·환경부와 ‘부·울·경 수소 버스 보급 확대 및 지원’을 위한 업무협약을 체결했다고 밝혔다.   부·울·경 3개 시·도는 부·울·경 수소경제권 실무협의회를 통해 부·울·경 수소경제권 구축을 위한 사업을 논의해 왔다.   이날 협약서에는 △수소 버스 운행과 충전소 구축 협력 △부·울·경 수소 버스 보급 확대와 추가 할인 △부·울·경 수소 시외버스 운행 시범사업 등의 내용을 담고 있다.   협약체결로 부·울·경 지역 운행하는 시내버스를 수소 버스로 바꾸고, 버스 기·종점에 상용충전소를 구축해 원활한 수소 버스 운행과 수소차 운행 시·도민의 편의를 도모하기로 했다.   또 전국 최초로 2025년까지 연간 100대 이상의 수소 버스(저상) 공동구매를 추진한다. 이를 통해 버스운송사업자의 버스 구매비용 42억원 정도의 부담을 덜고, 신속한 친환경 버스 전환을 추진한다는 것이다.   현대자동차는 올해 상반기 수소 버스(고상)를 출시해 부·울·경 지역에 시범 운행할 계획이다. 경남 진주나 창원에서 출발한 수소 시외버스가 부산이나 울산에 도착하는 노선을 계획 중이며, 이를 통해 수소 버스 운전자와 주민 편의성 및 경제성, 차량 성능 등을 확인할 방침이다.   김윤일 부산시 경제부시장은 “정부와 지자체, 민간이 협력하면 버스 구매비용 절감 및 수소차 보급 확대는 물론 수소에 대한 시민들의 불안감 해소에도 도움이 될 것”이라며 “수소 버스 보급 확대 등을 통해 기후변화에 대응한 저탄소 그린도시로 나아갈 수 있도록 최선을 다하겠다”고 강조했다."
6,2022.01.19. 오후 7:46,‘수소버스’ 타고 부울경 넘나든다,"울산에서 시내버스로 활용 중인 수소전기버스. 울산시 제공국내 첫 메가시티 출범을 위해 손을 잡은 부산·울산·경남이 지역 내 수소산업 생태계 구축을 위해 수소버스 보급 확대를 하기로 하는 등 본격적으로 초광역 협력에 나서고 있다. 부울경 시내버스 노선에 수소버스가 대거 투입되고, 부울경이 수소버스를 공동 구매해 수소산업 발판을 만들기로 했다.올해 110대 공동 구매 시범 운행3개 시·도 거치는 노선 편성 검토부울경 수소경제권 구축 ‘잰걸음’부산시는 19일 오후 3시 경남 김해시 아이스퀘어호텔에서 울산시, 경남도, 환경부와 ‘부울경 수소버스 보급 확대와 지원’을 위한 업무협약을 했다. 협약에는 김윤일 부산시 경제부시장, 송철호 울산시장, 하병필 경남도지사 권한대행, 한정애 환경부 장관, 허성곤 김해시장, 유원하 현대자동차 부사장, 부울경 버스운송사업조합 대표 등이 함께했다. 그동안 부울경은 ‘부울경 수소경제권 실무협의회’를 정기적으로 갖다가 지난해 10월 환경부가 친환경 미래 이동수단 보급을 지원키로 하면서 지역의 수소생태계 구축이 급물살을 타게 됐다. 이날 협약에 따라 부울경에 수소버스가 대거 운행되고, 버스 기·종점에 상용충전소가 들어서는 등 수소차 운행 기반이 구축된다.부울경은 진주나 창원에서 출발한 수소 시외버스가 부산이나 울산에 도착하는 노선 편성을 검토하는 것으로 전해졌다. 부울경은 전국 최초로 수소버스(저상) 공동 구매도 진행한다. 부울경은 올해 110대를 우선 공동구매한 뒤 내년에는 142대, 2024년 166대, 2025년 206대 등으로 구매 대수를 늘려나가기로 했다. 현대차는 부울경이 연간 100대 이상 공동구매할 경우 101대부터 대당 300만~800만 원의 추가 할인 혜택을 주기로 했다.김윤일 부산시 경제부시장은 “정부, 지자체, 민간이 협력해 수소버스 보급에 나섬으로써 수소차 보급 확대, 수소 산업 확대 등을 꾀할 수 있게 됐다”고 밝혔다. 하병필 경남도지사 권한대행도 “부울경을 수소 생태계 핵심 거점으로 육성할 수 있도록 수소 모빌리티 보급 확산에 최선을 다하겠다”고 강조했다. 현대차 관계자도 “수소버스 보급에 선도적 역할을 담당하는 부울경 지역과의 협력으로 더 많은 시·도민들께 친환경 교통수단을 제공하도록 하겠다”고 밝혔다.김길수·배동진·김영한 기자 kim01@"
7,2022.01.19. 오후 3:01,"현대차, 부·울·경에 연간 100대 이상 수소버스 보급","환경부·지자체·사업자와 MOU 체결'일렉시티 FCEV' 2025년까지 공급  [파이낸셜뉴스] 현대차가 환경부, 지방자치단체와 손잡고 '부울경(부산·울산·경남)' 지역에 연간 100대 이상의 수소버스를 보급한다.   현대차는 19일 경상남도 김해시 아이스퀘어호텔에서 △환경부 △부산시 △울산시 △경남도 △김해시 △부산·울산·경남 버스운송사업조합과 '부울경 수소버스 보급 확대를 위한 업무협약(MOU)'을 체결했다.    현대차는 19일 김해시 아이스퀘어호텔에서 환경부, 부산시, 울산시, 경남도, 김해시, 부산·울산·경남 버스운송사업조합과 '부울경 수소버스 보급 확대를 위한 업무협약(MOU)'을 체결했다. 사진 왼쪽부터 경남버스운송사업조합 조옥환 이사장, 울산버스운송사업조합 양재원 이사장, 부산버스운송사업조합 성현도 이사장, 현대차 국내사업본부장 유원하 부사장, 환경부 한정애 장관, 송철호 울산광역시장, 하병필 경남도지사 권한대행 행정부지사, 김윤일 부산시 경제부시장, 허성곤 김해시장. 현대차 제공 이번 협약에 따라 환경부와 부·울·경 지자체는 올해부터 이들 시·도에 오는 2025년까지 연간 100대 이상의 저상형 수소버스 '일렉시티 FCEV' 보급을 추진하고, 현대차는 이 과정에서 가격 할인 등 추가 인센티브를 지원한다. 올해 출시를 앞둔 현대차의 고상 수소버스 시범운행사업도 예정돼 있다. 현대차는 환경부, 부·울·경과 장거리 전용인 이 수소버스를 지역내 광역 및 시외버스 노선에서 약 한 달간 운행하며 상품 개선을 위한 데이터를 축적하는 데 활용할 방침이다.   아울러 협약 당사자들은 부울경 지역의 인프라 구축 방안을 논의하는 등 수소 생태계를 활성화시키기 위한 광범위한 협력을 이어가기로 했다.		"
8,2022.01.11. 오후 5:11,2022년 장애계 5대 정책과제 선정,"			한국장애인단체총연맹(이하 ‘한국장총’)은 지난 4일 공동대표단회의를 열고 2022년 장애계 5대 활동 정책과제를 선정했다고 11일 밝혔다.2022년 선정된 5가지 정책과제는 ▲장애인권리보장법 제정, ▲장애인 자립지원 및 맞춤형 주거지원 대책 마련, ▲정부 제6차 장애인정책종합계획 수립 대비 장애계안 마련, ▲대통령 및 지방선거연대 유권자 운동, ▲장애인 이동권 확보를 위한 지원체계 마련이다.1. 장애인권리보장법 제정 촉구 활동   장애계는 장애인의 권리와 욕구에 기반한 장애인권리보장법 제정을 18대 대선부터 공약으로 요구해왔다. 국가정책의 장애포괄성을 강화하고 국가장애인위원회 설치, 장애영향평가 및 장애인지예산 도입, 서비스 이용 권리와 선택권 보장, 표준소득 보장, 단체소송제 도입 등의 변화를 위해 제21대 국회 내 제정을 촉구하는 활동을 전개할 것이다.2. 장애인 자립지원 및 맞춤형 주거지원 대책 마련 정책 활동 정부는 2022년부터 탈시설 장애인의 지역사회 자립지원 시범사업을 예고하고 있다. 탈시설정책 수립을 위한 시범사업 모니터링, 장애유형 및 욕구별 개인 맞춤형 주거서비스 지원 강화, 주거편의시설에 대한 설치 지원 강화 등의 정책을 제안할 것이다.3. 정부 제6차 장애인정책종합계획 수립 관련 정책 활동 2022년은 제5차 장애인정책종합계획의 성과 평가에 기반한 새로운 정책방향 제시가 필요한 해이다. 제5차 계획 수립 당시 장애계(안)을 먼저 마련해 정부에 제안한 것처럼, 장애유형별 포괄적 의견을 수렴해 제6차 장애인정책종합계획 수립에 대비할 것이다.4. 대통령‧지방선거연대 활동 및 유권자 운동각 대선 후보들에게 2022대선장애인연대가 발표한 10대 핵심공약 반영을 요구하고 평가한다. 민선8기 지방선거를 대비해 지방선거장애인연대 네트워크를 구성해 지역 현안 중심 공약 개발과 당사자의 정치 참여 확대, 참정권 보장 등의 유권자 운동을 전개한다.5. 장애인 이동권 확보를 위한 지원체계 마련 정책 활동 고속 및 시외버스의 저상버스 도입 확대와 장애인콜택시의 광역이동대책 수립, 여객시설 내 장애인 인적서비스 제공 등 장애인의 완전한 이동의 자유를 보장하기 위한 각종 교통정책을 점검하고 요구한다.2022년 장애계 정책과제를 선정하기 위해 한국장총은 예비 정책과제에 대한 의견수렴(12월 7~13일), 제23회 전국장애인지도자대회를 통한 현장 의견수렴(12월10일), 수렴된 의견을 토대로 2배수인 10대 과제를 선정(12월15~24일)했다. 이후 1월 공동대표단 회의를 통해 5대 정책과제를 확정하는 절차를 거쳤다.한국장총은 2009년부터 장애계 현안이 될 주요 정책 활동과제를 회원단체와 함께 선정하고 공동 추진해왔다. 한국장총은 한국농아인협회, 한국시각장애인연합회 등 장애유형별 단체와 국제장애인문화교류협회, 한국장애인정보화협회 등 목적별 단체, 부산장애인총연합회 등 지역 연합단체를 회원으로 하고 있다. 총 33개의 회원단체가 함께하고 있다.		"
9,2022.01.14. 오후 12:11,지자체 ‘트램’ 도입 러시… 사업성 낮아 적자 우려,"화성시, 2개 구간 9773억 투입성남시, 판교·모란 타당성 조사부산시, 오륙도선 내년말 착공무상버스·모빌리티와 경쟁 과제의정부 경전철처럼 파산 할수도의정부 = 오명근·부산 = 김기현 기자 대전 = 김창희 기자지방자치단체들이 지역상권 활성화를 앞세워 대중교통 수단인 ‘트램(노면전차)’을 앞다퉈 도입하고 있다.지자체들은 트램의 친환경성과 적은 인프라 비용에 따른 경제성, 탑승 용의성을 강점으로 내세우고 있지만 파산한 경기 의정부·용인 경전철처럼 사업성과 효율성이 낮아 심각한 적자 운영이 우려되고 있다.14일 전국 각 시·도에 따르면 수원·성남·화성·안성·오산·시흥·평택·용인시 등 8개 지자체에서 추진 중인 도시철도 트램 8개 노선 가운데 화성시 동탄트램과 성남시 판교트램이 가장 먼저 착공일정을 잡거나 타당성 용역에 들어가는 등 사업이 빠르게 진행되고 있다.동탄트램은 화성시가 사업비 9773억 원을 투입해 수원 망포역∼동탄역∼오산역, 병점역∼동탄역∼차량기지 등 2개 구간에 트램을 운행하는 사업으로 2024년 착공해 2027년 말 개통할 예정이다. 성남시가 추진 중인 운중동∼판교역∼판교테크노밸리를 잇는 판교트램(성남2호선)과 판교역∼모란역∼성남 하이테크노밸리를 연결하는 모란트램(성남1호선) 사업이 지난 6일 타당성조사 용역에 대한 착수 보고회를 가졌다.부산시 저상트램 오륙도선(남구 대연동~용호동)의 경우 사업비 증액분 400억 원의 분담 문제로 무산 위기까지 갔지만 최근 국비·시비 매칭 협의 끝에 내년 하반기 착공에 들어갈 예정이다.대전시는 도시철도 2호선을 트램으로 변경해 2020년 사업비 승인을 받아 기본설계에 들어갔으나 전봇대·전선 설치문제로 논란이 일고 있다.그러나 트램사업은 청소년과 노인 등을 대상으로 각 지자체가 시행 중인 무상버스와 경쟁해야 하고, 공유자전거·공유킥보드 등의 모빌리티에 수요를 빼앗기는 등 적자가 눈덩이처럼 쌓이는 ‘돈 먹는 하마’로 전락할 수 있다는 우려가 나오고 있다. 지난해 말 착공한 서울 위례선 트램(마천∼복정)은 2018년 민자투자사업 적격성 평가에서 비용편익비율(B/C)이 0.75로 낮게 나왔는데도 재정사업으로 재추진됨으로써 재정부담이 가중될 전망이다.수원시는 지난 2010년부터 트램 1호선(수원역∼장안구청 구간) 사업을 도입, 신분당선과 동탄 인덕원선과 연결을 추진하고 있다. 2013년 한국개발연구원(KDI)의 예비타당성 조사에서 사업성이 떨어진다는 결과가 나왔는데도 포기하지 않고 민간투자로 강행하고 있다. 전국적으로도 트램사업을 경쟁적으로 추진 중이지만 상당수의 트램사업이 파산한 용인·의정부 경전철과 파산 위기의 서울 우이신설선의 전철을 밟을 것으로 예상된다.우이신설선은 2017년 9월 민자 개통한 지 1년 만에 자본잠식에 빠져 파산 위기에 몰리자 서울시가 긴급자금 6100억 원을 수혈할 예정인 것으로 알려졌다.		"
