,Unnamed: 0,기사제목,기사내용
0,0,"세계 장애인의 날 맞아 ""장애인권리 보장"" 집중투쟁","    (서울=연합뉴스) 황철환 윤보람 기자 = 유엔이 정한 '제22회 세계 장애인의 날'인 3일 장애인들이 기본적인 권리 보장과 차별 철폐를 요구하며 집중투쟁에 나섰다_x000D_
    전국 160여개 장애인단체 모임인 전국장애인차별철폐연대(전장연)는 이날 오전 서울 여의도 국회 앞에서 기자회견을 열어 ""정부는 유엔장애인권리협약(UNCRPD) 선택의정서를 하루빨리 비준하라""고 촉구했다_x000D_
    유엔장애인권리협약은 2006년 12월 유엔총회에서 회원 192개국이 만장일치로 채택한 국제협약으로, 우리 정부는 2008년 이 협약을 비준했다_x000D_
    그러나 당시 선택의정서에 대해서는 비준이 유보됐으며 아직도 비준이 이뤄지지 않고 있다_x000D_
    선택의정서는 정부가 협약상 규정을 위반해 장애인 권리를 침해했을 때 국내에서 가능한 모든 구제절차를 이용하고도 권리를 구제하지 못한 경우 유엔장애인권리위원회에 통보해 위원회 심리를 청구할 수 있는 제도다_x000D_
    장애인 단체들은 선택의정서가 비준되지 않는 이상 협약이 실질적인 의미 없는 껍데기에 불과하다고 비판해왔다_x000D_
    전장연은 ""정부가 협약에 가입만 해놓고 사실상 의무를 이행하지 않고 있다""며 ""선택의정서를 조속히 비준해 장애인에게 최소한의 인간다운 삶을 보장해야 한다""고 강조했다_x000D_
    전장연은 기자회견에 앞서 지난 사흘간 서울 강남고속버스터미널 승강장에서 장애인 이동권 보장을 요구하며 '고속버스 승차 투쟁'을 벌였다_x000D_
    교통약자 이동편의 증진법 제정으로 시내버스 노선에는 저상버스가 도입됐지만, 광역버스와 공항버스, 마을버스 등은 여전히 장애인에게는 접근할 수 없는 교통수단으로 남아 있다는 점을 보여주기 위한 퍼포먼스였다_x000D_
    휠체어를 탄 지체장애인들은 부산, 울산, 대구, 대전 등으로 향하는 버스 승차권을 든 채 버스에 타려했지만, 휠체어리프트 등 장비가 갖춰져 있지 않아 타지 못했다_x000D_
     일부 버스는 승강이를 피할 생각이었던 듯 아예 승강장에 들어오지 않고 멀찌감치서 승객을 태우는 모습을 보여 장애인들로부터 강한 항의를 받기도 했다_x000D_
    조현수 전장연 정책국장은 ""국토부가 16억원을 들여 고속버스 40대에 휠체어리프트를 설치해 운용하는 방안을 제시했지만, 어제 확정된 내년도 최종예산안에 포함되지 않았다고 한다""면서 ""이는 현 정부가 장애인 이동권 보장에 대한 최소한의 의지도 없다는 의미로밖에는 받아들일 수가 없다""고 비판했다_x000D_
    전장연은 이날 오후 1시 종로구 보신각에서 장애등급제 및 부양의무제 폐지, 활동지원 24시간 보장 등을 요구하는 결의대회를 연다_x000D_
 hwangch@yna_x000D_
co_x000D_
kr, bryoon@yna_x000D_
co_x000D_
kr▶으리으리한 연합뉴스 앱 지금 바로 다운받으리~▶ [오늘의 HOT] 조잡하지만…중국농부의 자체제작 잠수함 <저작권자(c) 연합뉴스, 무단 전"
1,1,‘장애인 고속버스’ 예산 16억이면 되는데…시범사업 물 건너가," [한겨레] 정부, 리프트 설치 비용 내년 예산에 반영 안해장애인단체, 고속버스터미널에서 항의 집회전국장애인차별철폐연대 회원 100여명이 ‘세계 장애인의 날’을 하루 앞둔 2일 오후 서울 서초구 고속버스터미널 승강장에서 ‘고속버스 타기’를 시도하고 있다_x000D_
 장애인들은 매표소에서 부산, 대구, 강릉 등지로 향하는 버스표를 구입해 버스에 타려 했으나 전동휠체어를 타고는 승차를 할 수 없었고, 고속버스는 지정되지 않은 장소에서 일반 승객만 태우고 떠났다_x000D_
  김봉규 기자 bong9@hani_x000D_
co_x000D_
kr지체장애 1급인 김은아(30)씨의 전동휠체어가 고속버스 출입문 앞에 멈춰 섰다_x000D_
 출입문 폭은 휠체어보다 한 뼘 이상 좁았다_x000D_
 다른 승객들은 쉽게 올라가는 3개뿐인 계단도 김씨에게는 ‘산’처럼 높았다_x000D_
 서울에서 자란 김씨는 고속버스를 타본 적이 없다_x000D_
 7살 때 자가용으로 고향인 광주에 다녀온 뒤 한 번도 가보지 못했다_x000D_
 김씨는 휠체어를 실을 수 있는 고속버스가 있다면 광주에 다시 한번 가보고 싶다고 말했다_x000D_
 “장애인도 추석에 버스 타고 고향에 가고 싶다_x000D_
” 2일 오후 4시 서울 강남구 서초동 고속버스터미널 경부선 1~13번 승차장에 휠체어를 탄 장애인 150여명이 모였다_x000D_
 칼바람이 부는 영하의 날씨에 담요로 무릎을 덮고 목도리로 얼굴을 감쌌다_x000D_
 ‘세계 장애인의 날’을 하루 앞둔 이날 전국장애인차별철폐연대는 휠체어를 탄 장애인들이 고속버스를 탈 수 없는 현실을 보여주기 위해 오후 4시30~40분 부산과 세종시 등으로 출발하는 고속버스 10대에 세 자리씩을 미리 예약했다_x000D_
 장애인들의 항의로 버스는 10분 정도 지연 출발했다_x000D_
 ‘교통약자 이동편의 증진법’ 제정 이후 저상버스(시내버스)가 도입되면서 장애인의 이동권 보장이 확대됐지만 아직 고속버스와 시외버스에는 휠체어가 오를 수 없다_x000D_
 박경석 장애인이동권연대 대표는 “휠체어 장애인들이 고속버스를 타려면 기어가거나 누구 손에 들려서 타야만 한다”고 했다_x000D_
 16억원이면 휠체어를 탄 장애인들도 고속버스를 이용할 수 있다_x000D_
 지난 9월 국토교통부 용역을 받아 한국교통연구원이 진행한 ‘교통약자 지역간 이동 실태조사’에는 버스 1대당 4000만원으로 리프트 설치와 휠체어 자리를 마련할 수 있는 개조 방법이 제시됐다_x000D_
 하지만 정부가 2일 발표한 내년도 최종예산안에는 이 16억원이 결국 배정되지 않았다_x000D_
 예산이 배정됐다면 내년에 버스 40대에 시범사업을 실시할 계획이었다_x000D_
 기획재정부 국토교통예산과는 “시범사업을 해도 전국 주요 구간밖에 운영할 수 없다_x000D_
 리프트가 설치돼 있는 철도 이용이 효율적이라고 판단했다”고 했다_x000D_
 최우리 기자 ecowoori@hani_x000D_
co_x000D_
kr   공식 SNS [페이스북] [트위터] | [인기화보] [인기만화] [핫이슈]Copyrights ⓒ 한겨레신문사, 무단전재 및 재배포 금지<한겨레는 한국온라인신문협회(www_x000D_
kona_x000D_
or_x000D_
kr)의 디지털뉴스이용규칙에 따른 저작권을 행사합니다_x000D_
> "
2,2,출퇴근 대란 해결사 ‘2층버스’ 직접 타보니,"[경기]  수원역에서 사당역까지 운행하는 7770번 좌석버스가 수원역 정류장에 당도하자 사람들의 시선이 모두 쏠렸다_x000D_
 배차간격이 거의 5분 이내일 만큼 흔한 좌석버스인데, 정오였음에도 불구하고 평소보다 많은 사람들이 정류장으로 순식간에 모였다_x000D_
 2층버스 시범운행 기간이었기 때문이다_x000D_
 경기도는 12월 한 달간 7770번'(수원역∼사당역), M6117번’(김포한강신도시~서울역), 8012번'(남양주~잠실역), 세 노선에 대해 2층버스 시범운행을 진행한다_x000D_
    수원에서 서울 사당역까지 운행하는 좌석버스는 대략 7개 노선 정도가 있다_x000D_
 출퇴근 시간대에 이 노선을 한 번이라도 이용해본 승객이거나 사당역을 지나가본 시민이라면 엄청난 혼잡에 깜짝 놀랐을 것이다_x000D_
 사당역은 수원행 좌석버스를 기다리는 줄이 매우 길고 혼잡해서 매일 이용하는 승객이더라도 앞 사람에게 매번 버스 번호를 확인하는 게 다반사인 곳이다_x000D_
 출퇴근 시간에 서서 가는 불편을 감수하는 것은 당연하고, 그마저도 탈 공간이 없어서 버스를 놓치는 경우도 비일비재한 구간이다_x000D_
 경기도는 이런 혼잡과 불편을 개선해보고자 12월 한 달간 2층버스 시범 운행을 시행 중이다_x000D_
오후 6시경 사당역에서 버스를 기다리는 승객들의 모습_x000D_
 수원-사당역 간 7개 노선은 항상 많은 승객들로 붐빈다_x000D_
서울, 부산 등 일부 지역에서 관광용을 제외하고는 2층버스가 도심을 누비는 경우가 낯선 관경이라서 이 2층버스에 사람들의 시선이 모두 쏠렸다_x000D_
 버스에 오른 승객들은 모두 2층으로 발걸음을 향했다_x000D_
 새 버스의 모습과 처음 느껴본 높이감에 승객들은 놀라움을 표시했다_x000D_
통학을 하며 매일 지나치는 광경인데도 버스의 높이 때문인지 필자에게 창밖의 풍경들이 새롭게 다가왔다_x000D_
 이 날 2층버스를 타기 위해 7770번 버스를 탔다는 대학생 유소현 씨는 “평소엔 사당까지 7780번 버스를 이용하는데 시범 운행을 한단 얘기를 듣고 오늘 7770번 버스를 탔어요_x000D_
 새 버스라서 그런지 깨끗하고 마치 관광하는 기분이 들어서 등굣길이 새롭네요_x000D_
”라고 탑승 소감을 전했다_x000D_
 그는 또 “사실 출퇴근 시간에 수원-사당행 버스는 고행이 따로 없는데, 2층버스 운행이 실제적으로 효과만 있다고 한다면 수원의 명물이 되지 않을까 하는 기대감이 든다_x000D_
”라고 덧붙였다_x000D_
 2층의 모습_x000D_
 전면에 모니터가 설치돼 있어 운행 상황을 확인할 수 있다_x000D_
1층의 모습_x000D_
 저상버스로 제작돼 부피가 큰 짐이나 휠체어, 유모차 탑승에 유익하다_x000D_
   평소 운행하는 수원-사당간 좌석버스는 좌석이 40석 정도이다_x000D_
 대부분의 수원-사당행 좌석버스 노선에는 버스를 기다리는 대기줄이 두 줄이다_x000D_
 한 줄은 원래 버스를 기다리는 줄이고, 또 한 줄은 서서라도 가기 위해 기다리는 입석용 줄이다_x000D_
 40명이 탑승하고 나면 두 번째 줄의 입석용 승객들이 탑승하는 구조로 이뤄져 있다_x000D_
 반면, 이번에 시범 운행 중인 2층버스는 운전자를 제외하고 78명이 탑승가능하다_x000D_
 한 번에 거의 2배 가까운 승객이 탑승 가능하니 꽤 이점이 있는 셈이다_x000D_
 이번에 도입된 2층버스는 관광용과는 또 다른 차이점이 있다_x000D_
 바로 저상버스라는 점인데 상·하차문이 모두 낮아서 유모차나 휠체어 탑승이 가능하다_x000D_
 기존의 좌석버스는 시내버스와 달리 저상버스가 아니라서 큰 짐을 갖고 타기에도 어려움이 많았다_x000D_
 이날 우연히 2층버스를 탔다는 이준필 씨(수원 서둔동)는 “관광용 버스 말고는 2층버스를 타볼 일이 없는데 새롭네요_x000D_
 재미있기도 하고요_x000D_
 다만 실제로 도입된다고 하면 안전 운행에는 문제가 없을지 그 점은 조금 걱정됩니다_x000D_
”라고 탑승 소감을 말했다_x000D_
 어라운드 뷰 모니터링 시스템의 모습_x000D_
 4대의 카메라를 통해 사고 위험을 줄일 수 있다_x000D_
 2층의 모니터를 통해서도 승객들에게 안전운행 정보가 전달된다_x000D_
 (제공=경기도 공식 블로그)그의 말대로 2층버스에 도입에 있어 가장 걱정되는 부분은 안전운행일 것이다_x000D_
 경기도청에 따르면, 이번에 시범운행을 하는 영국 알렉산더 데니스사의 엔비로(Enviro) 500 모델에는 어라운드 뷰 모니터링(AVM) 시스템이 장착돼 있다고 한다_x000D_
 AVM 시스템은 자동차에 4개의 카메라를 설치해 마치 하늘에서 내려다보는 듯한 영상을 제공하는데 360도 영상을 통해 사각 지대로 인한 사고의 위험을 줄인다_x000D_
 운전기사 앞에 설치된 모니터에는 버튼을 누를 때마다 다양한 각도의 화면이 나오고 해당 모니터는 2층에도 달려 있어 승객들의 상태도 확인 가능하다_x000D_
 버스는 어느덧 수원 시내를 빠져나와 의왕-과천 고속도로로 진입했다_x000D_
 평소와는 다른 높이 때문인지 버스가 조금 더 흔들리는 것처럼 느껴졌다_x000D_
 이날 부부가 함께 2층버스를 탄 주형기 씨(수원 고색동)는 “아내는 고속도로에서 보통 좌석버스보다는 불편했다고 하는데 저는 특별히 불편한 점은 없었다_x000D_
”라며 “영국이나 홍콩에서 2층버스가 복잡한 도심에서도 잘 다니듯이 도입에는 큰 문제는 없을 것으로 생각한다_x000D_
”고 말했다_x000D_
좌측) 화성의 장안문을 지나고 있는 모습_x000D_
 높이감이 남달라서 화성의 도시 수원을 마치 관광하는 듯한 느낌을 선사한다_x000D_
 (우) 버스정류장에서의 모습_x000D_
 2층버스에 대한 시민들의 시선과 관심이 모아졌다_x000D_
     이날 버스에는 안전을 위해 공무원, 버스업계 직원, 정비사 등 3명의"
3,3,"권철현 후보, 여성부시장제·여성일자리 1만개' 등 공약","【부산=뉴시스】허상천 기자 = 새누리당 권철현 부산시장 예비후보는 10일 “여성 부시장과 함께하는 ‘행복한 여성친화도시’를 만들어 가겠다”고 밝혔다_x000D_
 도시전문가로 꼽히는 권 후보는 여성 및 복지분야 제5차 기자회견문을 통해 “1만개의 여성근무시간선택제 일자리를 만들어 전업주부 및 경력단절여성의 재취업에 앞장서고 최고의 ‘생활체육 낙원도시’ 부산을 만들어 시민이 건강하고 행복한 도시로 ‘확’ 바꾸겠다”고 밝혔다_x000D_
 권 후보는 “여성고위공직자의 승진기회 확대와 더불어 여성 부시장, 여성 시정자문단 등을 구성하겠다”고 밝히고 “워킹맘, 싱글맘을 위한 안전한 육아돌보미 기관을 지원하고 엄마부산센터의 운영과 여성사회적 기업의 육성을 통한 양성평등의 사회를 만들어 가겠다”고 말했다_x000D_
 그는 “부산시민이 골고루 균등하고 차별없는 행복한 삶을 누리는 사회를 만들기 위해 소외된 계층이 없이 부산시민 모두가 행복하게 살아갈 수 있는 ‘부산형 복지제도’를 만들어 가겠다_x000D_
”고 밝히고 “1000억 규모의 부산복지기금을 설립해 사회안전망을 구축하겠다”고 약속했다_x000D_
 아울러 에너지 빈곤층을 위한 전기 및 온수의 지원과 공급정책을 비롯해 어른신들을 위한 교통,주거,의료, 여가 등 한아름복지서비스를 제공하는 방안도 제시했다_x000D_
 권 후보는 “시장이 되면 장애인 특보제도를 도입해 통합적인 장애인지원체계를 만들고 장애인을 위한 두리하나 작업장과 이동권 확보를 위한 저상버스를 100%도입 하는 방안도 추진하겠다”고 말했다_x000D_
 또 차별없는 교육과 안심하고 영·유아를 보육할 수 있는 환경을 지원하고 행복을 만드는 전화를 통해 24시간 민원처리와 연계하여 복지 긴급상황를 구난하는 시스템을 구축할 것이라고 덧붙였다_x000D_
 권 후보는 이 밖에도 “자치구별 에너지 자립형 생활체육센터를 설립하고 시민이 일상생활에서 생활체육을 편리하게 이용할 수 있도록 체육관, 공공운동시설 등을 확대, 지원해 나가겠다”고 밝혔다_x000D_
  heraid@newsis_x000D_
com★ 뉴시스 뉴스, 이젠 네이버 뉴스 스탠드에서도 만나세요★ 손 안에서 보는 세상, 모바일 뉴시스<저작권자ⓒ 공감언론 뉴시스통신사_x000D_
 무단전재-재배포 금지_x000D_
>"
4,4,부산시청서 지하철서…장애인 차별 철폐 외친다," [한겨레] 34개 단체 자립권·이동권 투쟁시에 교육·복지·의료지원 요구부산민중연대 등 34개 시민사회단체로 꾸려진 ‘장애인차별철폐 부산공동투쟁실천단’은 장애인의 날인 20일까지 부산 곳곳에서 장애인의 자립 생활권·노동권·이동권 확보를 위한 다양한 활동을 펼친다_x000D_
장애인차별철폐 부산공동투쟁실천단은 15일 부산시청 광장에서 뇌성마비 장애인 가족 권리 보장과 지원 촉구 결의대회를 열어 “뇌성마비 장애인과 가족을 위한 합리적인 교육·복지·의료 지원 체계를 마련해 달라”고 정부와 부산시에 요구했다_x000D_
16일엔 부산도시철도 1호선 서면역에서 장애등급제·부양의무제 폐지를 위한 시민 홍보활동을 벌인다_x000D_
 부산장애인차별철폐연대 관계자는 “의학적 기준으로 매겨지는 장애등급 때문에 복지서비스가 제한돼 장애인들이 필요한 지원을 제대로 받지 못한다”고 말했다_x000D_
17일엔 사상"
5,5,[참고] 고속버스 이동권 보장 촉구하는 ‘고속버스 타기 운동’ 보도 관련,"국토교통부(장관 서승환)는 장애인이 전동휠체어를 탑승한 채 고속 주행하는 고속버스에 승차할 수 있는 고속버스 이동권 보장은 차량개발·개조 등의 지원에 소요되는 국가재정 문제, 안전성 문제 등 추가적으로 검토할 사항이 많다고 밝혔다_x000D_
 현재 일반철도·고속철도, 시내버스에는 전동휠체어 장애인의 이동권이 마련되어 있으나, 시외버스의 경우에는 장애인이 주위의 도움으로 수동휠체어 장비를 접어서 수하물 적재함에 보관 후 고속버스 내 안전띠가 설치된 좌석에 탑승이 가능하나 전동휠체어를 탑승한 채 승차는 불가한 상태임 * 일반철도에는 수동·전동 각 2석, 고속철도는 수동(3석)·전동(2석)을 운영중 현재 정부는「교통약자의 이동편의 증진법」에 의거「교통약자 이동편의 증진계획」을 수립하여 교통약자의 이동편의시설을 점진적으로 확충하고 있다_x000D_
 * 교통약자 : 장애인, 고령자, 임산부, 영유아를 동반한 자, 어린이 등 생활을 영위함에 있어 이동에 불편을 느끼는 자 시내버스의 경우에는 차체가 낮아 휠체어 이용자 및 고령자 등의 승·하차가 용이한 저상버스 5,338대(보급률 16_x000D_
4%)를 전국적으로 보급하여 현재 운행중에 있고, 금년도에도 국비 378억원을 지원하여 추가로 800대를 도입할 예정이다_x000D_
 또한, 이동에 심한 불편을 느끼는 교통약자의 이동을 지원하기 위하여 휠체어 탑승설비 등을 장착한 특별교통수단(장애인콜택시) 2,026대(도입률 73_x000D_
7%)를 운행중에 있고, 금년도에도 국비 55억원을 지원하여 추가로 270대를 도입할 계획으로 있다_x000D_
 국토부는 휠체어 장애인의 고속버스 이동권 보장은 국가재정상 문제 등으로 단기간 내 해결이 곤란하지만 이동편의 증진을 위해 조만간 장애인 이동실태조사와 확충방안에 대한 연구용역에 착수할 예정 이라고 밝혔다_x000D_
 < 보도내용 (한겨레, 4_x000D_
16(수) >ㅇ 부산시청서 지하철서 장애인…차별 철폐 외친다 - “장애인이 시외로 이동할 때 이용할 수 있는 교통수단은 기차뿐이다_x000D_
 고속버스엔 리프트와 휠체어 좌석이 없기 때문이다_x000D_
 고속버스에도 저상버스를 도입하는 등 장애인 이동권을 보장해야 한다_x000D_
”고 말했다"
6,6,유용막기 위해 저상버스 보조금 사후지급키로,"전북 전주시는 시내버스 업체의 저상버스 보조금에 대한 관리감독을 강화한다고 7일 밝혔다_x000D_
최근 전주의 한 시내버스 업체 대표 A씨가 2011년부터 4년간 저상버스 구입비 명목으로 13억여원의 보조금을 타내 다른 용도로 사용하다 경찰에 적발된 이후 내려진 조치다_x000D_
 시는 앞으로 보조금 지급 시기·방법 등을 개선해 보조금 목적 외에 사용하는 것을 사전에 막기로 했다_x000D_
시는 차량을 건네받을 때 버스 제조업체에 보조금을 지급할 방침이다_x000D_
 이전까지는 시내버스 업체가 구매계약서를 첨부해 보조금을 신청하면 일괄적으로 지급해 왔다_x000D_
 아울러 보조금으로 취득한 저상버스에 대한 담보설정 행위를 막고자 자동차 등록원부를 분기별로 확인하기로 했다_x000D_
한편, 전주시는 노인, 장애인 등 교통 약자의 이동 편의를 위해 운영하는 저상버스 구매 보조금으로 대당 1억원씩을 지원하고 있다_x000D_
khchoi@fnnews_x000D_
com 최경환기자☞ 공식 SNS계정 [페이스북] [트위터] | ☞ 파이낸셜뉴스 [PC웹] [모바일웹] | ☞ 패밀리사이트 [부산파이낸셜뉴스] [fn아이포커스] [fn아트]※ 저작권자 ⓒ 파이낸셜뉴스_x000D_
 무단 전재-재배포 금지"
7,7,"""장애인 이동권 보장 위해 저상 2층 광역버스 도입하라""","""저상 2층 광역버스, 입석·장애인 이동권 문제 해결""(서울=뉴스1) 권혜정 기자 = 전국장애인차별철폐연대는 17일 서울역 버스환승센터에서 기자회견을 열고 ""휠체어 이용 장애인의 이동권 보장을 위해 저상 2층 광역버스를 도입하라""고 촉구했다_x000D_
 단체는 ""서울과 경기, 인천, 부산 등 지역간을 이동하는 교통수단 중 하나인 광역버스는 최근 정부의 일방적인 좌석제 전면 실시로 인해 한바탕 혼란을 겪은 바 있다""며 ""이에 대한 대안이 좌석수를 대폭 늘릴 수 있는 2층 버스""라고 전했다_x000D_
 이어 ""국토교통부가 내년도 시범사업으로 도입하려는 광역 2층 버스는 반드시 장애인을 포함한 교통약자가 차별 없이 안전하게 이용할 수 있어야 한다""며 ""2층 저상버스는 이미 서울시티투어버스와 부산시티투어버스에 도입돼 운행되고 있기에 충분히 내년도 시범사업에 도입할 수 있을 것""이라고 강조했다_x000D_
 단체는 ""저상 2층 광역버스를 도입한다면 버스 증차 없이 좌석수를 늘려 입석 문제를 해결할 뿐만 아니라 이동편의증진법에 근거한 장애인이동권 문제도 해결할 수 있다""며 ""휠체어 이용 장애인의 이동권 보장을 위해 저상 2층 광역버스를 도입하라""고 촉구했다_x000D_
jung9079@▶ 네이버 뉴스스탠드에서 NEWS1을 바로 만나보세요_x000D_
내 손안의 모바일 뉴스, 함께하니 더 즐겁다 ☞ NEWS1 모바일 바로가기[스타핫뉴스 ‘news1 연예’] [생생"
8,8,추석 '민족 대이동'…역·터미널·공항 귀성행렬 북적(종합),"설레는 귀성길     (서울=연합뉴스) 김도훈 기자 = 추석 연휴를 하루 앞둔 5일 서울역 승강장에서 한 가족이 열차에 탑승하기 위해 이동하고 있다_x000D_
5~11일 이동인원 3천945만명…작년보다 13_x000D_
3% 늘어날 듯오후부터 고속도로 곳곳 지정체…서울→부산 6시간 20분    (서울=연합뉴스) 사건팀 = 5일간의 긴 추석 연휴를 하루 앞둔 5일 서울역과 고속버스 터미널, 공항은 고향을 찾는 시민들로 북적거렸다_x000D_
    시민들은 수년째 이어지는 불경기와 세월호 참사 등 잇따른 사고로 인한 울적함을 접어둔 채 가족과의 재회를 기대하며 설레는 마음으로 귀성길에 올랐다_x000D_
    이날 서울역에는 이른 오전부터 여행용 가방을 바리바리 싸들고 열차를 타려는 귀성객들의 발길이 이어졌다_x000D_
고향 앞으로     (광주=연합뉴스) 형민우 기자 = 추석 연휴를 하루 앞둔 5일 오전 광주역에 도착한 귀성객들이 바쁘게 발걸음을 옮기고 있다_x000D_
    오전에는 홀로 귀향하는 20대 남녀들이 다수였으나, 귀성행렬이 본격화된 오후부터는 가족단위 귀성객들이 주를 이뤘다_x000D_
    역사내 의자는 앉을 곳이 없을 정도였으며, 중소기업 상품 전시장 등에선 미처 선물을 마련 못한 귀성객들이 가족에게 줄 선물을 고르느라 고심하는 모습도 눈에 띄었다_x000D_
    코레일 관계자는 ""오늘과 내일, 모레까지 귀성길 좌석은 다 매진된 상태지만 입석은 일부 남아있는 곳이 있다""면서 스마트폰이나 인터넷을 통해 입석 여부를 확인한 뒤 표를 구매할 것을 권했다_x000D_
    사회 초년생 이지현(26·여)씨는 ""작년까지 취업이 안돼 한 2~3년 함평에 있는 조부모댁을 찾지 못했다""면서 ""연휴에 쉬고 싶은 마음도 있었지만 대체휴일 덕분에 시골도 내려가고 좀 쉴수도 있게 됐다""고 말했다_x000D_
    아이와 함께 큰 등산가방을 매고 서울역 광장을 부지런히 걷던 김재영(35)씨 부부는 ""연휴가 긴데 반차까지 쓰기는 눈치가 보였지만, 포항 부모님을 일찍 찾아뵙고 지리산 둘레길도 들러볼 생각에 용기를 냈다""고 말했다_x000D_
    서초구 반포동 서울고속버스터미널도 다소 한산했던 오전과 달리 오후부터 인파가 몰렸다_x000D_
추석연휴 제주 찾은 귀성객과 관광객     (제주=연합뉴스) 변지철 기자 = 사실상 추석연휴가 시작된 5일 오전 제주공항에 도착한 국내선 항공편인 대한항공 KE1259편에서 귀성객과 관광객들이 내리고 있다_x000D_
    매표창구 앞에는 표를 구하려는 사람들이 길게 늘어섰고, 대합실 인근 카페와 식당은 승차시간을 기다리는 손님들로 만석을 이뤘다_x000D_
    2살된 딸을 데리고 귀향하는 주부 김진희(35·여)씨는 ""시댁 어른과 친정 부모님들을 모두 찾아뵙고 올 계획""이라며 ""어린 딸이 차멀미 하지 않고 무사히 고향에 도착했으면 좋겠다""고 말했다_x000D_
     속리산, 안면도, 김제, 완주, 화순, 충주, 당진, 보령 등 배차버스가 많지 않은 곳은 이미 모든 좌석이 매진됐다_x000D_
    표를 구하지 못해 발을 구르는 귀성객들도 있었으나 많지는 않았다_x000D_
    터미널 관계자는 ""요즘은 모두 인터넷으로 예매하는 추세여서 그런지 현장에서 표를 사는 줄이 예전만큼 길지 않다""고 말했다_x000D_
    고속버스터미널에서는 오후 3시까지 총 572대의 버스가 서울을 빠져나갔다_x000D_
'많지만 우리가 탈 수 없는 버스'     (서울=연합뉴스) 한종찬 기자 = 추석을 앞둔 5일 오후 서울 강남고속버스터미널에서 전국장애인철폐연대 회원이 버스에 태워줄 것을 요구하며 기자회견을 하고 있다_x000D_
     서울역과 고속버스터미널에는 시민단체들이 나와 귀성객들을 상대로 선전전을 벌이는 모습도 눈에 띄었다_x000D_
    이날 오전 서울역에서는 이날 오전 서울역에서는 추석 연휴길에도 세월호 참사 희생자들을 잊지 말아 달라는 세월호참사국민대책회의의 서명운동이 진행됐다_x000D_
    정부의 의료민영화와 철도민영화 정책에 반대하는 노동조합과 시민단체들도 이와 관련된 선전물을 배포했다_x000D_
    서울고속버스터미널 경부선 승강장에서는 전국장애인차별철폐연대가 기자회견을 열고 ""휠체어를 타고는 고속버스에 탑승할 수 없어 추석 명절에도 고향에 갈 수 없다""면서 시외버스와 고속버스를 저상버스로 교체할 것을 주장하기도 했다_x000D_
    이날 고속도로는 오후 4시 현재까지 대부분 구간에서 원활한 통행이 이뤄지고 있다_x000D_
    그러나 서울, 인천 등 수도권과 천안, 대전 주변 하행선, 부산 인근 고속도로 등에서는 오후부터 지정체가 본격화한 모양새다_x000D_
점차 늘어가는 귀성길 교통량     (성남=연합뉴스) 신준희 기자 = 추석 연휴가 시작된 5일 오후 경기도 성남시 경부고속도로 서울 톨게이트를 지나는 귀성 차량들이 점차 늘어나고 있다_x000D_
     서울에서 부산까지 승용차를 몰고 갈 때의 예상 소요시간은 6시간 20분, 광주까지의 예상 소요시간은 4시간 30분이다_x000D_
    국토교통부는 올해 추석 연휴 귀성길은 추석 이틀 전인 6일 오전, 귀경길은 추석 당일인 8일 오후에 고속도로 혼잡이 가장 심할 것으로 보고 있다_x000D_
    이달 5∼11일 7일간의 전국 예상 이동인원은 3천945만 명으로 지난해 추석(3천482만 명)보다 13_x000D_
3% 증가할 것으로 예상된다_x000D_
    긴 연휴를 맞아 외국으로 여행을 떠나거나 항공편으로 고향을 찾는 이들이 몰리면서 공항도 일찍부터 붐볐다_x000D_
    인천국제공항은 5∼11일 한국을 떠나는 여행객이 44만 2천436명, 국내로 들어오는 여객은 44만 3천302명에 이를 것으로 내다봤다_x000D_
    국내선이 대부분인 김포공항은 같은 기간 국내를 오가는 승객이 총 38만 1천614명에 달할 것으로 전망했다_x000D_
 hwangch@yna_x000D_
co_x000D_
kr▶연합뉴스 모바일앱 다운받고 대박 경품 받아가세요~▶물 속에서 웨딩촬영을?<저작권자(c) 연합뉴스, 무단 전재-재배포 금지>"
9,9,"""20년째 못 간 아버지 묘소""… 버스 못 타는 장애인 눈물","10년째 요구해도 전동휠체어 탈 수 있는 저상 시외버스 '0대'[CBS노컷뉴스 김민재 기자]추석 연휴를 하루 앞둔 5일 오후 서울 강남고속버스터미널에서 전국장애인철폐연대 회원들이 버스 탑승을 시도하고 있다_x000D_
 (사진=박종민 기자)장장 5일에 걸친 이번 추석을 맞아 어김없이 민족의 대이동이 펼쳐지지만, 수많은 중증 지체장애인들은 이번 연휴에도 홀로 집에 남아야 한다_x000D_
◈ 버스 한 번 타면 갈 길을 20년 넘게 아버지 묘소 한 번 못 가는 '불효'서울 강동구에 사는 박현(40) 씨는 아버지가 돌아가신 뒤 지난 20여 년 동안 한 번도 묘소를 찾지 못했다_x000D_
""사람들은 불효자라고 욕하겠지만, 중증 지체장애인은 아버지를 모신 경남 양산까지 갈 방법이 없다""는 게 박 씨의 하소연이다_x000D_
가장 큰 문제는 시내버스에는 저상버스가 도입됐지만, 저상 시외버스는 국내에는 단 한 대도 없어 전동휠체어를 탄 장애인이 버스를 아예 이용할 수 없다는 점이다_x000D_
 그나마 장애인 좌석을 제공하는 열차를"
