,기사요약
0,"전장연은 ""정부가 협약에 가입만 해놓고 사실상 의무를 이행하지 않고 있다""며 ""선택의정서를 조속히 비준해 장애인에게 최소한의 인간다운 삶을 보장해야 한다""고 강조했다전장연은 기자회견에 앞서 지난 사흘간 서울 강남고속버스터미널 승강장에서 장애인 이동권 보장을 요구하며 '고속버스 승차 투쟁'을 벌였다조현수 전장연 정책국장은 ""국토부가 16억원을 들여 고속버스 40대에 휠체어리프트를 설치해 운용하는 방안을 제시했지만, 어제 확정된 내년도 최종예산안에 포함되지 않았다고 한다""면서 ""이는 현 정부가 장애인 이동권 보장에 대한 최소한의 의지도 없다는 의미로밖에는 받아들일 수가 없다""고 비판했다"
1,"[한겨레] 정부, 리프트 설치 비용 내년 예산에 반영 안해장애인단체, 고속버스터미널에서 항의 집회전국장애인차별철폐연대 회원 100여명이 ‘세계 장애인의 날’을 하루 앞둔 2일 오후 서울 서초구 고속버스터미널 승강장에서 ‘고속버스 타기’를 시도하고 있다김씨는 휠체어를 실을 수 있는 고속버스가 있다면 광주에 다시 한번 가보고 싶다고 말했다” 2일 오후 4시 서울 강남구 서초동 고속버스터미널 경부선 1~13번 승차장에 휠체어를 탄 장애인 150여명이 모였다‘세계 장애인의 날’을 하루 앞둔 이날 전국장애인차별철폐연대는 휠체어를 탄 장애인들이 고속버스를 탈 수 없는 현실을 보여주기 위해 오후 4시30~40분 부산과 세종시 등으로 출발하는 고속버스 10대에 세 자리씩을 미리 예약했다16억원이면 휠체어를 탄 장애인들도 고속버스를 이용할 수 있다"
2,"경기도는 12월 한 달간 7770번'(수원역∼사당역), M6117번’(김포한강신도시~서울역), 8012번'(남양주~잠실역), 세 노선에 대해 2층버스 시범운행을 진행한다출퇴근 시간에 서서 가는 불편을 감수하는 것은 당연하고, 그마저도 탈 공간이 없어서 버스를 놓치는 경우도 비일비재한 구간이다경기도는 이런 혼잡과 불편을 개선해보고자 12월 한 달간 2층버스 시범 운행을 시행 중이다오후 6시경 사당역에서 버스를 기다리는 승객들의 모습서울, 부산 등 일부 지역에서 관광용을 제외하고는 2층버스가 도심을 누비는 경우가 낯선 관경이라서 이 2층버스에 사람들의 시선이 모두 쏠렸다그는 또 “사실 출퇴근 시간에 수원-사당행 버스는 고행이 따로 없는데, 2층버스 운행이 실제적으로 효과만 있다고 한다면 수원의 명물이 되지 않을까 하는 기대감이 든다대부분의 수원-사당행 좌석버스 노선에는 버스를 기다리는 대기줄이 두 줄이다”라고 탑승 소감을 말했다(제공=경기도 공식 블로그)그의 말대로 2층버스에 도입에 있어 가장 걱정되는 부분은 안전운행일 것이다경기도청에 따르면, 이번에 시범운행을 하는 영국 알렉산더 데니스사의 엔비로(Enviro) 500 모델에는 어라운드 뷰 모니터링(AVM) 시스템이 장착돼 있다고 한다대략 승객의 70%-80% 정도가 2층버스 도입에 찬성했다고 한다정오시간임을 감안한다고 해도 버스 운행속도가 더 느려지는 출퇴근 시간에 2층버스 운행 속도에 문제가 있을 것으로 보이진 않았다복잡한 출퇴근 시간에 승객들이 안전에 대한 인식을 확고히 갖고 있지 못하면 사고로 이어질 위험이 있어 보였다비좁은 도로에서도 유유하게 운행되는 홍콩의 2층버스를 감안한다면 운전자와 승객의 안전의식과 더불어 2층버스가 실제로 출퇴근 시간 혼잡 완화 효과를 가져올 수 있을지에 귀추가 주목된다"
3,"권 후보는 “여성고위공직자의 승진기회 확대와 더불어 여성 부시장, 여성 시정자문단 등을 구성하겠다”고 밝히고 “워킹맘, 싱글맘을 위한 안전한 육아돌보미 기관을 지원하고 엄마부산센터의 운영과 여성사회적 기업의 육성을 통한 양성평등의 사회를 만들어 가겠다”고 말했다권 후보는 이 밖에도 “자치구별 에너지 자립형 생활체육센터를 설립하고 시민이 일상생활에서 생활체육을 편리하게 이용할 수 있도록 체육관, 공공운동시설 등을 확대, 지원해 나가겠다”고 밝혔다"
4,장애인차별철폐 부산공동투쟁실천단은 15일 부산시청 광장에서 뇌성마비 장애인 가족 권리 보장과 지원 촉구 결의대회를 열어 “뇌성마비 장애인과 가족을 위한 합리적인 교육·복지·의료 지원 체계를 마련해 달라”고 정부와 부산시에 요구했다고속버스에도 저상버스를 도입하는 등 장애인 이동권을 보장해야 한다”고 말했다
5,"* 교통약자 : 장애인, 고령자, 임산부, 영유아를 동반한 자, 어린이 등 생활을 영위함에 있어 이동에 불편을 느끼는 자 시내버스의 경우에는 차체가 낮아 휠체어 이용자 및 고령자 등의 승·하차가 용이한 저상버스 5,338대(보급률 16국토부는 휠체어 장애인의 고속버스 이동권 보장은 국가재정상 문제 등으로 단기간 내 해결이 곤란하지만 이동편의 증진을 위해 조만간 장애인 이동실태조사와 확충방안에 대한 연구용역에 착수할 예정 이라고 밝혔다"
6,"최근 전주의 한 시내버스 업체 대표 A씨가 2011년부터 4년간 저상버스 구입비 명목으로 13억여원의 보조금을 타내 다른 용도로 사용하다 경찰에 적발된 이후 내려진 조치다한편, 전주시는 노인, 장애인 등 교통 약자의 이동 편의를 위해 운영하는 저상버스 구매 보조금으로 대당 1억원씩을 지원하고 있다"
7,"단체는 ""저상 2층 광역버스를 도입한다면 버스 증차 없이 좌석수를 늘려 입석 문제를 해결할 뿐만 아니라 이동편의증진법에 근거한 장애인이동권 문제도 해결할 수 있다""며 ""휠체어 이용 장애인의 이동권 보장을 위해 저상 2층 광역버스를 도입하라""고 촉구했다"
8,"설레는 귀성길     (서울=연합뉴스) 김도훈 기자 = 추석 연휴를 하루 앞둔 5일 서울역 승강장에서 한 가족이 열차에 탑승하기 위해 이동하고 있다3% 늘어날 듯오후부터 고속도로 곳곳 지정체…서울→부산 6시간 20분    (서울=연합뉴스) 사건팀 = 5일간의 긴 추석 연휴를 하루 앞둔 5일 서울역과 고속버스 터미널, 공항은 고향을 찾는 시민들로 북적거렸다고향 앞으로     (광주=연합뉴스) 형민우 기자 = 추석 연휴를 하루 앞둔 5일 오전 광주역에 도착한 귀성객들이 바쁘게 발걸음을 옮기고 있다아이와 함께 큰 등산가방을 매고 서울역 광장을 부지런히 걷던 김재영(35)씨 부부는 ""연휴가 긴데 반차까지 쓰기는 눈치가 보였지만, 포항 부모님을 일찍 찾아뵙고 지리산 둘레길도 들러볼 생각에 용기를 냈다""고 말했다2살된 딸을 데리고 귀향하는 주부 김진희(35·여)씨는 ""시댁 어른과 친정 부모님들을 모두 찾아뵙고 올 계획""이라며 ""어린 딸이 차멀미 하지 않고 무사히 고향에 도착했으면 좋겠다""고 말했다점차 늘어가는 귀성길 교통량     (성남=연합뉴스) 신준희 기자 = 추석 연휴가 시작된 5일 오후 경기도 성남시 경부고속도로 서울 톨게이트를 지나는 귀성 차량들이 점차 늘어나고 있다국토교통부는 올해 추석 연휴 귀성길은 추석 이틀 전인 6일 오전, 귀경길은 추석 당일인 8일 오후에 고속도로 혼잡이 가장 심할 것으로 보고 있다"
9,"10년째 요구해도 전동휠체어 탈 수 있는 저상 시외버스 '0대'[CBS노컷뉴스 김민재 기자]추석 연휴를 하루 앞둔 5일 오후 서울 강남고속버스터미널에서 전국장애인철폐연대 회원들이 버스 탑승을 시도하고 있다가장 큰 문제는 시내버스에는 저상버스가 도입됐지만, 저상 시외버스는 국내에는 단 한 대도 없어 전동휠체어를 탄 장애인이 버스를 아예 이용할 수 없다는 점이다박 씨는 ""'마음만 있으면 아버지 묘소 한 번 못 가겠느냐'고 쉽게 말하지만, 전동휠체어만으로 국토횡단도 할 수 있다는 말과 같다""며 ""시외버스를 타면 쉽게 해결되는 일인데, 비장애인은 싸고 편리하게 이용하는 시외버스를 장애인은 아예 이용할 수 없다는 것 자체가 문제""라고 강조했다그럼 버스 내리면 누가 밀어주나요?""추석 연휴를 하루 앞둔 5일 오후 서울 강남고속버스터미널에서 전국장애인철폐연대 회원들이 버스 탑승을 시도하고 있다역시 장애인이 이용할 수 있는 버스나 기차는 물론 장애인 콜택시를 구하기 쉽지 않다이 씨는 ""더 큰 문제는 김포에서 고향은커녕 애초에 서울에 가는 일조차 쉽지 않다는 것""이라며 ""일단 서울에 가야 기차라도 타는데, 서울까지 가려면 몇 차례나 장애인 콜택시를 갈아타고 지하철이나 기차역이 있는 곳까지 찾아가야 한다""고 지적했다◈ 10년 넘게 요구해도 저상 시외버스는 '0대'… ""의지라도 보여달라""추석 연휴를 하루 앞둔 5일 오후 서울 강남고속버스터미널에서 전국장애인철폐연대 회원들이 교통약자 이동편의증진법 준수를 촉구하는 기자회견을 하고 있다(사진=박종민 기자)이 때문에 지난 4월 20일 장애인의 날을 맞아 '장애인 차별 철폐 공동투쟁단'이 서울 고속버스터미널에서 ""장애인도 시외버스를 이용하게 해달라""며 시위를 벌이는 등 10여 년째 저상 시외버스를 요구했다"
