,기사요약
0,"장애인들은 지난 3월 30일부터 서울지하철 3호선 경복궁역 승강장에서 장애인권리예산 보장에 대한 확답을 대통령직인수위원회에 요구하며 한명씩 삭발을 이어가고 있다지난 3월 30일 서울 종로구 지하철 3호선 경복궁역 승강장에서 이형숙 서울시장애인자립생활센터협의회장이 장애인권리예산 보장을 요구하며 삭발하고 있다장애인들은 저상버스가 올 때까지 여러대의 버스를 지나쳐 보내고, 지하철을 탈 때는 역사 내 엘리베이터 설치 여부와 위치 등을 고려해 빙 돌아간다이 질문을 의제화해 정책으로 발전시킬 힘이 있고, 또 그래야 할 이 대표는 자신의 자원을 단체의 시위를 비난하는 데 썼다장애인을 혐오하는 글·영상이 퍼져나갔고, 시위에 나선 장애인들은 한층 더 거세진 폭력에 온몸으로 부딪혀야 했다”(김도현·〈장애학의 도전〉) 장애를 장애로 만드는 구조를 방관한 책임주체를 소환해야 한다"
1,"[앵커] 장애인 이동권을 보장하라는 출근길 지하철 시위가 22일 만에 재개됐습니다단체 측에서는 장애인 권리 예산과 관련된 인수위의 책임 있는 답변을 요구하며, 당분간 매일 시위를 한다는 방침인데요장애인 이동권 보장 등을 요구하는 단체에서 오늘 아침 서울 시청역과 경복궁역을 찾아 출근길 지하철 시위를 벌였습니다""] 이 단체는 장애인 권리 예산에 대한 인수위 답변을 기다리겠다며 지난달 말 시위를 잠정 중단했지만  22일 만인 오늘 재개했습니다"
2,"엘리베이터 없는 7호선 남구로역종로3가·청담역 등 20곳도 엘리베이터 동선 끊겨서울시, 2025년까지 모든 역 '1동선 엘리베이터' 설치신설동역 등 3곳은 사유지 문제로 공사 차질장애인, 노인, 임산부, 영유아 동반자 등 교통약자가 타인의 도움 없이 엘리베이터 등을 타고 지상부터 승강장까지 이동할 수 있게 한다는 계획이다나머지 20곳에선 지상부터 승강장까지 엘리베이터만 타고 이동할 수 없다휠체어 이용자는?지하철 '1역사 1동선'은 서울시가 7년 전 약속했던 목표다서울시는 시내버스도 2025년까지 모두 휠체어·유아차가 쉽게 탈 수 있는 저상버스로 바꾼다8%까지 높이고, 저상 마을버스도 올해 71대에 이어 2025년까지 73개 노선 235대로 늘린다"
3,"국토부, 교통약자법 개정 후속조치…저상버스 도입, 교통비 지원 연구장애인 단체 총 26번 지하철 시위…4월 20일까지 인수위 답변 요구30일 오전 서울 종로구 지하철3호선 경복궁역 승강장에서 열린 '장애인권리예산 인수위 답변 촉구를 위한 전국장애인차별철폐연대 삭발 투쟁 결의식'에서 전장연 회원이 이형숙 서울시장애인자립생활센터 회장의 삭발식을 지켜보며 눈물을 흘리고 있다30/뉴스1 © News1 황기선 기자(서울=뉴스1) 금준혁 기자 = 전국장애인차별철폐연대(전장연)이 지하철 시위를 멈추고 삭발 투쟁에 돌입한 가운데 국토교통부가 해법 찾기에 나선다국토부는 ""특별교통수단 운영비 지원, 저상버스 도입 의무화 등을 위한 하위법령 정비가 필요""하고 ""전동휠체어 사용 증가 등의 사회환경 변화와 외부에서 제안한 개선요청 사항을 반영하기 위함""이라며 취지를 밝혔다국토부 관계자는 ""전장연 측 요청 사항을 수렴해 법안이 정리된 것으로 안다""면서도 ""노선버스에 (저상버스)를 100% 도입할 수는 없기 때문에 이를 체계적으로 가려내기 위해 연구를 진행하는 것""이라고 설명했다30/뉴스1 © News1 황기선 기자◇쟁점은 법률에 명시 여부…전장연 ""국비 지원 의무화 요구""현재 전장연 측에서는 교통약자법 개정안 중 특별교통수단과 관련 예산 지원 조항이 의무가 아닌 임의조항이라는 점을 지적하고 있다"
4,"어떤 이는 지하철을 타기 위해 먼 길을 돌아 엘리베이터를 타야 하고, 엘리베이터가 없다면 목숨을 건 리프트를 오랜 시간 기다려 타야 합니다모두가 편하게 이용할 수 있는 대중교통 환경을 만들 수는 없을까요?엘리베이터도 만들어놓으면 모두가 이용할 수 있고, 저상버스도 일반 버스에 비해 공간이 넓으니 편히 이용할 수 있습니다이동권 투쟁은 휠체어를 이용하는 분들이 중심이 되기에 이동권이라는 것이 지체장애의 영역으로 보여지기도 합니다하지만 위에서 언급했듯 이동권은 ‘교통약자’를 위한 권리입니다그리고 대중교통을 스스로 이용하는 능력은 삶의 질을 높여주기 때문에 모두가 이용할 수 있도록 환경을 구성해줘야 합니다내가 가고 싶은 곳을 선택하고 스스로 갈 수 있는 권리, 이 권리는 개인이 가진 능력에 의해 결정되기보다는 이 권리를 행사할 수 있도록 지원해야 할 영역으로 보아야 합니다"
5,"전국장애인차별철폐연대가 지난해 12월부터 이어오고 있는 서울 지하철 통근길 시위 때문이다하지만, 저상버스 도입 의무대상에서 시외·고속버스는 제외됐다충남지역 특별교통수단 운행대수는 천안 65대, 공주 14대, 보령 12대, 아산 29대, 서산 10대, 논산 17대, 당진 16대, 금산 5대, 부여 6대, 서천 7대, 청양 4대, 홍성 12대, 예산 10대, 태안 3대다지난해 휠체어를 이용하는 취재원의 퇴근길을 함께 했었다"
6,"전국장애인차별철폐연대(전장연) 회원들이 29일 서울 종로구 지하철 3호선 경복궁역에서 '이동권 예산 확보'를 요구하며 출근길 선전전을 벌이고 있다”   지난 27일 국민의힘 이준석 대표는 자신의 페이스북에 전국장애인차별철폐연대(전장연)가 이미 합의가 끝난 ‘장애인 이동권’ 문제가 아니라 장애인 평생교육법안, 탈 시설지원 등을 위해 지하철 타는 시민을 볼모로 잡는다며 이같이 말했다저상버스 도입, 장애인 콜택시 확대 등에 대한 법이 통과됐지만 국비 지원 등을 명시하지 않아 현실적인 변화가 없다는 게 전장연 측의 주장이다뉴스1    지난해 국민의힘과 면담에서 관련 법안 통과를 요청했던 변재원 전장연 전 정책국장은 “다른 문제를 제쳐놓고 장애인 이동 문제에 예산을 우선 배정하려는 지자체 드물다”며 “개정안이 통과됐어도, 갈 길은 멀다”고 말했다전국장애인차별철폐연대(전장연) 회원들과 시민단체가 지난 28일 서울 3호선 지하철에서 장애인 이동권 보장·장애인 권리예산 반영을 요구하며 출근 시간대 지하철 시위 '출근길 지하철 탑니다'를 하고 있다아무리 장애인 법안을 만들어도 기재부가 예산을 배당해주지 않으면 실효성이 없기 때문이다한편, 전장연은 29일 서울 지하철 시청역 환승 구간에서 투쟁 선포 결의대회를 열고 30일부터 출근길 시위를 잠정 중단한다고 밝혔다"
7,"박홍근(위쪽) 원내대표와 고민정 의원이 6일 휠체어를 이용해 출근하고 있다[각 의원실 제공]박홍근 원내대표를 비롯한 더불어민주당 국회의원들이 6일 오전 휠체어를 타고 대중교통을 이용해 국회 출근하는 ‘휠체어 출근 챌린지’에 대거 참여했다이준석 국민의힘 대표가 지하철 출근길 시위를 벌인 ‘전장연(전국장애인차별철폐연대)’과 연일 강하게 대립하는 가운데, 민주당은 직접 장애인 당사자가 돼보는 체험을 통해 진정성 있는 장애인 권리보장에 나서겠다는 의지다"
8,"그걸 위해서 정부는 휠체어를 탄 채 안전하게 탈 수 있는 버스와 콜택시를 운영하고 있는데, 예전보다는 숫자가 늘었다고 하지만, 장애인들은 여전히 불편하다고 말합니다버스에 올라, 휠체어 고정까지 10분 가까이 걸렸습니다장애인 전용 콜택시 역시 부족하긴 마찬가지최근에는 휠체어 장애인과 비장애인이 함께 이용할 수 있는 택시 서비스가 선보였습니다]공공과 민간이 머리를 맞대 장애인 이동권을 폭넓게 보장할 수 있는 지원대책 마련이 절실합니다"
9,"짧게는 작년 말부터, 길게는 2001년부터 이어진 장애인 단체의 이동권 투쟁 집회 현장이었다이날은 장애인 단체인 ‘전국장애인차별철폐연대(전장연)’ 관계자의 삭발식이 있었다장애인 단체의 이동권 투쟁을 앞장서서 이끌고 있는 박 대표는 지난 13일 이준석 국민의힘 대표와 TV토론까지 벌이며 얼굴이 알려진 사람이 됐다1983년 대학 동아리에서 행글라이더를 타다가 사고로 하반신이 마비된 박 대표는 이후 평생을 장애인 인권 운동에 투신했다2001년 오이도역 리프트 추락사고를 계기로 시작된 장애인 이동권 운동 역시 박 대표가 처음부터 함께 했다평생을 장애인 인권을 위해 싸워온 박 대표는 얼마 전부터 새로운 싸움에 나서고 있다박경석 전국장애인차별철폐연대 대표가 15일 서울 종로구 전국장애인차별철폐연대 사무실에서 조선비즈와 인터뷰를 갖고 장애인 운동 활동 계기와 최근 장애인 이동권 이슈 등에 대해 이야기하고 있다우리가 3조~4조원의 예산을 요구한다고 말하는데, 사실과 다르다그런데 이 대표는 지하철에 엘리베이터가 생겼으니 됐다며 장애인 이동권 운동을 협소하게 잘라내 버렸다홍 부총리의 집에 가려고 아침에 지하철을 타면서 우발적으로 출근길 집회가 된 것이다"
