,기사요약
0,"대전시가 도입하는 2층 전기 저상버스[양영석 기자](대전=연합뉴스) 양영석 기자 = 대전역에서 세종시를 거쳐 오송역을 오가는 도로를 2층 전기저상버스가 누빌 예정이다2층 전기 저상버스 도입으로 B1 노선 배차간격은 10분으로 1분 줄어들고, 하루 운행 횟수 역시 220회로 늘어난다"
1,대전시가 중부권 최초로 다음 달 14일부터 운행하는 2층 전기 저상버스대전시 제공대전시가 중부권 최초로 교통약자 등도 편리하게 이용할 수 있는 2층 전기 저상버스를 도입해 다음 달 14일부터 운행하기로 했다
2,"5 MHz ■ 진행 : 정길훈 앵커(전 보도국장) ■ 출연 : 김대영 리포터  ■ 구성 : 정유라 작가 ■ 기술 : 김영조 감독  ▶유튜브 영상 바로가기 주소 https://youtube/CKc8MCSXGss◇ 정길훈 앵커 (이하 정길훈): 목포 시내버스 노조의 파업이 11일째 이어지면서 시민의 불편이 커지고 있습니다목포시가 시내버스 회사에 해마다 수십억 원의 재정을 지원하고 있지만 노조의 파업이 되풀이되고 있는데요◇ 정길훈: 목포 시내버스가 멈춰 선 것이 지난 18일부터죠?◆ 김대영: 그렇습니다◆ 김대영: 목포 시내버스 노조는 지난달 27일과 28일 파업 찬반투표를 실시해 투표 참여 조합원 310여 명 중 92◇ 정길훈: 시내버스 노조가 파업에 들어간 이유가 뭡니까?그런데 우리가 파업한 동기를 설명하자고 하면 지금 전라남도에 지역 지부가 구성돼 있습니다만 현재 주52시간제 때문에 근무 일수를 부득이하게 12일로 낮춰달라는 요구를 현재 하고 있습니다◆ 김대영: 노조는 지난해 임금을 동결했지만 체불까지 발생한 상황이라며 파업의 정당성을 주장하고 있습니다뭐라고 합니까?◆ 김대영: 사측은 코로나19에 따른 시내버스 이용객 급감과 연료비 상승 등 재정 적자가 심각하다는 이유로 노조의 요구를 받아들일 수 없다며 협상안조차 제시하지 않고 있습니다사진 출처: 연합뉴스◇ 정길훈: 목포에서 시내버스를 운행하는 업체가 태원여객, 유진운수 회사는 2개인데 사실은 한 회사라면서요?◆ 김대영: 네◇ 정길훈: 이 회장이 운영하는 시내버스 회사가 목포뿐만 아니라 인근 시군에도 또 있다면서요?◆ 김대영: 네◇ 정길훈: 시내버스 회사가 경영난을 겪는다고 하니까 목포시가 해마다 재정 지원을 하는 모양인데 어느 정도 예산이 들어가고 있습니까?◆ 김대영: 목포시는 적자 노선에 따른 재정 지원과 공공 강화 서비스 등의 이유로 해마다 수십억 원의 재정 지원을 하고 있는데요◆ 김대영: 이렇게 시에서 보조금을 지원받으면 친인척 운영 회사의 대금은 전부 지불하면서 노동자들의 임금은 일부 지급하고 있고요◇ 정길훈: 파업이 장기화되고 있는데요목포시에서는 어떤 대책을 세우고 있습니까?◆ 김대영: 학생, 노인 등 교통약자들이 가장 많은 피해를 보고 있는데요사진 출처: 연합뉴스-(박홍률/ 목포시장): 파업 당일부터 시내버스 1번과 9번 2개 노선에 관용차, 교회 버스 등 20여 대를 투입해서 오전 7시부터 낮 12시까지, 오후 4시부터 밤 9시까지 무료로 운영하고 있습니다◆ 김대영: 하지만 시민의 불편을 해소하기는 역부족입니다◇ 정길훈: 목포에서는 시내버스와 관련해서 근본적인 대책을 세우기 위해서 시내버스 공론화위원회가 구성돼 있다고 하는데요사진 출처: 목포시민신문◆ 김대영: 그렇습니다목포 시내버스 공영제 전환과 이한철 대표의 경영권 반납을 요구했습니다◇ 정길훈: 목포뿐만 아니라 목포나 여수 또 전국의 주요 중소도시들이 이런 시내버스 경영난 문제를 겪고 있는데 하루 빨리 파업도 풀리고 근본적인 대책도 세워졌으면 좋겠습니다◇ 정길훈: 지금까지 김대영 리포터였습니다"
3,"박경석 장애인차별철폐연대 공동대표[연합][헤럴드경제=유동현 기자] 장애인 이동권 보장 시위의 일환으로 버스 운행을 방해한 박경석 전국장애인차별철폐연대(전장연) 상임공동대표가 1심에서 집행유예를 선고받았다서울중앙지법 형사3단독 양환승 부장판사는 18일 집회 및 시위에 관한 법률 위반과 업무방해 등 혐의로 기소된 박 대표에게 징역 4월에 집행유예 2년을 선고했다박 대표는 ‘장애인 이동권 보장’, ‘중앙 정부 책임 분명하게 하라’ 등이 적힌 피켓을 목에 건 채 시내버스 앞문과 자신의 몸을 쇠사슬로 연결해 약 23분간 버스 운행을 방해한 혐의도 받았다"
4,연합뉴스장애인 이동권 보장을 요구하며 퇴근길 버스 운행을 방해한 혐의로 기소된 박경석 전국장애인차별철폐연대(전장연) 대표가 1심에서 징역형의 집행유예를 선고받았다박 대표는 지난해 4월 8일 서울 종로구 마로니에공원 앞 버스정류장에서 전장연 회원 20여명과 버스 운행을 20여분간 방해한 혐의를 받는다
5,"기사내용 요약노조-회사, 체임 해결·내년도 임금 인상 등 두고 대립시 '목포형 준공영제' 도입 검토…내년 1월까지 용역""지자체 사례 면밀히 검토해 합리적 방안 모색해야""[목포=뉴시스] 박상수 기자 = 목포시내버스 노조의 파업 첫날인 18일 오전 전남 목포시 석현동 차고지에 시내버스들이 운행을 중단한 채 멈춰 서 있다목포시내버스 태원여객·유진운수 노조는 18일 오전 5시부터 임금인상과 근무여건 개선 등을 요구하며 전면적인 운행 중단에 들어갔다[목포=뉴시스] 박상수 기자 = 18일 오전 전남 목포시 석현동 시내버스 차고지에서 태원여객com 1년에 100억원이 넘는 주민혈세를 지원하는데도 시내버스 운영에 대한 개선의 여지는 없다목포시내버스 노조는 2020년 2월에도 임금인상을 요구하며 파업에 들어갔다"
6,"이는 올해 171대보다 67대 늘어난 수치로, 최근 정부가 발표한 ‘제4차 교통약자의 이동편의 증진계획’에 따른 것이다이 계획은 현재 30% 수준인 저상버스 도입률을 2026년 62%까지 획기적으로 개선한다는 정부 방침으로, 시는 교통약자의 이동편의 증진법 시행에 맞춰 저상버스 도입 폭을 크게 확대하기로 했다"
7,"부산시의회, 제309회 임시회 폐회…2022년도 행정사무감사계획서 승인부산교육청, 생태환경동아리 지도교사 대상 생태환경교육 실천단 워크숍 진행부산시는 교통약자는 물론 모든 시민이 일상생활 이동에 불편함이 없도록 저상버스를 지속적으로 확보해 나갈 계획이다이후 19명의 의원들이 5분 자유발언에 나서 부산시와 부산교육청의 다양한 현안에 대해 발언하고, 정책대안을 제시했다◇ 부산교육청, 생태환경동아리 지도교사 대상 생태환경교육 실천단 워크숍 진행부산교육청이 7일부터 부산과학체험관 등에서 5차례에 걸쳐 '2022학년도 생태환경교육 실천단 워크숍'을 진행한다"
8,9일 시에 따르면 지난 9월 28일 정부가 발표한 ‘제4차 교통약자의 이동편의 증진계획’에 따라 시는 2023년 저상버스를 2022년 171대보다 67대 늘어난 238대를 도입하기로 했다
9,"[사회적 소수자와 돌봄] 모든 사람이 모든 아이를 돌본다면학부모들과 각종 학원 선생님들이 아이들을 맞이하고 있다ⓒ오은선    ※ 코로나19 팬데믹은 우리 사회가 돌봄에 얼마나 취약한지 여실히 드러내었고, 서로 돌보는 사회로 나아가야 한다는 사실이 분명해졌습니다아이를 돌보는 데에는 금전으로 채울 수 없는 부분이 더 많이 존재하기 때문이다아이를 돌보는 노동은 여러 사람이 나누어 맡는 것이 전형적이었다맞벌이 양육자 둘이서 해결할 수 없는 돌봄 공백 맞벌이 가정의 경우에 아이 돌봄 문제는 딜레마의 연속이다ⓒ오은선     돌봄 공백을 해결하려면 양가 부모님의 도움을 받거나 등하원 도우미를 고용하지 않고는 도저히 양육자 둘이서 문제를 풀어낼 수가 없다그래서 아이가 초등 1학년일 때 양육자는 퇴사를 진지하게 고려하게 된다) 유아차를 끌고 아이와 함께 외출하기 아이가 보육기관이나 교육기관에 가지 않을 때는 어떻게 시간을 보낼까집에서의 놀이가 지겨워져 몸이 근질근질해지기 전에 아이를 데리고 밖으로 나가야 한다이에 대한 대비책으로 빨간 날이면 무조건 아이를 데리고 나간다아이를 데리고 갈 곳을 정하는 것도 고심해서 선정한다선택지가 다양해 보여도 아이를 환영하지 않는 곳, 평일에 자주 가서 아이가 식상해할 곳을 제외하고 거리와 운영 시간을 고려하다 보면 갈 곳이 그리 많지 않다아이가 없을 때는 지갑과 핸드폰만 챙기면 끝이었지만, 아이와 함께하는 외출은 만반의 준비가 필요하다휴대용 유아차는 아이가 타지 않아도 이미 묵직하다승강기가 설치되어 있지 않은 지하철역은 계단 이동을 위해 지하철 승무원의 도움을 받게 되어 있다아이와 양육자는 왜 혐오의 대상이 되었나?2008년 기준) 그림자 노동을 지속하며 육아와 아이 돌봄을 전담하지만, 통장에 쌓이는 노동이 아니라는 이유로 경제적 가치가 없다고 인식한다대체 우리 사회에서 아이는 어쩌다 불편한 존재가 되었을까?아이를 사회와 분리하고, 위험하고 불손한 존재로 보는 시각이 나쁜 것이다오늘도 꾸역꾸역 아이를 데리고 밖으로 나와 에너지를 쏟는 활동을 한다세상은 아이를 거슬리는 존재로 만들어서 사회와 자꾸 분리하려 든다‘노키즈존’이라며 아이를 배제하고자 하더니, 이제는 ‘노배드패런츠존’(No bad parents zone, 나쁜 부모 출입 금지) 혹은 ‘케어키즈존’(Care Kids Zone, 문제가 생기면 보호자 책임이라고 경고)이라는 다른 이름으로 어린이와 양육자를 함께 내몰고 있다아이를 신경 쓰지 않고 내버려 두려는 양육자는 없다승강기가 없는 지하철을 이동하는 양육자 ⓒ오은선     유엔아동권리협약에는 반드시 기억해야 할 4가지 일반 원칙이 있다아동은 생명에 대한 고유한 권리가 있으며, 국가는 아동의 생존과 발달을 보장해야 한다), 의견 존중과 참여의 원칙(제12조아동은 자신들과 관련된 문제 상황에 대해 의견을 표현할 권리가 있으며, 아동의 의견은 존중되고 진지하게 받아들여져야 한다서로 돌보지 않고는 살아갈 수가 없다 모든 사람이 내 아이를 돌보듯이 모든 아이를 함께 돌본다면, 육아와 아이 돌봄의 무게가 한결 가벼워질 것이다육아와 아이 돌봄은 여러 사람이 나누어 맡는 것이 전형적이었다는 사실을 기억할 필요가 있다돌봄을 함께 하려는 노력이 더해진다면, 육아와 아이 돌봄으로 다른 삶을 상상하기도 어려웠던 많은 여성들에게도 기회의 문이 열릴 것이다출산과 모유 수유만 빼면, 육아와 아이 돌봄은 누구나 할 수 있고 또 함께해야 하는 일이다돌봄이 생존과 긴밀히 연결된 활동이라는 점이 명확해졌지만 도움을 요청하는 것도, 손을 내밀기도 어려운 시대가 되어버렸다"
