,기사요약
0,"다음 달 14일부터 B1 노선에 2대 운행…하루 20회대전시가 도입하는 2층 전기 저상버스[양영석 기자](대전=연합뉴스) 양영석 기자 = 대전역에서 세종시를 거쳐 오송역을 오가는 도로를 2층 전기저상버스가 누빌 예정이다25일 대전시에 따르면 다음 달 14일부터 이 구간 간선급행버스(BRT) B1 노선에 2층 전기저상버스 2대가 하루 20회 운행한다2층 전기 저상버스 도입으로 B1 노선 배차간격은 10분으로 1분 줄어들고, 하루 운행 횟수 역시 220회로 늘어난다"
1,대전시가 중부권 최초로 다음 달 14일부터 운행하는 2층 전기 저상버스대전시 제공대전시가 중부권 최초로 교통약자 등도 편리하게 이용할 수 있는 2층 전기 저상버스를 도입해 다음 달 14일부터 운행하기로 했다하지만 시내버스로 운행 중인 일반 저상버스 도입이 불가능해 휠체어 승객은 이용할 수 없는 단점이 있었다시는 올해 4월 휠체어 2대가 탑승할 수 있는 2층 전기 저상버스를 도입하기로 하고 높이 4m인 2층 버스가 운행할 수 있도록 노선에 있는 방해 시설물을 정비했다대전시 관계자는 “B1 노선의 경우 전국에서도 이용량이 매우 많은 노선으로 휠체어 및 출퇴근 이용객에게 편의를 제공하게 됐다”며 “앞으로도 교통약자들의 대중교통 이용 편의를 늘려 나가겠다”고 밝혔다
2,"지난해에는 사측이 휴업 신청""- ""목포시, 재정지원금 늘리면서 시내버스 문제 매듭 짓는 행태 반복""- ""회사 대표, 적자 속 한해 연봉 2억 원5 MHz ■ 진행 : 정길훈 앵커(전 보도국장) ■ 출연 : 김대영 리포터  ■ 구성 : 정유라 작가 ■ 기술 : 김영조 감독  ▶유튜브 영상 바로가기 주소 https://youtube/CKc8MCSXGss◇ 정길훈 앵커 (이하 정길훈): 목포 시내버스 노조의 파업이 11일째 이어지면서 시민의 불편이 커지고 있습니다목포시가 시내버스 회사에 해마다 수십억 원의 재정을 지원하고 있지만 노조의 파업이 되풀이되고 있는데요이 사안을 취재한 김대영 리포터 자리에 함께했습니다◇ 정길훈: 목포 시내버스가 멈춰 선 것이 지난 18일부터죠?◆ 김대영: 그렇습니다목포 시내버스 노조가 임금 인상 등을 요구하며 지난 18일 오전 5시부터 파업에 돌입했는데요오늘까지 11일째 목포와 무안권 시민의 발이 묶여 있습니다◆ 김대영: 목포 시내버스 노조는 지난달 27일과 28일 파업 찬반투표를 실시해 투표 참여 조합원 310여 명 중 92◇ 정길훈: 시내버스 노조가 파업에 들어간 이유가 뭡니까?그런데 우리가 파업한 동기를 설명하자고 하면 지금 전라남도에 지역 지부가 구성돼 있습니다만 현재 주52시간제 때문에 근무 일수를 부득이하게 12일로 낮춰달라는 요구를 현재 하고 있습니다전남에 5개 시군이 있는데 타 도시는 12일로 타결이 돼서 현재 12일 근무를 하고 있습니다◆ 김대영: 노조는 지난해 임금을 동결했지만 체불까지 발생한 상황이라며 파업의 정당성을 주장하고 있습니다◇ 정길훈: 노조의 입장은 그렇고 사측의 입장도 들어봤을 텐데요뭐라고 합니까?◆ 김대영: 사측은 코로나19에 따른 시내버스 이용객 급감과 연료비 상승 등 재정 적자가 심각하다는 이유로 노조의 요구를 받아들일 수 없다며 협상안조차 제시하지 않고 있습니다태원여객 유진운수 정복운 총무차장에게 들어보시죠◆ 김대영: 목포 시내버스는 노조의 파업과 사측의 휴업 신청 등의 문제를 시의 재정 지원금 확대로 매듭짓는 행태를 해마다 반복해왔습니다사진 출처: 연합뉴스◇ 정길훈: 목포에서 시내버스를 운행하는 업체가 태원여객, 유진운수 회사는 2개인데 사실은 한 회사라면서요?◆ 김대영: 네◇ 정길훈: 이 회장이 운영하는 시내버스 회사가 목포뿐만 아니라 인근 시군에도 또 있다면서요?◆ 김대영: 네이 회장은 목포 두 곳 외에도 인근 영암군과 무안군에 버스 회사를 운영하고 있습니다◇ 정길훈: 시내버스 회사가 경영난을 겪는다고 하니까 목포시가 해마다 재정 지원을 하는 모양인데 어느 정도 예산이 들어가고 있습니까?◆ 김대영: 목포시는 적자 노선에 따른 재정 지원과 공공 강화 서비스 등의 이유로 해마다 수십억 원의 재정 지원을 하고 있는데요-(설동진/ 목포시 교통행정과 팀장): 회사에 되는 재정 지원 부분이 있고 저상버스 운영비나 기타로 교통카드 할인 보전 이런 것을 다 합친다 하면 2018년도에는 62억, 19년에는 76억, 2020년에는 76억, 2021년에는 102억, 올해는 118억 원입니다◆ 김대영: 이렇게 시에서 보조금을 지원받으면 친인척 운영 회사의 대금은 전부 지불하면서 노동자들의 임금은 일부 지급하고 있고요◇ 정길훈: 파업이 장기화되고 있는데요목포시에서는 어떤 대책을 세우고 있습니까?◆ 김대영: 학생, 노인 등 교통약자들이 가장 많은 피해를 보고 있는데요목포시는 시내버스 2개 노선에 비상 수송 차량 20여 대를 투입했고요택시 부제 전면 해제와 공무원 카풀제 등을 시행하고 있습니다사진 출처: 연합뉴스-(박홍률/ 목포시장): 파업 당일부터 시내버스 1번과 9번 2개 노선에 관용차, 교회 버스 등 20여 대를 투입해서 오전 7시부터 낮 12시까지, 오후 4시부터 밤 9시까지 무료로 운영하고 있습니다◆ 김대영: 하지만 시민의 불편을 해소하기는 역부족입니다◇ 정길훈: 목포에서는 시내버스와 관련해서 근본적인 대책을 세우기 위해서 시내버스 공론화위원회가 구성돼 있다고 하는데요사진 출처: 목포시청◆ 김대영: 네목포시는 지난해부터 시내버스 노선 체계 전면 개편 및 준공영제 실행 방안 모색을 위한 연구 용역을 진행 중인데요내년 1월 최종 결과 발표를 앞두고 있습니다민선 7기 목포시가 결정한 시내버스 운영 방식은 오는 2025년 목포형 준공영제를 시작한다는 것인데요시내버스 운영 공론화위원회 정기영 위원장입니다-(정기영/ 시내버스 운영 공론화위원장): 위원회에서는 무엇을 만드느냐 하면 어떤 기준을 만들어냅니다◆ 김대영: 사측에서는 준공영제가 도입된다면 수익금 외 인센티브와 대표 이사 임금 보전을 요구했습니다사진 출처: 목포시민신문◆ 김대영: 그렇습니다목포 시내버스 공영제 전환과 이한철 대표의 경영권 반납을 요구했습니다지난해 시내버스 파업 사태 이후 70%가 넘는 목포 시민이 완전 공영제를 지지했다고 덧붙였습니다시민의 발을 빌미로 다시 멈춰선 목포 시내버스 앞으로 어떻게 풀어 가는지 여러분의 관심이 필요한 때입니다◇ 정길훈: 목포뿐만 아니라 목포나 여수 또 전국의 주요 중소도시들이 이런 시내버스 경영난 문제를 겪고 있는데 하루 빨리 파업도 풀리고 근본적인 대책도 세워졌으면 좋겠습니다◆ 김대영: 고맙습니다◇ 정길훈: 지금까지 김대영 리포터였습니다"
3,"박경석 장애인차별철폐연대 공동대표[연합][헤럴드경제=유동현 기자] 장애인 이동권 보장 시위의 일환으로 버스 운행을 방해한 박경석 전국장애인차별철폐연대(전장연) 상임공동대표가 1심에서 집행유예를 선고받았다서울중앙지법 형사3단독 양환승 부장판사는 18일 집회 및 시위에 관한 법률 위반과 업무방해 등 혐의로 기소된 박 대표에게 징역 4월에 집행유예 2년을 선고했다박 대표는 지난해 4월 8일 서울 종로구 마로니에공원 앞 버스정류장에서 신고 없이 전장연 회원 20여명과 집회를 연 혐의로 기소됐다박 대표는 ‘장애인 이동권 보장’, ‘중앙 정부 책임 분명하게 하라’ 등이 적힌 피켓을 목에 건 채 시내버스 앞문과 자신의 몸을 쇠사슬로 연결해 약 23분간 버스 운행을 방해한 혐의도 받았다박 대표 측은 장애인 이동권 보장과 저상버스 이용 불편을 알리기 위한 불가피한 선택이라 항변했다전장연은 장애인 이동권 및 예산 확충을 위한 지하철 시위를 이어가고 있다"
4,"박경석 전국장애인차별철폐연대(전장연) 대표가 18일 버스 운행방해 사건 1심 선고 직후 서울 서초구 서울중앙지법 앞에서 기자회견을 열고 있다연합뉴스장애인 이동권 보장을 요구하며 퇴근길 버스 운행을 방해한 혐의로 기소된 박경석 전국장애인차별철폐연대(전장연) 대표가 1심에서 징역형의 집행유예를 선고받았다박 대표는 지난해 4월 8일 서울 종로구 마로니에공원 앞 버스정류장에서 전장연 회원 20여명과 버스 운행을 20여분간 방해한 혐의를 받는다전장연은 지난해 12월부터 출근길 지하철 탑승 시위를 벌이고 있으며, 이에 대해서도 경찰 수사가 진행 중이다"
5,"기사내용 요약노조-회사, 체임 해결·내년도 임금 인상 등 두고 대립시 '목포형 준공영제' 도입 검토…내년 1월까지 용역""지자체 사례 면밀히 검토해 합리적 방안 모색해야""[목포=뉴시스] 박상수 기자 = 목포시내버스 노조의 파업 첫날인 18일 오전 전남 목포시 석현동 차고지에 시내버스들이 운행을 중단한 채 멈춰 서 있다com[목포=뉴시스] 박상수 기자 = 목포시내버스가 2년 만에 또 다시 멈춰서면서 시민들이 불편을 겪고 있다목포시내버스 태원여객·유진운수 노조는 18일 오전 5시부터 임금인상과 근무여건 개선 등을 요구하며 전면적인 운행 중단에 들어갔다이들은 ""13일이 만근임에도 10~11일만 근무하고 임금도 매달 50~60%만 받으면서 은행 대출로 버티며 살아왔다""면서 ""현재 지원되고 있는 재정지원금, 손실보존금 등 다양한 지원을 노동자의 임금을 먼저 최우선으로 보장해 달라""고 주장했다목포시는 지난해 102억원에 이어 올해에도 110억원이 넘는 재정을 시내버스 회사 측에 지원하고 있다올해의 경우 적자노선 지원과 공공강화 지원, 특별재정지원금 등 재정지원금 86억1300만원과 저상버스와 카드할인·환승보전, 100원 버스사업, 교통카드 수수료 등의 명목으로 84억9000만원 등 모두 118억1000만원을 지원한다[목포=뉴시스] 박상수 기자 = 18일 오전 전남 목포시 석현동 시내버스 차고지에서 태원여객com 1년에 100억원이 넘는 주민혈세를 지원하는데도 시내버스 운영에 대한 개선의 여지는 없다목포시내버스 노조는 2020년 2월에도 임금인상을 요구하며 파업에 들어갔다목포시는 이후 시내버스공론화 위원회를 구성해 대안 마련에 나섰고, 공론화위원회에서는 '목포형 준공영제' 도입을 권고했다목포시는 현재 '시내버스 노선 체계 전면개편 및 준공영제 실행방안' 모색을 위한 연구용역을 진행 중이며, 내년 1월 최종 결과 발표를 앞두고 있다"
6,"이는 올해 171대보다 67대 늘어난 수치로, 최근 정부가 발표한 ‘제4차 교통약자의 이동편의 증진계획’에 따른 것이다이 계획은 현재 30% 수준인 저상버스 도입률을 2026년 62%까지 획기적으로 개선한다는 정부 방침으로, 시는 교통약자의 이동편의 증진법 시행에 맞춰 저상버스 도입 폭을 크게 확대하기로 했다저상버스 238대는 정부가 국회에 제출한 2023년도 예산안에 따라 국토교통부 지역별 예산 배분에 근거한 물량이다버스를 대·폐차할 경우 저상버스 의무 도입을 명시한 ‘교통약자의 이동편의 증진법’은 1년간의 유예 기간을 거쳐 내년 1월 시행된다"
7,"부산시의회, 제309회 임시회 폐회…2022년도 행정사무감사계획서 승인부산교육청, 생태환경동아리 지도교사 대상 생태환경교육 실천단 워크숍 진행부산시는 매년 200대 이상 저상버스를 추가 확보해 2026년까지 1580대의 저상버스를 운행할 계획이라고 7일 밝혔다부산시는 교통약자는 물론 모든 시민이 일상생활 이동에 불편함이 없도록 저상버스를 지속적으로 확보해 나갈 계획이다◇ 부산시의회, 제309회 임시회 폐회…2022년도 행정사무감사계획서 승인부산시의회는 9월23일부터 10월7일까지 15일간의 일정을 모두 마치고 제309회 임시회를 폐회했다고 7일 밝혔다이후 19명의 의원들이 5분 자유발언에 나서 부산시와 부산교육청의 다양한 현안에 대해 발언하고, 정책대안을 제시했다◇ 부산교육청, 생태환경동아리 지도교사 대상 생태환경교육 실천단 워크숍 진행부산교육청이 7일부터 부산과학체험관 등에서 5차례에 걸쳐 '2022학년도 생태환경교육 실천단 워크숍'을 진행한다워크숍 대상은 생태환경동아리 지도교사 50여 명이다부산교육청은 전문가 특강과 학교 생태교육 사례 공유, 일상적인 채식 실천, 지역사회 환경정화활동 등 다양한 주제로 워크숍을 진행한다"
8,9일 시에 따르면 지난 9월 28일 정부가 발표한 ‘제4차 교통약자의 이동편의 증진계획’에 따라 시는 2023년 저상버스를 2022년 171대보다 67대 늘어난 238대를 도입하기로 했다저상버스 238대는 도입 계획은 정부가 국회에 제출한 2023년도 예산안에 따라 국토교통부 지역별 예산 배분에 근거한 물량으로 시는 지난 2004년 저상버스 첫 도입 후 2019년 100대 규모를 넘어선 지 4년 만에 두 배 이상으로 규모를 확대하게 됐다한편 버스를 대차 또는 폐차할 경우 저상버스 의무 도입을 명시한 교통약자의 이동편의 증진법은 1년간의 유예 기간을 거쳐 2023년 1월 시행된다
9,"[사회적 소수자와 돌봄] 모든 사람이 모든 아이를 돌본다면학부모들과 각종 학원 선생님들이 아이들을 맞이하고 있다ⓒ오은선    ※ 코로나19 팬데믹은 우리 사회가 돌봄에 얼마나 취약한지 여실히 드러내었고, 서로 돌보는 사회로 나아가야 한다는 사실이 분명해졌습니다앞으로 태어날 아이는 더 줄어들 전망이다출생아 수 감소가 ‘생물학적인 재난’이며 ‘사회적 재난’으로 이어진다고 호들갑을 떨면서 보육과 출생 관련한 정책을 내놓고 있지만, 얼마나 실효성이 있을지는 의문이다아이를 돌보는 데에는 금전으로 채울 수 없는 부분이 더 많이 존재하기 때문이다임산부 배지를 가방에 달고부터 임신, 출산, 육아에 대한 막대한 정보가 어깨를 짓누르기 시작했다아이를 낳고 양육하는 과정이 여성에게 생물학적으로 ‘자연스러운 일’이라는 말은 거짓이다엄마라는 이름으로 여성에게 주어진 임무의 상당 부분은 산업화 세상에서 부과된 새로운 임무였다아이를 돌보는 노동은 여러 사람이 나누어 맡는 것이 전형적이었다근대로 이행하면서 부르주아적 역할 모델로 어머니의 역할이 신격화되기 시작했다산업사회에서 노동자의 노동력이 풀가동될 수 있도록, 여성에게는 가정에서 타인을 돌보는 일이 맡겨졌다즉, 자유로운 인력 수급과 착취를 위해 모두가 함께하던 임무를 대다수의 여성이 홀로 책임져야 했다맞벌이 양육자 둘이서 해결할 수 없는 돌봄 공백 맞벌이 가정의 경우에 아이 돌봄 문제는 딜레마의 연속이다갑자기 아이가 아파 열이라도 나면 어린이집에 보낼 수도 없다ⓒ오은선     돌봄 공백을 해결하려면 양가 부모님의 도움을 받거나 등하원 도우미를 고용하지 않고는 도저히 양육자 둘이서 문제를 풀어낼 수가 없다아이가 초등학생이 되면 돌봄 문제는 더 심각해진다그래서 아이가 초등 1학년일 때 양육자는 퇴사를 진지하게 고려하게 된다) 유아차를 끌고 아이와 함께 외출하기 아이가 보육기관이나 교육기관에 가지 않을 때는 어떻게 시간을 보낼까집 근처 통원할 수 있는 거리에 아이를 맡길만한 적당한 어린이집이 없는 경우라면?(다수의 육아서에서는 아이와 엄마와의 안정 애착을 위해 생후 6개월은 엄마가 돌보는 것이 좋고, 적어도 생후 18개월까지는 가정에서 엄마가 돌보기를 권한다가정 내에서 돌봄은 언제나 한계가 존재한다집에서의 놀이가 지겨워져 몸이 근질근질해지기 전에 아이를 데리고 밖으로 나가야 한다이에 대한 대비책으로 빨간 날이면 무조건 아이를 데리고 나간다아이를 데리고 갈 곳을 정하는 것도 고심해서 선정한다선택지가 다양해 보여도 아이를 환영하지 않는 곳, 평일에 자주 가서 아이가 식상해할 곳을 제외하고 거리와 운영 시간을 고려하다 보면 갈 곳이 그리 많지 않다아이가 없을 때는 지갑과 핸드폰만 챙기면 끝이었지만, 아이와 함께하는 외출은 만반의 준비가 필요하다트렁크에 아이를 위한 온갖 상비 용품들이 가득한 모습은 익숙한 풍경이다휴대용 유아차는 아이가 타지 않아도 이미 묵직하다100kg이 넘는 전동휠체어의 경우에 턱이 있는 길은 불편함 정도가 아니라 가지 못할 길이 된다승강기가 설치되어 있지 않은 지하철역은 계단 이동을 위해 지하철 승무원의 도움을 받게 되어 있다그러나 아직 승무원의 도움을 받아본 적이 없다성인 두 명 이상이 있을 때는 승객이 알아서 해결하는 것이 원칙이고, 아이와 단둘이 외출했을 때에는 지나가던 승객이 나서서 이동을 도와주었다덕분에 한 팔에 아이를 안거나 업고, 다른 팔로는 유모차를 밀며 꿋꿋이 탑승한다아이와 양육자는 왜 혐오의 대상이 되었나?그런데, 커피를 마시며 유아차를 끌고 가는 내 모습은 어떻게 보일까?전업주부는 경제력이 없다는 생각 때문에 육아와 아이 돌봄 노동의 가치가 폄하되어 온 것이 현실이다2008년 기준) 그림자 노동을 지속하며 육아와 아이 돌봄을 전담하지만, 통장에 쌓이는 노동이 아니라는 이유로 경제적 가치가 없다고 인식한다이런 시각은 양육 노동을 더 힘들게 만든다대체 우리 사회에서 아이는 어쩌다 불편한 존재가 되었을까?같은 상황에서도 아이를 바라보는 시각은 양극단의 긍정과 부정의 시각으로 나뉜다중요한 점은 아이의 모든 특성은 발달 단계에 따라 자연스러운 과정을 통해 성장하고 있다는 것이다그럼에도 어른처럼 얌전히 있지 못한다고, 음식을 흘리고 먹는다고, 아이를 죄인으로 만들고는 한다아이는 죄가 없다아이를 사회와 분리하고, 위험하고 불손한 존재로 보는 시각이 나쁜 것이다오늘도 꾸역꾸역 아이를 데리고 밖으로 나와 에너지를 쏟는 활동을 한다아이에게 적대적인 사회는 양육자에게도 적대적이다오늘날 ‘평범한’ 생활 세계는 아이에게 (어른들의 고상한 취향을 따르기에) 그다지 적합하지 않다세상은 아이를 거슬리는 존재로 만들어서 사회와 자꾸 분리하려 든다‘노키즈존’이라며 아이를 배제하고자 하더니, 이제는 ‘노배드패런츠존’(No bad parents zone, 나쁜 부모 출입 금지) 혹은 ‘케어키즈존’(Care Kids Zone, 문제가 생기면 보호자 책임이라고 경고)이라는 다른 이름으로 어린이와 양육자를 함께 내몰고 있다아이를 신경 쓰지 않고 내버려 두려는 양육자는 없다우리는 방정환 선생이 어린이날을 제정한 지 100년이나 지났지만, 어린이들을 향한 차별과 혐오는 그대로라는 것승강기가 없는 지하철을 이동하는 양육자 ⓒ오은선     유엔아동권리협약에는 반드시 기억해야 할 4가지 일반 원칙이 있다아동은 생명에 대한 고유한 권리가 있으며, 국가는 아동의 생존과 발달을 보장해야 한다), 의견 존중과 참여의 원칙(제12조아동은 자신들과 관련된 문제 상황에 대해 의견을 표현할 권리가 있으며, 아동의 의견은 존중되고 진지하게 받아들여져야 한다다시 강조하면 우리 모두가 책임져야 한다서로 돌보지 않고는 살아갈 수가 없다 모든 사람이 내 아이를 돌보듯이 모든 아이를 함께 돌본다면, 육아와 아이 돌봄의 무게가 한결 가벼워질 것이다육아와 아이 돌봄은 여러 사람이 나누어 맡는 것이 전형적이었다는 사실을 기억할 필요가 있다돌봄을 함께 하려는 노력이 더해진다면, 육아와 아이 돌봄으로 다른 삶을 상상하기도 어려웠던 많은 여성들에게도 기회의 문이 열릴 것이다출산과 모유 수유만 빼면, 육아와 아이 돌봄은 누구나 할 수 있고 또 함께해야 하는 일이다돌봄이 생존과 긴밀히 연결된 활동이라는 점이 명확해졌지만 도움을 요청하는 것도, 손을 내밀기도 어려운 시대가 되어버렸다우리는 누구나 아이였고, 아플 수도 있고, 나이가 든다생애 어느 주기에서든 돌봄이 필요한 순간은 언제나 찾아온다한집에 사는 5세 어린이와 초등 1학년, 4학년 조카까지 어린이 셋의 돌봄을 담당하고 있다"
