,BUSLINENUM,ORD,NAME,SIGUNNAME,GUNAME,DONGNAME,X,Y,UNIQUEID,BUSSTOPID
10882,33,1,연제공용버스차고지,부산광역시,연제구,,129.0531722,35.1852428,13179,50000001059
10883,33,2,시민도서관,부산광역시,부산진구,초읍동,129.0506159,35.18312604,5061,21050551017
10884,33,3,초읍초등학교,부산광역시,부산진구,초읍동,129.0506445,35.18054726,5041,21050551012
10885,33,4,부산진고교,부산광역시,부산진구,초읍동,129.0537369,35.17754553,5039,21050551002
10886,33,5,연지한신타워,부산광역시,부산진구,연지동,129.0545223,35.17579031,5299,21050541003
10887,33,6,성의신용협동조합,부산광역시,부산진구,연지동,129.0547495,35.17325225,5037,21050541002
10888,33,7,국립부산국악원,부산광역시,부산진구,연지동,129.0548957,35.17164726,5035,21050541005
10889,33,8,부산시민공원,부산광역시,부산진구,연지동,129.0561944,35.17062662,5342,21050541012
10890,33,9,화인아파트,부산광역시,부산진구,연지동,129.059415,35.17162543,5033,21050541004
10891,33,10,정묘사,부산광역시,부산진구,양정1동,129.0617097,35.17420818,5031,21050561005
10892,33,11,양정현대아파트,부산광역시,부산진구,양정1동,129.0652702,35.17457166,5029,21050561003
10893,33,12,하마정,부산광역시,부산진구,양정1동,129.0672891,35.17447258,5027,21050561001
10894,33,13,양정대원칸타빌,부산광역시,부산진구,양정1동,129.0671752,35.17144606,5026,21050561009
10895,33,14,송상현광장,부산광역시,부산진구,,129.065461,35.16639336,5705,50000002618
10896,33,15,부전역,부산광역시,부산진구,,129.063209,35.16304339,5707,50000002620
10897,33,16,부전시장,부산광역시,부산진구,,129.0610847,35.16040312,5709,50000002621
10898,33,17,롯데호텔백화점.서면역,부산광역시,부산진구,부전1동,129.0557853,35.15784336,5190,21050511015
10899,33,18,부암역,부산광역시,부산진구,범천4동,129.0481977,35.15712499,5194,21050791010
10900,33,19,가야시장.가야역,부산광역시,부산진구,가야1동,129.0435319,35.15623737,5268,21050711004
10901,33,20,가야1치안센터,부산광역시,부산진구,가야1동,129.0366574,35.15500218,5069,21050711002
10902,33,21,가야전신전화국,부산광역시,부산진구,가야2동,129.0287717,35.15365993,5079,21050721012
10903,33,22,개금삼거리,부산광역시,부산진구,개금1동,129.0249506,35.15345414,5145,21050741013
10904,33,23,개금역,부산광역시,부산진구,개금1동,129.0191978,35.15325409,5345,21050741018
10905,33,24,냉정고개,부산광역시,사상구,주례2동,129.0154231,35.1517934,5110,21150611005
