,BUSLINENUM,ORD,NAME,SIGUNNAME,GUNAME,DONGNAME,X,Y,UNIQUEID,BUSSTOPID,vec_E,vec_N
0,33,1,연제공용버스차고지,부산광역시,,,129.0531722,35.1852428,13179.0,50000001059,1141609.5438910348,1688570.4259736335
1,33,2,시민도서관,부산광역시,부산진구,초읍동,129.0506159,35.18312604,5061.0,21050551017,1141380.4391872627,1688332.0108097268
2,33,3,초읍초등학교,부산광역시,부산진구,초읍동,129.0506445,35.18054726,5041.0,21050551012,1141387.5085084073,1688046.0288732178
3,33,4,부산진고교,부산광역시,부산진구,초읍동,129.0537369,35.17754553,5039.0,21050551002,1141674.317809386,1687717.4954642095
4,33,5,연지한신타워,부산광역시,부산진구,연지동,129.0545223,35.17579031,5299.0,21050541003,1141748.8872983288,1687523.9360893723
5,33,6,성의신용협동조합,부산광역시,부산진구,연지동,129.0547495,35.17325225,5037.0,21050541002,1141773.9832730084,1687242.7538221413
6,33,7,국립부산국악원,부산광역시,부산진구,연지동,129.0548957,35.17164726,5035.0,21050541005,1141790.083737441,1687064.9465949896
7,33,8,부산시민공원,부산광역시,부산진구,연지동,129.0561944,35.17062662,5342.0,21050541012,1141910.132728733,1686953.5952369813
8,33,9,화인아파트,부산광역시,부산진구,연지동,129.059415,35.17162543,5033.0,21050541004,1142201.7061530917,1687068.9758069604
9,33,10,정묘사,부산광역시,부산진구,양정1동,129.0617097,35.17420818,5031.0,21050561005,1142406.1878329723,1687358.7212652303
10,33,11,양정현대아파트,부산광역시,부산진구,양정1동,129.0652702,35.17457166,5029.0,21050561003,1142729.806826677,1687404.139090947
11,33,12,하마정,부산광역시,부산진구,양정1동,129.0672891,35.17447258,5027.0,21050561001,1142913.8403462488,1687396.0483160862
12,33,13,양정대원칸타빌,부산광역시,부산진구,양정1동,129.0671752,35.17144606,5026.0,21050561009,1142908.7624529917,1687060.2010640558
13,33,14,송상현광장,부산광역시,,,129.065461,35.16639336,5705.0,50000002618,1142761.4743865228,1686497.3250023304
14,33,15,부전역,부산광역시,,,129.063209,35.16304339,5707.0,50000002620,1142562.2102267174,1686122.5380180934
15,33,16,부전시장,부산광역시,,,129.0610847,35.16040312,5709.0,50000002621,1142373.3240925963,1685826.6543113126
16,33,17,롯데호텔백화점.서면역,부산광역시,부산진구,부전1동,129.0557853,35.15784336,5190.0,21050511015,1141895.071603097,1685535.1730009222
17,33,18,부암역,부산광역시,부산진구,범천4동,129.0481977,35.15712499,5194.0,21050791010,1141205.1739185033,1685444.7039792356
18,33,19,가야시장.가야역,부산광역시,부산진구,가야1동,129.0435319,35.15623737,5268.0,21050711004,1140781.701384949,1685339.6449756974
19,33,20,가야1치안센터,부산광역시,부산진구,가야1동,129.0366574,35.15500218,5069.0,21050711002,1140157.6242672296,1685192.9433530986
20,33,21,가야전신전화국,부산광역시,부산진구,가야2동,129.0287717,35.15365993,5079.0,21050721012,1139441.59906738,1685032.9938555486
21,33,22,개금삼거리,부산광역시,부산진구,개금1동,129.0249506,35.15345414,5145.0,21050741013,1139093.8766965836,1685004.8224477018
22,33,23,개금역,부산광역시,부산진구,개금1동,129.0191978,35.15325409,5345.0,21050741018,1138570.1794797915,1684974.6100457308
23,33,24,냉정고개,부산광역시,사상구,주례2동,129.0154231,35.1517934,5110.0,21150611005,1138228.8022983319,1684807.352188386
24,33,25,경남정보대.냉정역,부산광역시,사상구,주례2동,129.0123508,35.1515209,15112.0,21150611011,1137949.393625677,1684772.86621281
25,33,26,럭키아파트.주례역,부산광역시,사상구,주례1동,129.0045604,35.15086553,15117.0,21150601014,1137240.8323286248,1684689.4084710493
26,33,27,주례1동주민센터,부산광역시,사상구,주례1동,128.9974513,35.15167523,15121.0,21150601005,1136591.8761514246,1684769.4357195757
27,33,28,온골마을입구,부산광역시,,,128.9955946,35.15263019,15283.0,50000001912,1136421.1482972438,1684872.8063774703
28,33,29,북부산세무서.감전역,부산광역시,사상구,감전2동,128.9919245,35.15519429,15098.0,21150591015,1136082.5596552768,1685152.1729279053
29,33,30,삼대한의원,부산광역시,사상구,감전2동,128.9879913,35.15897817,15081.0,21150591012,1135718.0014228462,1685566.4815470227
30,33,31,사상우체국,부산광역시,사상구,괘법동,128.9864878,35.16055082,15254.0,21150571036,1135578.4451266362,1685738.8586567587
31,33,32,서부시외버스터미널.사상역,부산광역시,사상구,괘법동,128.9843789,35.16307313,15074.0,21150571023,1135382.1795965813,1686015.7431128426
32,33,33,사상초등학교,부산광역시,사상구,괘법동,128.9825289,35.16685539,15065.0,21150571011,1135207.4209876875,1686432.7275039186
33,33,34,덕포시장,부산광역시,사상구,덕포1동,128.9830798,35.17103491,15054.0,21150551002,1135250.676096992,1686897.0373391684
34,33,35,덕포역.덕포2동행정복지센터,부산광역시,사상구,덕포2동,128.9843933,35.17476464,15046.0,21150561005,1135364.118878337,1687312.497831403
35,33,36,북부면허시험장,부산광역시,사상구,덕포2동,128.9849739,35.17723292,15040.0,21150561004,1135412.9008643846,1687587.0515431846
36,33,37,청소년지원센터.모덕역,부산광역시,사상구,덕포2동,128.9857998,35.18060909,15034.0,21150561003,1135482.510880512,1687962.6363913815
37,33,38,부산은행모라동지점,부산광역시,사상구,모라1동,128.9867933,35.18465515,15028.0,21150521004,1135566.2633045902,1688412.7499989734
38,33,39,모라사거리,부산광역시,사상구,모라1동,128.9876526,35.18726231,15013.0,21150521003,1135640.177393604,1688703.089271558
39,33,40,모라역,부산광역시,사상구,모라1동,128.9891195,35.19033155,15007.0,21150521005,1135768.6404822334,1689045.5094616392
40,33,41,북부자동차학원,부산광역시,사상구,모라1동,128.990412,35.19413591,8081.0,21150521002,1135879.9907433246,1689469.2280240622
41,33,42,북구청,부산광역시,북구,구포2동,128.9909533,35.19717513,8080.0,21080521001,1135924.2127768437,1689807.0572265994
42,33,43,구포삼거리,부산광역시,북구,구포2동,128.9927613,35.20164361,8073.0,21080521015,1136081.3673826528,1690305.143880548
43,33,44,구포역,부산광역시,북구,구포2동,128.9958289,35.20520878,8072.0,21080521003,1136354.6782715244,1690704.7720629575
44,33,45,동원로얄듀크비스타,부산광역시,,,128.9986413,35.20817094,8202.0,50000000659,1136605.7431383205,1691037.1767752673
45,33,46,구포시장,부산광역시,북구,구포1동,129.0032192,35.20952561,8013.0,21080511006,1137020.1986769023,1691193.7291336933
46,33,47,덕천역,부산광역시,북구,덕천2동,129.007139,35.21040944,8122.0,21080571003,1137375.5279330332,1691297.168571739
47,33,48,숙등역,부산광역시,북구,덕천1동,129.0132188,35.21193875,8124.0,21080561003,1137926.377979994,1691475.2102225786
48,33,49,구포전화국,부산광역시,북구,덕천1동,129.018153,35.21302104,8128.0,21080561004,1138373.687406479,1691602.1097816648
49,33,50,남산정역,부산광역시,북구,덕천1동,129.0228631,35.21315496,8130.0,21080561005,1138802.2004754143,1691623.5313746354
50,33,51,이노비즈센터,부산광역시,북구,만덕3동,129.0260959,35.21203715,8133.0,21080611005,1139098.3748695923,1691504.0703355619
