,연번,"노선
번호",업체,기점,경유지,종점,"상용대수
(운행대수)",Unnamed: 7,Unnamed: 8,예비대수,"운행거리
(km)",소요시간,Unnamed: 12,배차간격,Unnamed: 14,Unnamed: 15,Unnamed: 16,운행횟수,Unnamed: 18,Unnamed: 19,Unnamed: 20,"첫차
막차"
0,,,,,,,평일,토요일,공휴일,,,"운행시간
(분)","휴식시간
(분)","평일
첨두","평일
비첨두","토요일
첨두","공휴일
첨두","평일
1대당횟수","평일
1일총횟수","토요일
1일총횟수","공휴일
1일총횟수",
1,1,2,동원,다대포,하단,부산역,18,18,17,1.0,39.8,154,20,7,11,10,11,5.7,102,102,100,"05:00
22:15"
2,2,3,동진,다대포,하단,"신호주거
단지",15,12,12,1.0,49.3,160,20,11,14,16,16,4.9,73,65,65,"05:00
21:50"
3,3,5-1,삼성,회동동,서면,국제여객터미널,16,13,13,1.0,56.1,222,35,13,16,17,16,4.1,66,57,61,"04:50
22:20"
4,4,6,남부,청학동,남포동,괴정,20,17,15,1.0,38.3,138,20,5,8,9,11,6.2,123,106,93," 04:50
22:45 "
5,5,7,남부,청학동,남포동,수산가공선진화단지,8,7,6,1.0,30.7,104,15,12,15,17,18,7.9,63,58,51,"05:00
22:37"
6,6,8,신한,태종대,영도대교,"서부
터미널",21,17,16,1.0,38.0,135,30,6,6.565217391304348,9,10,6.3,133,113,108,"04:48
22:13"
7,7,9,남부,청학동,남포동,수산가공선진화단지,7,7,7,1.0,34.6,115,15,13,18,20,20,6.9,55,55,55,"04:50
22:35"
8,8,10,국제,"연제공용
차고지","사직운동장
(서면)",감만현대아파트사거리,19,17,15,1.0,49.2,176,20,9,12,12,13,4.9,93,85,79,"04:30 
22:15"
9,9,11,동진,다대포,하단,영선동,18,18,14,1.0,42.6,158,20,7,11,11,13,5.1,92,92,78,"05:00
22:00"
10,10,15,삼진,금곡주공,서부터미널,충무동,36,31,29,2.0,53.0,165,20,4,6,7,8,4.8,174,150,140,"05:00
22:05"
11,11,16,용화,엄궁,감천,"구덕
운동장",28,24,21,2.0,36.5,130,20,5,6,7,8,6.4,178,156,138,04:45  22:30
12,12,17,영신,신평,부산역,"국제백양
아파트",26,23,21,1.0,45.2,156,20,7,8,9,9,5.538461538461538,144,131,124,"04:25 
22:30"
13,13,20,시민,용호동,연산동,서면,21,19,16,1.0,34.0,125,15,6,8,8,9,6.8,144,129,112,05:00        22:25
14,14,22,시민,용호동,초량,수정동,12,11,10,1.0,38.4,130,15,11,13,14,15,6.833333333333333,82,75,69,"05:00
22:35"
15,15,23,신성,감만동,서면,동의대역,25,22,20,1.0,27.7,108,15,5,6,6,7,8.2,205,179,164,"04:30 
22:45"
