,기사요약
0,"이 날 문을 연 교통약자 이동지원센터는 교통약자의 이동권 보장을 위해 휠체어 탑승 시설이 장착된 특수차량을 운행, 대중교통 이용이 어려운 장애인과 노약자 등이 편리하고 안전하게 이용할 수 있는 특별교통수단 서비스를 제공한다운행지역은 양평군 관내 운행을 원칙으로 하되, 병원진료에 한해 인접지역인 서울시, 경기도 구리시, 가평군, 남양주시, 하남시, 광주시, 이천시, 여주시, 강원도 홍천군, 횡성군, 원주시 지역까지 이용이 가능하다이용요금은 양평군 관내 5km이내는 1000원이며, 5km마다 500원씩 요금이 추가 돼 최대 3000원이다양평군 관외는 편도일 경우 기본료 1만원에 Km당 400원이며 왕복일 경우 5시간이내는 기본료 1만원에 km당 300원으로, 반일 및 하루예약도 가능하다"
1,"장애인의 이동편의를 위해 지방자치단체에서 의무적으로 확보해야 하는 특별교통수단(장애인 콜택시)의 시·군별 보유비율이 큰 편차를 보이는 것으로 나타났다지난해 말 기준 전국 76개 시(기초)의 특별교통수단 평균 도입율은 77특히 경기도 남양주시, 광주시, 안성시 등은 법정도입대수가 각각 27대, 14대, 11대인데도 불구하고 특별교통수단의 운행이 전무했다지난해 말 기준으로 전국 특별교통수단의 운행대수는 2026대로 법정기준대수인 2,48대의 73시도별로는 경상남도가 법정도입대수 198대의 156도입율이 가장 낮은 지역은 강원도로 법정도입대수 110대의 15인 의원은 ""지역에 따라 저상버스 도입 확대, 시설 개보수 등 장애인 이동권 보장을 위한 많은 노력과 발전이 있었지만 전체적으로 볼 때 아직까지 장애인들이 안심하고 이동할 수 있는 충분한 환경여건을 갖추지 못한 것이 현실""이라고 지적했다이어 그는 ""특별교통수단 운영은 지자체의 재정자립도 등에 큰 영향을 받게 되어 있으나 더 중요한 것은 자치단체장의 의지""라면서 ""장애인들의 이동권 보장을 위해 중앙정부와 지방정부가 보다 확연한 의지를 갖고 노력해야 할 것""라고 지적했다"
2,"[모두를 위한 관광, 나를 위한 것-국내편]②대중교통과 정보제공 수준은[제주CBS 이인 기자]휠체어 장애인이 백사장을 거닐고 해수욕까지 즐기는 관광지가 있다CBS 노컷뉴스는 '모두를 위한 관광, 나를 위한 것'이라는 주제로 유럽과 호주, 일본의 장애인 관광실태를 지난 7월 보도한데 이어 우리나라의 현주소를 집중 취재해 23일부터 3차례로 나눠 보도하고 있다24일은 두번째로 장애인 관광에 필요한 대중교통과 정보제공의 수준을 취재했다우리나라는 공영관광지 위주로 접근성 개선이 많이 이뤄지고 있다실제로 공영관광지인 경복궁(서울시 종로구)은 장애인과 노인들의 접근성이 수월한 편이다국립고궁박물관 지하 전시실에서 '바티칸 문화체험-천상의 아름다움, 천국의 문'을 관람한 이명숙(가명·70·강남) 할머니도 만족감을 드러냈다천국의 문은 이탈리아 피렌체 두오모 대성당박물관에서 온 르네상스 시대 대표적인 작품으로 그림과 성물, 조각 등 90여 점과 함께 전시됐다법적 뒷받침이 필요한 이유다세계는 노인과 장애인들을 위해 물리적, 심리적 장벽을 없애는 '배리어 프리(barrier free)'와 장애 유무에 관계없이 모두가 이용 가능한 환경을 만드는 '유니버설 디자인(universal design)' 정책을 적극 도입하고 있다우리나라도 배리어 프리와 유니버설 디자인 정책을 실현하기 위한 법률은 잘 만들어져 있다강병근 건국대학교 교수(장애물없는 생활환경 만들기 연구소장)강병근 건국대 교수는 ""서울특별시와 대전광역시가 무장애 도시 건설을 위해 애쓰고 있지만 서울의 경우 개선해야 할 건물과 시설이 많아 체감도는 낮다""며 ""기초자치단체로는 경남 진주시와 남해시가 무장애 환경을 만들기 위한 조례를 갖고 있거나 무장애 도시를 만들겠다고 선언한 곳""이라고 전했다관광약자 안내센터는 휠체어로 출입이 가능한 관광지와 숙소 등의 정보를 제공하고 관광약자를 위한 여행코스 개발, 접근가능한 관광환경 실태조사 등을 하고 있다일본 오키나와는 모든 관광객이 찾는 공항에 ‘배리어 프리  투어 센터’를 두고 있고 현청 홈페이지에도 장애인과 노인들의 여행정보가 상세히 나와 있다강병근 교수는 ""정보제공 단계가 관광활성화의 출발이라는 점에서 거동이 불편해도 갈 수 있는 무장애 환경의 관광지는 어디인지, 이용할 수 있는 화장실은 있는지 등에 대한 정보를 반드시 제공해야 한다""며 ""관광약자 안내센터와 스마트폰 애플리케이션 등의 정보제공 수단이 있는데도 이용자가 별로 없다면 정부나 자치단체가 홍보부터 제대로 해야 한다""고 목소리를 높였다노영순 한국문화관광연구원 박사도 ""문화재 보호와 장애인 편의시설간의 충돌지점이 있기 때문에 완벽한 형태의 배리어 프리를 갖추는건 불가능하다""며 ""결국 정보제공이 이뤄지면 장애인 스스로 여행을 할 수 있는 곳과 그렇지 못한 곳을 판단하게 된다""는 말로 정보제공의 중요성을 설명했다접근성 시설이 비교적 잘 갖춰진 서울의 한 지하철역그러나 우리나라는 휠체어 장애인이 대중교통을 타고 여행하는데 분명한 한계가 있다강병근 교수는 ""제주를 예로 들면 휠체어 장애인이 여행할 때 노선버스를 이용한다는 건 사실상 불가능하다""며 ""공항을 벗어나면 무방비 상태가 되는 이유다""고 꼬집었다그러나 보행장애를 겪는 노인이나 임산부 등을 포함하면 이동권 제약을 받는 인구는 크게 늘어난다이 때문에 우리나라에서 접근성 애로를 겪고 있는 인구를 1,000만명 수준으로 보고 있다""고 말했다배리어 프리와 유니버설 디자인이 우리나라에서도 활성화돼야 할 이유다"
3,"부산·전남에 이어 3번째…장애인 운전면허 취득 '원스톱 서비스'    (용인=연합뉴스) 강창구 기자 = 중증 장애인의 운전면허 취득을 원스톱으로 지원하는 '중증 장애인 운전지원 센터'가 30일 용인시 기흥구 신갈동 용인운전면허시험장 안에 문을 열었다부산, 전남에 이어 전국에서 3번째로 문을 연 센터는 재활전문가, 교육강사, 특수제작 장애인 전용차량을 갖추고 중증 장애인을 대상으로 상담과 운동능력 측정과정을 거쳐 교육에서 면허취득에 이르기까지 모든 서비스를 무상으로 제공한다이용대상은 특수제작 장애인 전용차량이 필요한 수도권 거주 1~3급 장애인으로 학과 2시간, 기능 4시간, 도로주행 12시간을 교육하고 면허시험을 볼 수 있도록 지원한다센터 이용을 원하는 장애인은 전화 상담 후 신분증, 장애인 복지카드를 지참하고 용인운전면허시험장내 센터를 방문하면 된다"
4,"에이블복지재단 백종환 상임이사(앞줄 왼쪽),기아자동차 최창묵 CSR경영팀 부장(앞줄 가운데), 경기 조직위원회 최승권 지원본부장 등 대회 관계자들이 10일 '2014인천장애인아시아경기대회'에서 사용될 장애인 특화 카니발 전달식에 참석해 기념 촬영하고 있다기아자동차가 '2014 인천장애인아시아경기대회'의 성공적인 개최를 기원하며 장애인 특화차량 '올 뉴 카니발 이지무브'를 지원한다기아차는 10일 인천 구월 아시아드 선수촌 승하차장에서 경기 조직위원회 최승권 지원본부장, 기아자동차 최창묵 CSR경영팀 부장, 에이블복지재단 백종환 상임이사 등 대회 관계자들이 참석한 가운데 '2014인천장애인아시아경기대회'에서 사용될 장애인 편의차량 전달식을 가졌다한편, 2014년 10월 18일(토) 개막해 10월 24일(금)까지 총 7일 동안 치러질 '2014인천장애인아시아경기대회'는 아시아 42개국, 6,000여 명의 선수 및 관계자들이 참가해 이에 따른 '올 뉴 카니발 이지무브'의 홍보 효과도 상당할 것으로 보인다"
5,"【 수원=장충식 기자】 경기도는 교통약자를 위한 저상버스 도입 활성화를 위해 2014년 저상버스 운영지원금을 1대당 250만원씩 지원한다6일 경기도에 따르면 도는 교통약자를 위한 버스 고급화 지원사업의 일환으로 24개 시·군에서 도입 추진 중인 저상버스 1275대 중 정상운행 중인 저상버스에 대해 대당 250만원, 총 32억원을 지원한다그동안 운수업체에서는 일반버스에 비해 연료비 및 정비비 등 유지관리 비용이 과다 소요되고, 도내 CNG 충전소 부족, 도로여건 등 기반 시설 미흡을 이유로 저상버스 도입에 소극적이었다도는 저상버스 도입의 주요 기피요인으로 작용하고 있는 저상버스 운영비의 일부를 지원함으로써 운수업체의 저상버스 도입을 독려하는 한편, 중장기적으로 CNG 충전소 확대, 도로여건 개선을 통해 저상 버스 도입 확대를 지속 추진할 것이라고 밝혔다경기도는 2004부터 교통약자의 이동권 확보를 위해 매년 저상버스를 꾸준히 추가 도입해 왔고, 민선6기 공약사업으로 2015년부터 2018년까지 매년 100대 이상의 저상버스 도입을 목표로 지속 추진할 계획이다"
6,"기아자동차가 보다 많은 교통약자들이 이동 및 문화체험을 통해 물리적·심리적 거리감을 극복할 수 있도록 ‘초록여행 광주·전남 권역 확대 선포식’을 가졌다그동안 초록여행은 수도권과 부산·경남을 중심으로 운영돼 왔으나, 이번 선포식을 통해 광주·전남 지역으로 사업권역이 확대 운영됨에 따라 보다 많은 교통약자들이 이동 및 문화체험을 경험할 수 있게 됐다이를 위해 기아차는 장애인이 운전 및 탑승할 수 있도록 특수 제작된 ‘카니발’을 교통약자에게 제공하고, 직접 운전이 어려운 경우에는 전문운전기사를 지원하고 있다윤장현 광주 시장은 “이번 선포식을 통해 광주·전남 지역의 장애인 모두 초록여행을 통해 자유로운 여행을 즐길 수 있는 날이 왔으면 좋겠다”며, “초록여행 사업이 지속적으로 확대될 수 있기를 기원한다”고 전했다"
7,"""서울,부산 이어 광주전남권역 확대  … 연간 1,100여명 장애인 여행 지원""""장애인 편의 장치 설치된 올 뉴 카니발 차량 지원 및 전문 운전 기사 제공""“장애인의 자유로운 여행 돕는 초록여행 사업이 확대되길 기원할 것”""2012년 출범 이후 3년간 8,800여명 장애인 가족여행 지원""[아시아경제 노해섭 기자]기아자동차㈜는 2일 윤장현 광주시 시장, 박주선 새정치민주연합 국회의원, 기아자동차 김종웅 부사장, 백종환 에이블복지재단 상임이사 등 관계자 150여명이 참석한 가운데 광주시청 광장에서 ‘초록여행 광주·전남 권역 확대 선포식’을 가졌다이번 선포식은 그 동안 수도권과 부산·경남을 중심으로 운영되던 ‘초록여행’ 사업권역을 광주·전남 지역으로 확대 운영함으로써 보다 많은 교통약자들이 이동 및 문화체험을 통해 물리적, 심리적 거리감을 극복할 수 있도록 하기 위해 이뤄졌다이번 선포식은 그 동안 수도권과 부산경남을 중심으로 운영되던 ‘초록여행’ 사업권역을 광주·전남 지역으로 확대 운영해 보다 많은 교통약자들이 이동과 문화체험을 통해 물리적, 심리적 거리감을 극복할 수 있도록 하기 위해 마련됐다이번 선포식은 그 동안 수도권과 부산경남을 중심으로 운영되던 ‘초록여행’ 사업권역을 광주·전남 지역으로 확대 운영해 보다 많은 교통약자들이 이동과 문화체험을 통해 물리적, 심리적 거리감을 극복할 수 있도록 하기 위해 마련됐다뿐만 아니라, 가족 여행을 위해 별도의 여행 경비를 지급하는 한편, 기아차 임직원들이 직접 다양한 역할의 자원 봉사자로 참여하고 있다기아차는 초록여행 사업의 광주·전남 권역 확대를 위해 이 날 에이블복지재단에 올 뉴 카니발 차량 2대를 전달했으며, 에이블복지재단은 이 차량을 이용해 올해 말까지 약 300명, 내년부터 연간 1,100여명의 광주·전남지역 장애인들에게 여행 기회를 제공하게 된다윤장현 광주 시장은 “이번 선포식을 통해 광주·전남 지역의 장애인 모두 초록여행을 통해 자유로운 여행을 즐길 수 있는 날이 왔으면 좋겠다”며 “초록여행 사업이 지속적으로 확대될 수 있기를 기원한다”고 전했다"
8,"장애학생이 경북 경산시 진량읍 대구대 '장애인 운전재활센터'에서 운전연습을 하고 있다【 대구=김장욱기자】대구대는 최근 한국대학평가원이 발표한 대학기관평가인증에서 '교육시설-장애학생 지원시설' 영역 우수사례로 선정됐다고 23일 밝혔다지난 1995년 전국 최초로 특수교육대상자 특별전형을 실시한 대구대는 현재 191명의 장애학생이 재학 중이다특히 오는 2016년을 목표로 캠퍼스 교내 전체 시설에 대한 '배리어 프리(Barrier Free) 인증'까지 추진 중이다홍덕률 대구대 총장은 ""대구대는 '사랑·빛·자유'의 건학이념을 바탕으로 우리나라 장애인 교육을 선도해왔다""며 ""이번 우수사례 선정을 계기로 '장애학생이 먼저 행복한 대학' 실현을 위한 노력을 지속해 나가겠다""고 강조했다"
9,"기아차는 네이버 기부포털 해피빈과 23일 기아차 본사(서울시 서초구 소재)에서 기아차 김견 전무와 네이버 해피빈 권혁일 대표 등 관계자들이 참석한 가운데 나눔문화 확산을 위한 '카네이션(Car-Donation)' 캠페인 관련 업무 협약(MOU)을 맺었다이번 협약식은 더불어 살아가는 세상을 만들기 위한 사회적 분위기를 조성하고 따뜻한 기부문화를 확산하기 위한 것으로, 기아차는 네티즌과 함께 기부포인트를 모금해 장애인 등 교통약자를 포함한 사회곳곳의 소외이웃을 지원할 예정이다기아차의 온라인 나눔확산 캠페인인 '카네이션'은 기부문화 확산을 응원하는 기아차를 상징하는 'Car'와, 온라인 기부문화를 상징하는 'Donation'의 합성어로, 기아차는 캠페인 전용 온라인 기부 사이트 'K-Bean(http://event이외에도 기아차는 K-Bean 캠페인 사이트 내에 남겨진 네티즌 응원댓글 1건당 1천원을 적립, 최대 1,500만원을 기부포인트 모금액과 함께 기부할 예정이다기아차는 오는 12월까지 K-Bean 캠페인 사이트에서 1차 모금을 진행하고 장애인의 이동편의를 위한 차량 특수설비 개조 서비스를 지원할 계획이다이번 1차 모금액으로 지원할 장애인 차량 편의장치 개조 서비스는 크게 4가지 분야로 △휠체어 승차 보조 △휠체어 적재 △자동 탑승 △자유 분야(핸드 컨트롤러, 족동 장치, 특수 안전벨트 등)가 있으며 후원을 받기 원하는 고객은 K-Bean 캠페인 사이트를 통해 직접 신청할 수 있다(단, 특수설비 시장가 500만원 내외) 아울러 기아차는 K-Bean 캠페인 사이트에서 포인트를 기부한 네티즌 중 1명을 추첨, 캠페인 홍보대사 자격과 함께 '2015 쏘울'을 증정할 계획이다com 김성환 기자  ☞ 공식 SNS계정 [페이스북] [트위터] | ☞ 파이낸셜뉴스 [PC웹] [모바일웹] | ☞ 패밀리사이트 [부산파이낸셜뉴스] [fn아이포커스] [fn아트]※ 저작권자 ⓒ 파이낸셜뉴스"
